Hhon_g10000.t1	GPCRrhod.HG12.53:NA
Hhon_g08700.t1	GPCRrhod.HG12.54:NA
Hhon_g08701.t1	GPCRrhod.HG12.54:NA
Hhon_g08719.t1	GPCRrhod.HG12.57:NA
Hhon_g08720.t1	GPCRrhod.HG12.57:NA
Hhon_g11223.t1	GPCRrhod.HG12.58:NA
Hhon_g11551.t1	GPCRrhod.HG12.58:NA
Hhon_g11222.t1	GPCRrhod.HG12.59:NA
Hhon_g11552.t1	GPCRrhod.HG12.59:NA
Hhon_g07907.t1	GPCRrhod.HG12.6:NA
Hhon_g10004.t1	GPCRrhod.HG12.62:NA
Hhon_g10003.t1	GPCRrhod.HG12.65:NA
Hhon_g10002.t1	GPCRrhod.HG12.66:NA
Hhon_g10732.t1	GPCRrhod.HG12.70:NA
Hhon_g10733.t1	GPCRrhod.HG12.70:NA
Hhon_g08699.t1	GPCRrhod.HG12.72:NA
Hhon_g10729.t1	GPCRrhod.HG12.73:NA
Hhon_g10730.t1	GPCRrhod.HG12.74:NA
Hhon_g06803.t1	GPCRrhod.HG12.75:NA
Hhon_g04142.t1	GPCRrhod.HG12.76:NA
Hhon_g04139.t1	GPCRrhod.HG12.77:NA
Hhon_g10731.t1	GPCRrhod.HG12.78:NA
Hhon_g10727.t1	GPCRrhod.HG12.79:NA
Hhon_g06800.t1	GPCRrhod.HG12.81:NA
Hhon_g06801.t1	GPCRrhod.HG12.81:NA
Hhon_g06802.t1	GPCRrhod.HG12.81:NA
Hhon_g11197.t1	GPCRrhod.HG12.87:NA
Hhon_g07999.t1	GPCRrhod.HG12.88:NA
Hhon_g10001.t1	GPCRrhod.HG12.98:NA
Hhon_g09999.t1	GPCRrhod.HG12.99:NA
Hhon_g03941.t1	GPCRrhod.HG122.0:NA
Hhon_g03641.t1	GPCRrhod.HG122.1:NA
Hhon_g10441.t1	GPCRrhod.HG131.0:NA
Hhon_g02819.t1	GPCRrhod.HG131.1:NA
Hhon_g07092.t1	GPCRrhod.HG137.0:NA
Hhon_g07093.t1	GPCRrhod.HG137.0:NA
Hhon_g11434.t1	GPCRrhod.HG137.0:NA
Hhon_g11435.t1	GPCRrhod.HG137.0:NA
Hhon_g03438.t1	GPCRrhod.HG148.0:NA
Hhon_g08294.t1	GPCRrhod.HG156.0:NA
Hhon_g06376.t1	GPCRrhod.HG16.0:RXFP1/RXFP2
Hhon_g10511.t1	GPCRrhod.HG16.0:RXFP1/RXFP2
Hhon_g05057.t1	GPCRrhod.HG169.0:NA
Hhon_g00585.t1	GPCRrhod.HG171.0:NA
Hhon_g02447.t1	GPCRrhod.HG173.0:NA
Hhon_g08843.t1	GPCRrhod.HG181.0:NA
Hhon_g01918.t1	GPCRrhod.HG184.0:NA
Hhon_g09815.t1	GPCRrhod.HG189.0:NA
Hhon_g10436.t1	GPCRrhod.HG190.0:NA
Hhon_g10766.t1	GPCRrhod.HG191.0:NA
Hhon_g09799.t1	GPCRrhod.HG2.13:like:GPR19/GPR176
