HoiH23_hyp_clust10942.t1	GPCRrhod.HG12.20:NA
HoiH23_PlH23_005510-RA	GPCRsecr.HG1.37:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_005511-RA	GPCRsecr.HG1.37:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_005533-RA	GPCRglut.HG1.10:like:GABBR1/GABBR2
HoiH23_PlH23_005534-RA	GPCRglut.HG1.10:like:GABBR1/GABBR2
HoiH23_PlH23_005535-RA	GPCRglut.HG1.10:like:GABBR1/GABBR2
HoiH23_PlH23_005536-RA	GPCRglut.HG1.10:like:GABBR1/GABBR2
HoiH23_PlH23_005557-RA	GPCRrhod.HG65.3:NA
HoiH23_PlH23_005558-RA	GPCRrhod.HG65.2:NA
HoiH23_PlH23_005579-RA	GPCRrhod.HG2.47:like:NPFFR1/NPFFR2
HoiH23_PlH23_005603-RA	GPCRsecr.HG1.22:ADGRF1/ADGRF2/ADGRF3/ADGRF4/ADGRF5
HoiH23_PlH23_005656-RA	GPCRglut.HG4.14:NA
HoiH23_PlH23_005661-RA	GPCRrhod.HG65.1:NA
HoiH23_PlH23_005684-RA	GPCRrhod.HG34.13:NA
HoiH23_PlH23_005685-RA	GPCRrhod.HG34.12:NA
HoiH23_PlH23_005706-RA	GPCRrhod.HG34.3:NA
HoiH23_PlH23_005707-RA	GPCRrhod.HG34.9:NA
HoiH23_PlH23_005779-RA	GPCRrhod.HG10.4:NA
HoiH23_PlH23_005798-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_005832-RA	GPCRrhod.HG101.2:NA
HoiH23_PlH23_005833-RA	GPCRrhod.HG101.3:NA
HoiH23_PlH23_005834-RA	GPCRrhod.HG101.0:NA
HoiH23_PlH23_005854-RA	GPCRrhod.HG5.2:like:GPR50/MTNR1A/MTNR1B
HoiH23_PlH23_005916-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_005918-RA	GPCRrhod.HG37.7:NA
HoiH23_PlH23_005919-RA	GPCRrhod.HG37.6:NA
HoiH23_PlH23_005920-RA	GPCRrhod.HG37.6:NA
HoiH23_PlH23_005921-RA	GPCRrhod.HG37.6:NA
HoiH23_PlH23_005922-RA	GPCRrhod.HG37.15:NA
HoiH23_PlH23_005923-RA	GPCRrhod.HG37.2:NA
HoiH23_PlH23_005928-RA	GPCRrhod.HG36.1:NA
HoiH23_PlH23_005960-RA	GPCRrhod.HG156.0:NA
HoiH23_PlH23_005994-RA	GPCRrhod.HG22.62:NA
HoiH23_PlH23_005997-RA	GPCRrhod.HG10.0:NA
HoiH23_PlH23_006036-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_006042-RA	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
HoiH23_PlH23_006092-RA	GPCRrhod.HG94.0:NA
HoiH23_PlH23_006093-RA	GPCRrhod.HG78.4:NA
HoiH23_PlH23_006124-RA	GPCRsecr.HG1.26:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_006125-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_006138-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_006151-RA	GPCRsecr.HG2.0:like:ADGRG1/ADGRG2/ADGRG3/ADGRG4/ADGRG5/ADGRG6/ADGRG7
HoiH23_PlH23_006165-RA	GPCRrhod.HG59.4:NA
HoiH23_PlH23_006166-RA	GPCRrhod.HG59.1:NA
HoiH23_PlH23_006171-RA	GPCRglut.HG1.6:GABBR1/GABBR2
HoiH23_PlH23_006174-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_006178-RA	GPCRrhod.HG52.2:NA
HoiH23_PlH23_006254-RA	GPCRglut.HG4.12:NA
HoiH23_PlH23_006255-RA	GPCRglut.HG4.13:NA
HoiH23_PlH23_006267-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_006268-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_006270-RA	GPCRrhod.HG22.21:NA
HoiH23_PlH23_006273-RA	GPCRrhod.HG2.50:like:NPFFR1/NPFFR2
HoiH23_PlH23_006284-RA	GPCRrhod.HG10.23:NA
HoiH23_PlH23_006285-RA	GPCRrhod.HG10.101:NA
HoiH23_PlH23_006286-RA	GPCRrhod.HG10.83:NA
HoiH23_PlH23_006287-RA	GPCRrhod.HG10.103:NA
HoiH23_PlH23_006288-RA	GPCRrhod.HG10.82:NA
HoiH23_PlH23_006289-RA	GPCRrhod.HG10.62:NA
HoiH23_PlH23_006290-RA	GPCRrhod.HG10.115:NA
HoiH23_PlH23_006291-RA	GPCRrhod.HG10.116:NA
HoiH23_PlH23_006292-RA	GPCRrhod.HG10.46:NA
HoiH23_PlH23_006293-RA	GPCRrhod.HG10.80:NA
HoiH23_PlH23_006294-RA	GPCRrhod.HG10.81:NA
HoiH23_PlH23_006295-RA	GPCRrhod.HG10.45:NA
HoiH23_PlH23_006297-RA	GPCRrhod.HG10.60:NA
