to	similarity	from	from_sps	to_sps
Mmus|kidney	0.0884230734024841	Hhon|peptidergic	Hhon	Mmus
Mmus|tongue	0	Hhon|peptidergic	Hhon	Mmus
Mmus|heart_and_aorta	0.302547275770383	Hhon|peptidergic	Hhon	Mmus
Mmus|bladder	0	Hhon|peptidergic	Hhon	Mmus
Mmus|mammary_gland	0	Hhon|peptidergic	Hhon	Mmus
Mmus|neuron	0.451403184522652	Hhon|peptidergic	Hhon	Mmus
Mmus|spleen	0	Hhon|peptidergic	Hhon	Mmus
Mmus|immune_cells	0.082806334025761	Hhon|peptidergic	Hhon	Mmus
Mmus|thymus	0	Hhon|peptidergic	Hhon	Mmus
Dmel|Female_Reproductive_System	0	Hhon|peptidergic	Hhon	Dmel
Dmel|Muscle_Cell	0.0866845299647746	Hhon|peptidergic	Hhon	Dmel
Dmel|Epithelial_Cell	0.303167021598788	Hhon|peptidergic	Hhon	Dmel
Dmel|Hemocyte	0	Hhon|peptidergic	Hhon	Dmel
Dmel|Glial_Cell	0.3423292329176	Hhon|peptidergic	Hhon	Dmel
Dmel|unannotated	0.523747001943914	Hhon|peptidergic	Hhon	Dmel
Dmel|Gland	0.025815173657168	Hhon|peptidergic	Hhon	Dmel
Dmel|Male_Reproductive_System	0.254041984984709	Hhon|peptidergic	Hhon	Dmel
Dmel|Male_Germline_Cell	0	Hhon|peptidergic	Hhon	Dmel
Dmel|Adipose_System	0	Hhon|peptidergic	Hhon	Dmel
Dmel|Excretory_System	0.149221911076466	Hhon|peptidergic	Hhon	Dmel
Dmel|Gut_Cell	0.025532291182953	Hhon|peptidergic	Hhon	Dmel
Dmel|neuron	0.390936689722625	Hhon|peptidergic	Hhon	Dmel
Dmel|Oenocyte	0	Hhon|peptidergic	Hhon	Dmel
Dmel|neuron_other_cells	0	Hhon|peptidergic	Hhon	Dmel
Dmel|Cardial_Cell	0.188253609339526	Hhon|peptidergic	Hhon	Dmel
Dmel|Tracheal_Cell	0.00451046528854248	Hhon|peptidergic	Hhon	Dmel
Dmel|Germline_Cell	0	Hhon|peptidergic	Hhon	Dmel
Dmel|Pigment_Cell	0.275957430401149	Hhon|peptidergic	Hhon	Dmel
Dmel|Female_Germline_Cell	0	Hhon|peptidergic	Hhon	Dmel
Mlei|digestive	0.397866448932413	Hhon|peptidergic	Hhon	Mlei
Mlei|epithelia	0	Hhon|peptidergic	Hhon	Mlei
Mlei|unknown	0	Hhon|peptidergic	Hhon	Mlei
Mlei|neuron	0	Hhon|peptidergic	Hhon	Mlei
Mlei|muscle	0.0631891808309591	Hhon|peptidergic	Hhon	Mlei
Mlei|comb	0	Hhon|peptidergic	Hhon	Mlei
Mlei|lens	0.0112180258331667	Hhon|peptidergic	Hhon	Mlei
Mlei|tentacle	0.0918997719669974	Hhon|peptidergic	Hhon	Mlei
Mlei|colloblast	0.0387130023504827	Hhon|peptidergic	Hhon	Mlei
Spolac|archaeocyte	0	Hhon|peptidergic	Hhon	Spolac
Spolac|precursor	0	Hhon|peptidergic	Hhon	Spolac
Spolac|choanoblast	0.0984296251528726	Hhon|peptidergic	Hhon	Spolac
Spolac|choanocyte	0.242991348550728	Hhon|peptidergic	Hhon	Spolac
Spolac|apopylar_cell	0.255971044521726	Hhon|peptidergic	Hhon	Spolac
Spolac|myopeptidocyte	0.120861473847517	Hhon|peptidergic	Hhon	Spolac
Spolac|unknown	0	Hhon|peptidergic	Hhon	Spolac
Spolac|lophocyte	0.103737716002233	Hhon|peptidergic	Hhon	Spolac
Spolac|pinacocyte	0.417680658900609	Hhon|peptidergic	Hhon	Spolac
Spolac|sclerophorocyte	0.0593243880956579	Hhon|peptidergic	Hhon	Spolac
Spolac|sclerocyte	0	Hhon|peptidergic	Hhon	Spolac
Spolac|granulocyte	0	Hhon|peptidergic	Hhon	Spolac
Spolac|metabolocyte	0.0486433028959823	Hhon|peptidergic	Hhon	Spolac
Spolac|neuroid	0	Hhon|peptidergic	Hhon	Spolac
Spolac|amoebocyte	0.0739518516311531	Hhon|peptidergic	Hhon	Spolac
Spolac|mesocyte	0.224598711040112	Hhon|peptidergic	Hhon	Spolac
Nvec|cnidocyte	0.371061840548286	HoiH23|peptidergic	HoiH23	Nvec
Nvec|muscle	0.0779229027538353	HoiH23|peptidergic	HoiH23	Nvec
Nvec|gastrodermis_muscle	0	HoiH23|peptidergic	HoiH23	Nvec
Nvec|gastrodermis	0	HoiH23|peptidergic	HoiH23	Nvec
Nvec|digestive_filaments	0	HoiH23|peptidergic	HoiH23	Nvec
Nvec|epidermis	0	HoiH23|peptidergic	HoiH23	Nvec
