to	similarity	from	from_sps	to_sps
Spolac|precursor	0.171875	TrH2|fibre	TrH2	Spolac
Spolac|choanoblast	0.09375	TrH2|fibre	TrH2	Spolac
Spolac|choanocyte	0.109375	TrH2|fibre	TrH2	Spolac
Spolac|apopylar_cell	0.109375	TrH2|fibre	TrH2	Spolac
Spolac|myopeptidocyte	0.09375	TrH2|fibre	TrH2	Spolac
Spolac|unknown	0.09375	TrH2|fibre	TrH2	Spolac
Spolac|lophocyte	0.09375	TrH2|fibre	TrH2	Spolac
Spolac|pinacocyte	0.15625	TrH2|fibre	TrH2	Spolac
Spolac|sclerophorocyte	0.375	TrH2|fibre	TrH2	Spolac
Spolac|sclerocyte	0.203125	TrH2|fibre	TrH2	Spolac
Spolac|granulocyte	0.09375	TrH2|fibre	TrH2	Spolac
Spolac|metabolocyte	0.078125	TrH2|fibre	TrH2	Spolac
Spolac|neuroid	0.171875	TrH2|fibre	TrH2	Spolac
Spolac|amoebocyte	0.1875	TrH2|fibre	TrH2	Spolac
Spolac|mesocyte	0	TrH2|fibre	TrH2	Spolac
Nvec|cnidocyte	0.0833333333333333	Hhon|fibre	Hhon	Nvec
Nvec|muscle	0.233333333333333	Hhon|fibre	Hhon	Nvec
Nvec|gastrodermis_muscle	0.483333333333333	Hhon|fibre	Hhon	Nvec
Nvec|gastrodermis	0.333333333333333	Hhon|fibre	Hhon	Nvec
Nvec|digestive_filaments	0.283333333333333	Hhon|fibre	Hhon	Nvec
Nvec|epidermis	0.216666666666667	Hhon|fibre	Hhon	Nvec
Nvec|precursors	0.133333333333333	Hhon|fibre	Hhon	Nvec
Nvec|neuron	0.0333333333333333	Hhon|fibre	Hhon	Nvec
Nvec|gland	0.0166666666666667	Hhon|fibre	Hhon	Nvec
Hvul|cnidocyte	0.130434782608696	Hhon|fibre	Hhon	Hvul
Hvul|gastrodermis	0.521739130434783	Hhon|fibre	Hhon	Hvul
Hvul|epidermis	0.456521739130435	Hhon|fibre	Hhon	Hvul
Hvul|germline	0.0869565217391304	Hhon|fibre	Hhon	Hvul
Hvul|precursors	0.0434782608695652	Hhon|fibre	Hhon	Hvul
Hvul|neuron	0.173913043478261	Hhon|fibre	Hhon	Hvul
Hvul|gland	0.0434782608695652	Hhon|fibre	Hhon	Hvul
Spis|cnidocyte	0.109375	Hhon|fibre	Hhon	Spis
Spis|gastrodermis	0.265625	Hhon|fibre	Hhon	Spis
Spis|alga-hosting_cells	0.3125	Hhon|fibre	Hhon	Spis
Spis|mitotic_host_cells	0.03125	Hhon|fibre	Hhon	Spis
Spis|germline	0.21875	Hhon|fibre	Hhon	Spis
Spis|digestive	0.046875	Hhon|fibre	Hhon	Spis
Spis|epidermis	0.09375	Hhon|fibre	Hhon	Spis
Spis|calicoblast	0.140625	Hhon|fibre	Hhon	Spis
Spis|neuron	0.078125	Hhon|fibre	Hhon	Spis
Spis|gland	0	Hhon|fibre	Hhon	Spis
Spis|unknown	0.109375	Hhon|fibre	Hhon	Spis
Spis|immune	0.15625	Hhon|fibre	Hhon	Spis
Mmus|marrow	0.157894736842105	Hhon|fibre	Hhon	Mmus
Mmus|vascular_cells	0.18796992481203	Hhon|fibre	Hhon	Mmus
Mmus|glia	0.120300751879699	Hhon|fibre	Hhon	Mmus
Mmus|lung	0.112781954887218	Hhon|fibre	Hhon	Mmus
Mmus|liver	0.233082706766917	Hhon|fibre	Hhon	Mmus
Mmus|trachea	0.075187969924812	Hhon|fibre	Hhon	Mmus
Mmus|limb_muscle	0.0451127819548872	Hhon|fibre	Hhon	Mmus
Mmus|kidney	0.263157894736842	Hhon|fibre	Hhon	Mmus
Mmus|tongue	0.157894736842105	Hhon|fibre	Hhon	Mmus
Mmus|heart_and_aorta	0.0827067669172932	Hhon|fibre	Hhon	Mmus
Mmus|bladder	0.0902255639097744	Hhon|fibre	Hhon	Mmus
Mmus|mammary_gland	0.0300751879699248	Hhon|fibre	Hhon	Mmus
Mmus|neuron	0.180451127819549	Hhon|fibre	Hhon	Mmus
Mmus|spleen	0.18796992481203	Hhon|fibre	Hhon	Mmus
Mmus|immune_cells	0.315789473684211	Hhon|fibre	Hhon	Mmus
Mmus|thymus	0.150375939849624	Hhon|fibre	Hhon	Mmus
Dmel|Female_Reproductive_System	0.305882352941176	Hhon|fibre	Hhon	Dmel
Dmel|Muscle_Cell	0.141176470588235	Hhon|fibre	Hhon	Dmel
Dmel|Epithelial_Cell	0.0764705882352941	Hhon|fibre	Hhon	Dmel
Dmel|Hemocyte	0.223529411764706	Hhon|fibre	Hhon	Dmel
Dmel|Glial_Cell	0.111764705882353	Hhon|fibre	Hhon	Dmel
Dmel|unannotated	0.0411764705882353	Hhon|fibre	Hhon	Dmel
Dmel|Gland	0.158823529411765	Hhon|fibre	Hhon	Dmel
Dmel|Male_Reproductive_System	0.1	Hhon|fibre	Hhon	Dmel
Dmel|Male_Germline_Cell	0.247058823529412	Hhon|fibre	Hhon	Dmel
Dmel|Adipose_System	0.229411764705882	Hhon|fibre	Hhon	Dmel
Dmel|Excretory_System	0.0764705882352941	Hhon|fibre	Hhon	Dmel
Dmel|Gut_Cell	0.123529411764706	Hhon|fibre	Hhon	Dmel
Dmel|neuron	0.0764705882352941	Hhon|fibre	Hhon	Dmel
Dmel|Oenocyte	0.0941176470588235	Hhon|fibre	Hhon	Dmel
Dmel|neuron_other_cells	0.452941176470588	Hhon|fibre	Hhon	Dmel
Dmel|Cardial_Cell	0.0529411764705882	Hhon|fibre	Hhon	Dmel
Dmel|Tracheal_Cell	0.1	Hhon|fibre	Hhon	Dmel
Dmel|Germline_Cell	0.417647058823529	Hhon|fibre	Hhon	Dmel
Dmel|Pigment_Cell	0.1	Hhon|fibre	Hhon	Dmel
Dmel|Female_Germline_Cell	0.523529411764706	Hhon|fibre	Hhon	Dmel
Mlei|digestive	0.388059701492537	Hhon|fibre	Hhon	Mlei
Mlei|epithelia	0.149253731343284	Hhon|fibre	Hhon	Mlei
Mlei|unknown	0	Hhon|fibre	Hhon	Mlei
Mlei|neuron	0.0746268656716418	Hhon|fibre	Hhon	Mlei
Mlei|muscle	0.194029850746269	Hhon|fibre	Hhon	Mlei
Mlei|comb	0.119402985074627	Hhon|fibre	Hhon	Mlei
Mlei|lens	0.104477611940299	Hhon|fibre	Hhon	Mlei
Mlei|tentacle	0.26865671641791	Hhon|fibre	Hhon	Mlei
Mlei|colloblast	0.149253731343284	Hhon|fibre	Hhon	Mlei
Spolac|archaeocyte	0.382978723404255	Hhon|fibre	Hhon	Spolac
Spolac|precursor	0.234042553191489	Hhon|fibre	Hhon	Spolac
Spolac|choanoblast	0.159574468085106	Hhon|fibre	Hhon	Spolac
Spolac|choanocyte	0.117021276595745	Hhon|fibre	Hhon	Spolac
Spolac|apopylar_cell	0.106382978723404	Hhon|fibre	Hhon	Spolac
Spolac|myopeptidocyte	0.0957446808510638	Hhon|fibre	Hhon	Spolac
Spolac|unknown	0.148936170212766	Hhon|fibre	Hhon	Spolac
Spolac|lophocyte	0.0319148936170213	Hhon|fibre	Hhon	Spolac
Spolac|pinacocyte	0.0851063829787234	Hhon|fibre	Hhon	Spolac
Spolac|sclerophorocyte	0.24468085106383	Hhon|fibre	Hhon	Spolac
Spolac|sclerocyte	0.308510638297872	Hhon|fibre	Hhon	Spolac
Spolac|granulocyte	0.127659574468085	Hhon|fibre	Hhon	Spolac
Spolac|metabolocyte	0.127659574468085	Hhon|fibre	Hhon	Spolac
Spolac|neuroid	0.234042553191489	Hhon|fibre	Hhon	Spolac
Spolac|amoebocyte	0.148936170212766	Hhon|fibre	Hhon	Spolac
Spolac|mesocyte	0	Hhon|fibre	Hhon	Spolac
Nvec|cnidocyte	0.127659574468085	HoiH23|fibre	HoiH23	Nvec
Nvec|muscle	0.212765957446809	HoiH23|fibre	HoiH23	Nvec
Nvec|gastrodermis_muscle	0.446808510638298	HoiH23|fibre	HoiH23	Nvec
Nvec|gastrodermis	0.276595744680851	HoiH23|fibre	HoiH23	Nvec
Nvec|digestive_filaments	0.212765957446809	HoiH23|fibre	HoiH23	Nvec
Nvec|epidermis	0.148936170212766	HoiH23|fibre	HoiH23	Nvec
Nvec|precursors	0.148936170212766	HoiH23|fibre	HoiH23	Nvec
Nvec|neuron	0.106382978723404	HoiH23|fibre	HoiH23	Nvec
Nvec|gland	0.0851063829787234	HoiH23|fibre	HoiH23	Nvec
Hvul|cnidocyte	0.0909090909090909	HoiH23|fibre	HoiH23	Hvul
Hvul|gastrodermis	0.5	HoiH23|fibre	HoiH23	Hvul
Hvul|epidermis	0.431818181818182	HoiH23|fibre	HoiH23	Hvul
Hvul|germline	0.0681818181818182	HoiH23|fibre	HoiH23	Hvul
Hvul|precursors	0	HoiH23|fibre	HoiH23	Hvul
Hvul|neuron	0.25	HoiH23|fibre	HoiH23	Hvul
Hvul|gland	0.0681818181818182	HoiH23|fibre	HoiH23	Hvul
Spis|cnidocyte	0.170212765957447	HoiH23|fibre	HoiH23	Spis
Spis|gastrodermis	0.170212765957447	HoiH23|fibre	HoiH23	Spis
Spis|alga-hosting_cells	0.276595744680851	HoiH23|fibre	HoiH23	Spis
Spis|mitotic_host_cells	0.0425531914893617	HoiH23|fibre	HoiH23	Spis
Spis|germline	0.212765957446809	HoiH23|fibre	HoiH23	Spis
Spis|digestive	0.0212765957446809	HoiH23|fibre	HoiH23	Spis
Spis|epidermis	0.0425531914893617	HoiH23|fibre	HoiH23	Spis
Spis|calicoblast	0.191489361702128	HoiH23|fibre	HoiH23	Spis
Spis|neuron	0.0212765957446809	HoiH23|fibre	HoiH23	Spis
Spis|gland	0	HoiH23|fibre	HoiH23	Spis
Spis|unknown	0.212765957446809	HoiH23|fibre	HoiH23	Spis
Spis|immune	0.25531914893617	HoiH23|fibre	HoiH23	Spis
Mmus|marrow	0.0526315789473684	HoiH23|fibre	HoiH23	Mmus
Mmus|vascular_cells	0.149122807017544	HoiH23|fibre	HoiH23	Mmus
Mmus|glia	0.219298245614035	HoiH23|fibre	HoiH23	Mmus
Mmus|lung	0.0701754385964912	HoiH23|fibre	HoiH23	Mmus
Mmus|liver	0.359649122807018	HoiH23|fibre	HoiH23	Mmus
Mmus|trachea	0.0350877192982456	HoiH23|fibre	HoiH23	Mmus
Mmus|limb_muscle	0.0350877192982456	HoiH23|fibre	HoiH23	Mmus
Mmus|kidney	0.37719298245614	HoiH23|fibre	HoiH23	Mmus
Mmus|tongue	0.0350877192982456	HoiH23|fibre	HoiH23	Mmus
Mmus|heart_and_aorta	0.0789473684210526	HoiH23|fibre	HoiH23	Mmus
Mmus|bladder	0.043859649122807	HoiH23|fibre	HoiH23	Mmus
Mmus|mammary_gland	0.0175438596491228	HoiH23|fibre	HoiH23	Mmus
Mmus|neuron	0.184210526315789	HoiH23|fibre	HoiH23	Mmus
Mmus|spleen	0.0701754385964912	HoiH23|fibre	HoiH23	Mmus
Mmus|immune_cells	0.263157894736842	HoiH23|fibre	HoiH23	Mmus
Mmus|thymus	0.0701754385964912	HoiH23|fibre	HoiH23	Mmus
Dmel|Female_Reproductive_System	0.158940397350993	HoiH23|fibre	HoiH23	Dmel
Dmel|Muscle_Cell	0.139072847682119	HoiH23|fibre	HoiH23	Dmel
Dmel|Epithelial_Cell	0.152317880794702	HoiH23|fibre	HoiH23	Dmel
Dmel|Hemocyte	0.225165562913907	HoiH23|fibre	HoiH23	Dmel
Dmel|Glial_Cell	0.198675496688742	HoiH23|fibre	HoiH23	Dmel
Dmel|unannotated	0.0794701986754967	HoiH23|fibre	HoiH23	Dmel
Dmel|Gland	0.172185430463576	HoiH23|fibre	HoiH23	Dmel
Dmel|Male_Reproductive_System	0.198675496688742	HoiH23|fibre	HoiH23	Dmel
Dmel|Male_Germline_Cell	0.132450331125828	HoiH23|fibre	HoiH23	Dmel
Dmel|Adipose_System	0.271523178807947	HoiH23|fibre	HoiH23	Dmel
Dmel|Excretory_System	0.112582781456954	HoiH23|fibre	HoiH23	Dmel
Dmel|Gut_Cell	0.152317880794702	HoiH23|fibre	HoiH23	Dmel
Dmel|neuron	0.105960264900662	HoiH23|fibre	HoiH23	Dmel
Dmel|Oenocyte	0.132450331125828	HoiH23|fibre	HoiH23	Dmel
Dmel|neuron_other_cells	0.258278145695364	HoiH23|fibre	HoiH23	Dmel
Dmel|Cardial_Cell	0.132450331125828	HoiH23|fibre	HoiH23	Dmel
Dmel|Tracheal_Cell	0.112582781456954	HoiH23|fibre	HoiH23	Dmel
Dmel|Germline_Cell	0.278145695364238	HoiH23|fibre	HoiH23	Dmel
Dmel|Pigment_Cell	0.158940397350993	HoiH23|fibre	HoiH23	Dmel
Dmel|Female_Germline_Cell	0.304635761589404	HoiH23|fibre	HoiH23	Dmel
Mlei|digestive	0.338461538461538	HoiH23|fibre	HoiH23	Mlei
Mlei|epithelia	0.0461538461538462	HoiH23|fibre	HoiH23	Mlei
Mlei|unknown	0.0307692307692308	HoiH23|fibre	HoiH23	Mlei
Mlei|neuron	0.0615384615384615	HoiH23|fibre	HoiH23	Mlei
Mlei|muscle	0.276923076923077	HoiH23|fibre	HoiH23	Mlei
Mlei|comb	0.0923076923076923	HoiH23|fibre	HoiH23	Mlei
Mlei|lens	0.107692307692308	HoiH23|fibre	HoiH23	Mlei
Mlei|tentacle	0.307692307692308	HoiH23|fibre	HoiH23	Mlei
Mlei|colloblast	0.215384615384615	HoiH23|fibre	HoiH23	Mlei
Spolac|archaeocyte	0.32258064516129	HoiH23|fibre	HoiH23	Spolac
Spolac|precursor	0.204301075268817	HoiH23|fibre	HoiH23	Spolac
Spolac|choanoblast	0.172043010752688	HoiH23|fibre	HoiH23	Spolac
Spolac|choanocyte	0.139784946236559	HoiH23|fibre	HoiH23	Spolac
Spolac|apopylar_cell	0.118279569892473	HoiH23|fibre	HoiH23	Spolac
Spolac|myopeptidocyte	0.118279569892473	HoiH23|fibre	HoiH23	Spolac
Spolac|unknown	0.118279569892473	HoiH23|fibre	HoiH23	Spolac
Spolac|lophocyte	0.0752688172043011	HoiH23|fibre	HoiH23	Spolac
Spolac|pinacocyte	0.0967741935483871	HoiH23|fibre	HoiH23	Spolac
Spolac|sclerophorocyte	0.32258064516129	HoiH23|fibre	HoiH23	Spolac
Spolac|sclerocyte	0.172043010752688	HoiH23|fibre	HoiH23	Spolac
Spolac|granulocyte	0.129032258064516	HoiH23|fibre	HoiH23	Spolac
Spolac|metabolocyte	0.10752688172043	HoiH23|fibre	HoiH23	Spolac
Spolac|neuroid	0.193548387096774	HoiH23|fibre	HoiH23	Spolac
Spolac|amoebocyte	0.129032258064516	HoiH23|fibre	HoiH23	Spolac
Spolac|mesocyte	0	HoiH23|fibre	HoiH23	Spolac
