metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
94	73	92416	1265.97260273973	814	1130	1621	0.292187277400189	0.100426605940145	0.148928645126477	0.277259882107288	0.622688992579115
95	141	159864	1133.78723404255	836	1122	1405	0.271555803886424	0.0613826283632066	0.111446868865447	0.209054512517813	0.554968181326941
96	64	75209	1175.140625	850.25	1196.5	1420.25	0.324917510793335	0.097084760390905	0.141981087974186	0.280397254613683	0.638037236816146
97	48	61705	1285.52083333333	1076.25	1202	1508.25	0.328540606937813	0.104802014510845	0.163561548132836	0.318246410707625	0.660220699901027
98	60	68281	1138.01666666667	855.5	1106	1331.5	0.353022807317099	0.0856099406286502	0.140258471409215	0.269501764772224	0.598673909127365
99	83	70600	850.602409638554	574	859	1079	0.362322694110567	0.097173271147923	0.1558175858855	0.311781236626435	0.721583849243635
100	33	28717	870.212121212121	603	851	1096	0.532979399227997	0.163006893689698	0.285784778967667	0.440612169047128	0.910435018195952
101	51	26985	529.117647058824	384	495	646	0.50960031382935	0.17838622322174	0.301174013781078	0.476139527021373	0.949496819763533
102	74	64361	869.743243243243	681.75	819	1004.5	0.347746436574576	0.111062364765287	0.184989607346793	0.343781226256686	0.779273465430518
103	71	38130	537.042253521127	422	510	597	0.430919273422596	0.135512470140556	0.242054287065227	0.396495615982988	0.889406447438662
104	58	16391	282.603448275862	194.75	256.5	341.5	0.611629990829723	0.269332564955297	0.415076210416079	0.589314731539255	1.10216099171159
105	68	48905	719.191176470588	498	689.5	828.75	0.495778005416103	0.0990609694836955	0.192141414908765	0.328642774993836	0.816190728211086
106	50	22088	441.76	297.75	402.5	512.5	0.643479596963391	0.202187566221831	0.330578992403056	0.49790637224354	1.04486887882004
107	80	98786	1234.825	625.25	1054	1585.25	0.295323088075624	0.0826719947960763	0.109104781933393	0.213465067819364	0.579437895741505
108	54	39393	729.5	473	680.5	951.75	0.562253732635565	0.157908499396794	0.23522596375838	0.461413472498996	1.18487232318224
109	60	34328	572.133333333333	438.75	514.5	664.25	0.494966531750463	0.158332275436961	0.266744244546167	0.469601844712383	1.04062673061376
110	74	106800	1443.24324324324	901	1220	1728	0.366884891726256	0.0911329119865456	0.141423444232316	0.306401954710141	0.998075511472682
111	54	81605	1511.2037037037	900	1228	1832.75	0.358939576544336	0.0912646618794262	0.142762849825556	0.294842522967978	0.822937793674324
112	62	39993	645.048387096774	425.25	583	796.5	0.603062593494766	0.149550903067101	0.23178821007622	0.54023453030898	1.48397097400231
113	97	104503	1077.35051546392	745	989	1238	0.501137760071607	0.0919036248053789	0.127032579924418	0.302211515941634	1.15074269613743
114	30	20165	672.166666666667	322.5	481	812	0.551685346327099	0.244497517419661	0.387763431892472	0.596218918021256	1.12895482514889
115	49	82554	1684.77551020408	1040	1418	1998	0.371646447923458	0.113493205439993	0.160644214373746	0.33034021324502	0.877137308821583
116	65	68576	1055.01538461538	769	1012	1273	0.476400419863829	0.0862710609612755	0.139624142559183	0.274214536684853	0.701580517188594
117	59	51877	879.271186440678	658.5	858	1093	0.499713724554698	0.115186627898898	0.181931381266349	0.361278142933949	0.850889585362301
118	42	118920	2831.42857142857	1781.75	2262.5	3836.75	0.348826278930505	0.0823898654174042	0.10830512447323	0.21507476014717	0.561808266597866
119	80	108920	1361.5	985	1219.5	1615.25	0.427983855761854	0.0710916418470042	0.0914908984378432	0.197798157889347	0.578253809866214
120	26	107804	4146.30769230769	3007.25	4354	5066.5	0.435064631293172	0.0910724756843879	0.155002038312933	0.333914935450372	1.06790794399503
121	44	189997	4318.11363636364	2970	3737	5312.75	0.348149946978208	0.0520971002772568	0.103715006137057	0.250702525717488	0.904295839609804
122	80	31563	394.5375	234.5	354	512.5	0.622604660509712	0.196467189234574	0.287545154581577	0.548216605145079	1.25598006402464
123	77	98647	1281.12987012987	613	924	1641	0.349240160122951	0.0983961392639288	0.134007516261738	0.279374273291367	0.842530989161804
124	37	70561	1907.05405405405	972	1590	2534	0.336505659518235	0.0975072976502822	0.141127228254568	0.282613223067177	0.730475845497602
125	43	113963	2650.3023255814	1659	2339	3400.5	0.287095336199652	0.0858528959871474	0.117238820724588	0.228057602664468	0.603303683670749
126	80	231686	2896.075	1623.25	2486	3800.75	0.256307341016652	0.0427108796994033	0.0845493775408825	0.141795405421126	0.377403879610934
127	45	127021	2822.68888888889	1062	2593	4153	0.277515476136191	0.0729401453345269	0.0964272563597344	0.186052360350072	0.425736994841542
128	59	210263	3563.77966101695	2302.5	3342	4472	0.22975216856251	0.0470638733379632	0.0811673432579794	0.143949094127937	0.351256868109797
129	51	56370	1105.29411764706	799	1094	1390	0.359892080654272	0.106675169909234	0.168389476780959	0.29901825702464	0.661270193359938
130	81	248775	3071.2962962963	2154	2643	3846	0.213085125828277	0.039814958701227	0.0788890788751622	0.154944823288423	0.442668820891585
131	35	72606	2074.45714285714	1144	1687	3036.5	0.33387758671965	0.104056975276983	0.132798606809706	0.256727571217001	0.663523257082866
132	107	63038	589.140186915888	379	539	797.5	0.35708146339291	0.112184581323961	0.150967681209329	0.288470613289978	0.704205539733941
133	61	51860	850.16393442623	652	856	1005	0.375701961217361	0.119190271122481	0.181954421372982	0.342657968260375	0.755003840065243
134	94	182944	1946.21276595745	1345.75	1712.5	2285.75	0.241349942068049	0.0538460915276036	0.106131876483113	0.163628885283514	0.463962914207088
135	56	54543	973.982142857143	672	886	1185	0.367530214025928	0.111926645822579	0.186459221421142	0.364415788967636	0.811751837289019
136	87	126078	1449.1724137931	1090.5	1348	1632	0.313212681041262	0.0775126950757924	0.151645841662467	0.303283322207305	0.767676645979885
137	40	19781	494.525	250	517.5	679.75	0.503835575993798	0.244164587759945	0.382780583107182	0.577803907778502	1.01839769058108
138	48	49476	1030.75	667.25	882.5	1104.25	0.368144762269417	0.130345971721941	0.217398343330963	0.403385685074755	0.79269314016668
139	46	60439	1313.89130434783	820.25	1135.5	1705.75	0.396600483301171	0.114245556414822	0.203321409598789	0.391797418525433	0.914450640421613
140	59	63134	1070.06779661017	660.5	921	1331.5	0.402206736726332	0.108349657106143	0.184636484547365	0.404112840804194	1.02115890077949
141	90	134004	1488.93333333333	1045.5	1294	1706.5	0.309253099633272	0.0730326106860039	0.143070188731341	0.28344251325997	0.723044681169951
142	38	26599	699.973684210526	550	724.5	805.75	0.495298801940148	0.191806923741481	0.336834817780775	0.515895608352204	0.978778237330728
143	38	71288	1876	1053.5	1521	2388.75	0.347641998767031	0.0940339820911936	0.146699493994669	0.282370457571998	0.650857683940858
144	34	66920	1968.23529411765	1422	1936	2284.5	0.312186668797307	0.123055500814992	0.19433093110858	0.353323190191678	0.742555997510108
145	58	79617	1372.70689655172	1065.25	1346	1619	0.339159011217502	0.118152573317252	0.187751522712078	0.356219279512101	0.852085674121033
146	62	99650	1607.25806451613	1151	1491.5	1809.5	0.291967102085446	0.0975412862972561	0.155502545307632	0.285555880524513	0.654957570153432
147	88	325451	3698.30681818182	2382.75	3241	4725	0.264460520241863	0.0504572546132805	0.115159614516292	0.251593849849201	0.791169489378605
148	57	62778	1101.36842105263	812	1043	1243	0.400385353570447	0.127856679537803	0.199976740045931	0.386767792746239	0.891135019700591
149	68	78742	1157.97058823529	756	1163.5	1407	0.454653192763233	0.0948724552230149	0.138629373151581	0.275369321630705	0.749117063555121
150	68	34063	500.926470588235	376.5	489	618.75	0.485712760554365	0.146159399357115	0.268470824511438	0.411318796089464	0.863360189938359
151	100	132002	1320.02	987.75	1177.5	1573.75	0.253622171719735	0.0740844349744478	0.12659627690802	0.228016732959221	0.573086450448979
152	61	89415	1465.81967213115	790	1323	1953	0.479395728904129	0.0915980355877068	0.137730926081959	0.282045964120614	0.866901282237773
153	112	117111	1045.63392857143	682.5	967	1290.5	0.548431007933833	0.0774631706369566	0.104236046865734	0.207033665896919	0.570510618561338
154	102	112266	1100.64705882353	776.25	1075.5	1351.75	0.464478087056106	0.0867182390275772	0.131892626320407	0.247923521378211	0.70631650340241
155	106	149902	1414.16981132075	937	1288	1682.5	0.377872721009117	0.0654227776232134	0.121451161261968	0.223290450686618	0.54339019334932
156	34	21565	634.264705882353	374.75	570	841.5	0.731136073880793	0.213547175250978	0.341636902790016	0.525222468135037	1.03100447607203
157	106	27219	256.783018867925	170.25	231	325.25	0.487676819481371	0.192990100851882	0.328250615789393	0.484794202965376	0.981396708066339
158	75	21153	282.04	190	266	349.5	0.640499610338024	0.244348624118958	0.410559907261749	0.587202715855205	1.15829853360488
159	78	41354	530.179487179487	289.5	486.5	694.5	0.653179246703229	0.139051913992814	0.224484933745297	0.420318436699931	1.02840939455431
160	73	78716	1078.30136986301	727	1005	1268	0.453098210035394	0.0966927346573687	0.131427110525195	0.288459594948241	0.838047767214648
161	83	89818	1082.14457831325	631	940	1226	0.459194373197248	0.0792490818822353	0.115030192480479	0.23404476107605	0.645222352528832
162	87	34502	396.574712643678	251	342	518	0.570219306539465	0.142899546403824	0.265080400636268	0.401017474364875	0.930900575613158
163	81	227331	2806.55555555556	1742	2274	3411	0.508168213392764	0.0435145817092619	0.102585243574932	0.252159786562884	0.943755855909732
164	51	163338	3202.70588235294	2073.5	3064	3954	0.699149932023486	0.0603601894985986	0.11907296112725	0.31506532765364	1.1490490774601
165	51	81479	1597.62745098039	1131	1499	1913.5	0.717127339115178	0.0925317373142656	0.150756797836225	0.333980468708469	1.21735885133048
166	61	77615	1272.37704918033	498	1195	1909	0.699142165849115	0.10371747213544	0.178164716844956	0.352374406260329	1.21989792478227
167	78	323792	4151.17948717949	2538	3905	5779.5	0.315805676555787	0.0306928396995155	0.0629260698804422	0.149843899086789	0.627221384658732
168	38	272102	7160.57894736842	4642.75	6734.5	8880.25	0.382597123855739	0.0366194463094304	0.0832057473767243	0.205454767704981	0.766316963132948
169	68	343067	5045.10294117647	3301.5	4573.5	5927.5	0.506106319424008	0.0290043731748777	0.0861717478849454	0.227878152309801	0.915454265219286
170	74	217670	2941.48648648649	1889.5	2648	3619.75	0.52929599254752	0.0454339565557899	0.0942269172137276	0.251494845770907	0.970062217453789
171	120	728039	6066.99166666667	3494.75	5179	8879.25	0.446709286224966	0.0273690913014737	0.0680486190042542	0.193498793716149	0.815810896423996
172	69	316530	4587.39130434783	3244	4208	5817	0.660899273970127	0.0315884959686686	0.0931475439961136	0.2498527235803	0.999287262541854
173	63	368371	5847.15873015873	3999	4813	6497.5	0.485506991922479	0.035418228911476	0.0941937409204551	0.237468805561652	0.932632727364196
174	52	177718	3417.65384615385	2576	3296	4286.5	0.693557538708298	0.0555618360132704	0.128257304661294	0.304199513352838	1.09600432134716
175	34	36980	1087.64705882353	513.25	1195.5	1421	0.777729190284665	0.145312713680834	0.250187969504387	0.467409102293796	1.2692164727229
176	91	70829	778.340659340659	498.5	700	986.5	0.668860461013638	0.104664983109488	0.175575592580408	0.383694739377377	1.22785158664484
177	68	58106	854.5	582	745.5	975	0.526715728017205	0.120591871237614	0.189341711870902	0.38448997521576	1.05567747478796
178	19	30881	1625.31578947368	1306.5	1523	1985.5	0.68557289764656	0.24308366626937	0.421311500412536	0.731233178630402	1.44661677673982
179	76	121312	1596.21052631579	1217.25	1485.5	1865.5	0.578311534079744	0.0805197480362593	0.195524506417336	0.413571671872101	1.11937982165048
180	143	403889	2824.3986013986	1931	2577	3386.5	0.355207941990125	0.072944935804831	0.181870333925737	0.399172190590851	1.01720862578089
181	97	57779	595.659793814433	474	563	697	1.02128434913598	0.122363980264683	0.220929650629498	0.558833926788746	1.77376321465794
182	67	72189	1077.44776119403	751.5	916	1170	0.687650919480216	0.115000948034827	0.177046651858214	0.370244522972815	1.1255017956368
183	62	40837	658.661290322581	560.25	663.5	734.75	1.14998963567041	0.144148393383111	0.242221004900827	0.574167993897604	1.68382374282501
184	72	112979	1569.15277777778	704	957	1900.75	0.375946129020074	0.0863056802691464	0.149744571078489	0.281633337522673	0.78262182278948
185	100	139446	1394.46	681.75	873	1399.25	0.356180760231616	0.0702242771946743	0.137163748469998	0.261193784783366	0.780072954900032
186	69	166224	2409.04347826087	1509	2506	3383	1.47435711836951	0.0592302990285665	0.0613711965380005	0.172491195733541	0.751312844378738
187	49	77923	1590.26530612245	1146	1484	1918	0.876661208789161	0.0868986803092971	0.123778707657298	0.280444433776758	0.903777767659137
188	64	38605	603.203125	422	532.5	629.25	0.625337589808706	0.15891803746934	0.239427816654828	0.474436465926815	1.31556059154283
189	60	112174	1869.56666666667	1269.75	1702.5	2147.75	0.832641711983352	0.080885849053266	0.101616688004783	0.227093448183287	0.676024323737807
190	87	90798	1043.65517241379	706	858	1131	0.624032604872929	0.106541816924671	0.154666405966125	0.310925323676514	0.982274579588881
191	57	63405	1112.36842105263	717	1035	1274	0.824833454027609	0.108495330875679	0.161750990427509	0.415777519763679	1.45149147283551
192	75	73877	985.026666666667	758.5	955	1268	0.815234849824767	0.115903539720852	0.17299468195185	0.36223065851986	1.19379741580323
193	98	138176	1409.95918367347	908	1243.5	1672.75	0.410067192587201	0.0708590227474595	0.100101840738293	0.218552643594268	0.812026679422547
194	38	28152	740.842105263158	538.5	764	872	0.644800957545181	0.234314333776344	0.351489069689086	0.691919310031457	1.48329879307835
195	87	88863	1021.41379310345	682.5	854	1070	0.602145913090675	0.105884498089162	0.155142582072594	0.333151730715087	0.923522311560041
196	52	42428	815.923076923077	570	712	1017.5	0.924296674023828	0.137276073045553	0.219665938462957	0.428539518506515	1.31378415520752
197	31	22923	739.451612903226	436.5	755	950	0.78172292036316	0.236897364083701	0.384919084078376	0.687568056048228	1.57445061516899
198	67	55789	832.671641791045	609.5	774	950	0.579446024031419	0.145284732205252	0.23360396485658	0.4631806004452	1.47049133124995
199	86	68788	799.860465116279	605.5	756	901.75	0.805894518796806	0.123288845591312	0.1935800272862	0.460975075510113	1.52645304622874
200	68	36186	532.147058823529	411.5	514.5	615.75	0.844902569776649	0.168338201663978	0.25402652933617	0.55394412023555	1.50651118517242
201	68	49416	726.705882352941	561	734.5	823.25	0.539678606160046	0.16478981790563	0.262446074157766	0.513292107097939	1.22120452007567
202	54	36829	682.018518518518	554.75	643	789.25	0.695799367018021	0.171398615909592	0.254533680379918	0.553206015060572	1.3705422956839
203	70	42894	612.771428571429	442.25	557	708.25	0.72938892267129	0.159007712775302	0.257663910578365	0.516931520035245	1.29386726611452
