peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_000179	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_000180	0	0	9	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_000181	0	0	8	0	0	0	7	0	0	0	0	0	4
HoiH23_PlH23_000182	0	0	0	0	0	1	0	0	0	0	0	0	1
HoiH23_PlH23_000183	0	0	0	0	0	0	0	0	0	0	0	0	2
HoiH23_orphan_36	0	1	6	2	1	0	6	3	6	2	9	3	4
HoiH23_PlH23_000708	17	48	200	33	40	12	134	44	110	54	105	63	51
HoiH23_PlH23_000709	40	85	233	25	69	26	107	32	118	61	76	41	65
HoiH23_PlH23_000710	0	0	1	1	1	1	0	0	2	0	0	0	0
HoiH23_PlH23_000713	3	10	33	10	11	7	20	17	29	17	18	10	8
HoiH23_PlH23_000716	0	0	0	0	0	0	0	0	0	0	2	0	0
HoiH23_PlH23_000721	0	1	0	1	1	0	2	1	1	0	2	0	0
HoiH23_PlH23_000722	1	1	1	1	1	2	2	3	9	3	5	1	0
HoiH23_PlH23_000724	0	0	0	0	1	0	2	2	2	0	3	0	0
HoiH23_PlH23_000732	3	6	9	9	8	8	30	14	22	6	18	2	5
HoiH23_PlH23_000734	0	0	2	0	2	0	2	0	0	3	2	0	1
HoiH23_PlH23_000736	1	0	4	0	7	2	4	0	7	2	10	2	2
HoiH23_PlH23_000739	1	1	2	2	5	0	5	2	4	4	5	3	3
HoiH23_PlH23_000741	4	2	18	8	4	0	25	6	12	4	11	2	3
HoiH23_PlH23_000748	1	8	16	5	10	3	7	7	2	8	10	12	6
HoiH23_PlH23_000749	6	7	22	9	12	3	14	16	20	7	13	7	11
HoiH23_PlH23_000753	3	4	6	6	5	3	7	3	6	9	12	2	4
HoiH23_PlH23_000754	1	0	4	1	0	2	10	2	4	3	0	1	2
HoiH23_PlH23_000755	42	73	19	2	0	0	1	0	1	0	1	0	0
HoiH23_PlH23_000757	1	2	9	2	0	3	3	2	5	2	4	2	3
HoiH23_PlH23_000759	3	11	8	3	7	2	14	10	7	5	17	6	2
HoiH23_PlH23_000761	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_000763	0	0	1	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_000765	5	10	24	3	7	8	29	10	11	5	5	10	6
HoiH23_PlH23_000769	1	0	5	3	0	2	6	2	1	2	3	0	1
HoiH23_PlH23_000770	31	84	23	8	42	4	22	11	25	20	12	14	7
HoiH23_PlH23_000771	0	0	32	8	1	4	1	3	0	7	4	0	1
HoiH23_PlH23_000774	4	15	9	5	7	5	13	9	12	9	16	5	3
HoiH23_PlH23_000776	6	4	9	5	7	1	7	2	5	3	13	4	6
HoiH23_PlH23_000779	0	3	13	4	2	4	17	5	6	12	18	3	4
HoiH23_PlH23_000781	0	0	1	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_000782	0	0	0	0	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_000784	0	1	3	0	1	0	2	5	6	3	7	2	0
HoiH23_PlH23_000785	4	10	16	4	7	5	20	10	19	8	18	10	3
HoiH23_PlH23_000787	4	6	6	0	3	2	12	4	1	3	3	4	1
HoiH23_PlH23_000789	0	0	2	0	1	0	2	2	0	0	2	0	0
HoiH23_PlH23_000791	9	17	12	6	11	5	31	16	22	10	9	3	9
HoiH23_PlH23_000793	0	0	3	2	0	0	6	5	2	3	3	1	3
HoiH23_PlH23_000797	2	4	9	3	9	4	6	11	11	5	5	4	2
HoiH23_PlH23_000799	5	11	39	2	0	3	1	2	0	0	15	11	2
HoiH23_PlH23_000707	2	3	5	3	2	0	11	7	6	4	7	3	2
HoiH23_orphan_38	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_000711	0	0	2	0	1	0	1	0	2	0	2	0	0
HoiH23_PlH23_000712	1	5	5	1	5	3	12	11	7	3	1	3	5
HoiH23_PlH23_000714	0	0	1	0	4	0	2	1	1	0	1	2	0
HoiH23_PlH23_000715	10	12	39	8	23	2	27	12	23	19	50	8	12
HoiH23_orphan_39	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_000718	0	0	1	0	0	0	0	6	7	0	0	1	1
HoiH23_PlH23_000719	0	0	0	0	0	0	7	30	27	0	8	1	0
HoiH23_PlH23_000720	0	0	0	0	0	0	0	18	1	0	8	0	0
HoiH23_PlH23_000723	0	1	0	0	1	0	1	1	0	2	2	4	0
HoiH23_PlH23_000725	0	0	7	2	1	1	8	1	2	1	0	0	0
HoiH23_PlH23_000726	0	2	14	4	6	3	6	5	8	3	8	6	3
HoiH23_PlH23_000727	0	1	7	3	0	1	3	2	0	4	7	3	0
HoiH23_PlH23_000728	0	0	2	0	0	0	3	1	1	1	0	1	3
HoiH23_PlH23_000729	0	1	6	2	0	0	2	0	3	1	0	0	1
HoiH23_PlH23_000730	0	0	0	0	0	0	0	0	0	1	0	0	537
HoiH23_PlH23_000731	0	0	3	4	0	0	5	2	3	1	8	0	5
HoiH23_PlH23_000733	8	15	24	0	5	2	69	5	11	4	1	6	6
HoiH23_PlH23_000735	0	0	6	2	3	0	2	1	4	1	3	0	0
HoiH23_PlH23_000737	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_000738	0	3	6	1	3	1	5	6	1	1	2	1	0
HoiH23_PlH23_000740	1	4	5	1	5	0	10	2	4	5	3	0	2
HoiH23_PlH23_000742	0	0	0	0	1	2	5	2	0	0	0	0	0
HoiH23_PlH23_000743	0	0	0	0	3	6	0	11	0	0	0	0	0
