peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_002400	1	3	9	0	3	3	2	0	1	2	2	0	0
HoiH23_PlH23_002401	6	12	1	0	13	11	7	4	19	6	8	6	5
HoiH23_PlH23_002404	1	0	9	1	1	3	5	3	10	5	5	2	0
HoiH23_orphan_2808	0	0	2	0	0	0	0	1	0	1	0	0	0
HoiH23_PlH23_002407	0	0	0	0	0	0	0	1	2	0	1	0	0
HoiH23_PlH23_002408	1	1	4	1	0	1	5	0	2	0	4	4	0
HoiH23_PlH23_002409	1	0	3	2	4	0	2	2	6	0	3	1	0
HoiH23_PlH23_002413	0	0	7	1	0	0	9	12	9	5	2	0	3
HoiH23_PlH23_002414	5	5	6	0	18	10	7	0	5	2	3	7	8
HoiH23_PlH23_002415	0	0	2	0	1	0	6	2	0	3	7	1	1
HoiH23_PlH23_002416	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_002417	0	0	0	2	1	0	3	1	3	2	1	2	0
HoiH23_PlH23_002418	0	0	0	1	6	0	7	3	10	10	0	1	0
HoiH23_PlH23_002419	0	0	1	0	0	0	1	0	1	1	0	1	0
HoiH23_PlH23_006520	1	3	6	0	0	0	2	0	0	1	7	0	0
HoiH23_PlH23_006521	1	4	4	0	8	1	0	2	5	2	6	0	2
HoiH23_PlH23_006523	0	1	4	5	2	1	27	7	7	1	6	3	1
HoiH23_PlH23_006524	0	1	4	0	1	0	6	0	4	3	2	3	0
HoiH23_PlH23_006526	0	0	0	0	0	0	0	0	0	0	0	0	999
HoiH23_PlH23_006527	2	2	6	2	4	2	2	5	7	3	4	6	4
HoiH23_PlH23_006530	0	0	0	1	0	0	1	2	0	2	0	0	1
HoiH23_orphan_2811	0	0	0	0	0	0	1	2	0	0	0	0	0
HoiH23_PlH23_006535	0	0	0	0	0	0	0	0	0	0	0	0	2
HoiH23_PlH23_006536	0	0	1	0	0	1	0	7	0	2	1	0	0
HoiH23_PlH23_006537	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_006538	0	1	0	0	0	0	2	1	0	0	0	0	0
HoiH23_PlH23_006539	1	0	1	0	0	0	0	0	3	0	0	0	0
HoiH23_PlH23_006540	0	0	3	0	1	1	1	0	0	0	2	1	0
HoiH23_PlH23_006516	0	0	0	0	0	0	0	0	18	0	0	7	0
HoiH23_PlH23_006517	0	0	0	0	0	0	0	1	27	0	0	2	11
HoiH23_PlH23_006518	0	0	0	0	2	0	0	0	0	1	0	0	2
HoiH23_PlH23_006519	0	0	0	0	0	4	0	0	0	1	4	0	4
HoiH23_PlH23_006522	0	1	0	0	1	0	0	1	1	1	1	1	0
HoiH23_PlH23_006529	0	0	0	0	0	0	1	4	1	1	0	0	0
HoiH23_PlH23_006531	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_006533	0	0	4	2	0	0	9	1	2	1	1	2	2
HoiH23_PlH23_006541	3	3	18	2	0	0	7	1	11	0	8	5	0
HoiH23_PlH23_006542	0	0	5	1	0	0	5	1	5	0	1	2	1
HoiH23_orphan_2815	0	1	1	0	1	0	7	1	4	1	1	5	0
HoiH23_PlH23_011460	1	3	8	0	2	3	10	1	5	2	9	3	0
HoiH23_PlH23_011462	10	9	19	10	11	4	20	4	22	12	22	4	1
HoiH23_PlH23_011574	0	0	3	0	0	0	2	8	1	1	2	1	0
HoiH23_PlH23_011575	0	3	4	0	1	0	1	4	7	0	20	11	0
HoiH23_PlH23_010660	0	1	6	1	2	2	0	3	7	2	4	1	1
HoiH23_PlH23_010661	0	0	1	0	1	0	1	1	0	0	0	1	0
HoiH23_PlH23_010662	2	1	0	2	2	0	3	0	1	0	4	0	1
HoiH23_PlH23_010873	2	4	3	2	1	1	3	1	13	6	11	4	0
HoiH23_PlH23_010875	0	2	6	0	2	1	5	2	5	7	5	0	1
HoiH23_orphan_2818	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_011568	0	0	1	0	0	0	0	0	1	0	1	1	0
HoiH23_PlH23_011267	0	1	2	1	0	1	0	0	1	0	0	1	1
HoiH23_PlH23_011268	0	1	10	1	0	0	1	4	6	1	8	2	13
HoiH23_PlH23_011997	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_orphan_2823	0	0	6	0	0	1	2	0	1	0	0	0	0
HoiH23_PlH23_011183	1	2	0	2	0	4	1	7	12	5	2	0	1
HoiH23_PlH23_011184	2	4	3	1	0	0	1	2	4	0	1	0	5
HoiH23_PlH23_002602	4	5	6	2	4	2	10	4	16	9	6	9	7
HoiH23_PlH23_002603	7	5	6	4	7	2	14	9	9	8	6	7	3
HoiH23_PlH23_002605	3	3	15	4	5	3	11	12	5	8	1	1	5
HoiH23_PlH23_002607	0	0	1	0	1	0	2	0	0	2	1	1	0
HoiH23_PlH23_002609	0	4	10	10	16	3	8	6	30	32	8	0	7
HoiH23_PlH23_002612	127	252	541	298	890	273	913	593	1043	660	737	365	253
HoiH23_PlH23_002613	2	5	4	0	5	1	4	8	9	6	6	4	3
HoiH23_PlH23_002618	4	9	19	10	14	14	41	25	32	18	31	14	6
HoiH23_PlH23_002620	0	2	5	4	5	1	16	17	10	5	7	1	2
HoiH23_PlH23_002622	1	2	11	4	6	1	1	6	5	3	10	7	1
HoiH23_PlH23_002624	1	4	7	6	5	1	9	4	7	3	6	4	3
HoiH23_PlH23_002625	2	4	6	6	1	1	11	10	6	8	9	1	0
HoiH23_PlH23_002626	1	0	2	1	0	0	5	2	3	1	5	0	1
HoiH23_PlH23_002628	5	11	14	7	4	3	11	10	32	10	22	5	5
HoiH23_PlH23_002630	4	8	5	3	2	3	7	4	10	4	15	4	2
HoiH23_PlH23_002632	11	22	58	20	21	27	57	38	95	65	46	19	22
HoiH23_PlH23_002636	4	15	16	3	9	4	25	10	23	11	10	3	6
HoiH23_PlH23_002638	2	4	8	1	1	2	10	4	6	0	3	1	2
HoiH23_PlH23_002640	9	15	23	17	13	4	21	38	20	11	9	7	5
HoiH23_PlH23_002642	5	4	11	4	8	4	15	12	12	7	11	3	2
HoiH23_PlH23_002644	4	5	18	4	15	4	12	5	20	7	12	1	4
HoiH23_PlH23_002646	6	10	13	4	8	5	15	19	9	4	10	5	7
HoiH23_PlH23_002600	7	5	9	2	11	1	19	3	4	4	6	6	1
HoiH23_PlH23_002601	0	0	2	0	3	0	1	2	3	1	1	1	1
HoiH23_PlH23_002604	5	2	9	7	8	4	12	8	17	15	13	8	1
HoiH23_PlH23_002606	2	0	0	1	0	2	3	3	2	2	0	0	0
HoiH23_PlH23_002608	0	0	2	1	1	0	2	1	0	1	1	2	0
HoiH23_PlH23_002610	0	0	1	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_002611	0	5	15	6	4	4	13	7	10	3	2	1	3
HoiH23_PlH23_002614	1	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_002615	19	20	43	14	53	25	79	39	60	52	49	22	18
HoiH23_PlH23_002616	0	1	6	3	6	2	8	3	4	3	3	0	3
HoiH23_PlH23_002617	24	44	65	27	95	31	108	59	154	125	80	39	34
HoiH23_PlH23_002619	3	8	4	5	4	2	9	11	5	5	12	5	5
HoiH23_PlH23_002621	1	2	9	3	4	0	11	9	5	1	6	5	7
HoiH23_PlH23_002623	5	3	5	5	1	1	8	18	5	9	6	2	8
HoiH23_PlH23_002627	14	26	44	29	60	32	95	58	107	43	82	35	23
HoiH23_PlH23_002629	2	7	10	9	16	3	21	6	16	11	16	3	5
HoiH23_PlH23_002631	4	10	10	1	12	1	8	10	12	6	15	4	2
HoiH23_PlH23_002633	2	5	0	2	8	2	8	2	4	2	5	1	5
HoiH23_PlH23_002635	0	7	16	12	3	2	10	8	13	9	9	5	7
HoiH23_PlH23_002637	2	6	10	1	3	2	7	5	15	3	9	3	4
HoiH23_PlH23_002639	8	13	18	4	8	2	19	9	26	16	11	10	5
HoiH23_orphan_2825	2	0	0	1	0	0	0	0	0	1	0	0	1
HoiH23_PlH23_002641	3	15	18	10	8	8	12	5	15	7	11	4	9
HoiH23_PlH23_002643	10	16	27	8	30	13	53	33	42	25	40	11	19
HoiH23_PlH23_002645	11	26	30	10	20	8	31	25	27	21	31	6	12
HoiH23_PlH23_011325	0	0	0	0	0	1	0	0	0	0	2	1	1
HoiH23_orphan_2826	0	0	1	0	73	0	0	0	0	61	0	0	7
HoiH23_PlH23_012037	0	0	0	0	7	0	0	0	0	26	0	0	7
HoiH23_PlH23_011758	0	0	0	1	0	0	0	0	0	0	0	0	0
HoiH23_orphan_2828	2	4	3	0	0	1	20	2	5	6	53	6	2
HoiH23_PlH23_011759	0	0	0	0	0	0	65	1	0	2	7	0	3
HoiH23_orphan_2829	0	0	1	0	0	0	0	0	1	0	2	0	0
HoiH23_orphan_2830	0	0	0	0	0	0	0	0	0	0	38	0	0
HoiH23_orphan_2831	0	0	0	0	0	0	0	0	0	0	6	0	0
HoiH23_PlH23_011386	0	0	0	0	0	0	1	0	0	2	2	1	0
HoiH23_PlH23_011014	6	15	10	5	19	8	39	14	34	28	21	6	10
HoiH23_PlH23_011015	2	1	13	3	4	3	6	5	17	11	6	2	3
HoiH23_orphan_2832	0	0	2	0	1	0	0	0	1	0	1	0	0
HoiH23_PlH23_011334	2	1	3	2	0	0	4	6	3	2	1	1	0
HoiH23_orphan_2834	0	0	0	0	0	0	0	5	0	0	0	0	0
HoiH23_orphan_2835	2	0	1	1	0	0	2	1	1	0	0	1	0
HoiH23_PlH23_011027	0	1	11	3	3	2	15	8	4	5	7	9	0
HoiH23_PlH23_011029	11	22	87	41	11	4	126	43	155	69	43	30	10
HoiH23_PlH23_011028	19	43	87	29	9	4	154	54	179	59	78	43	25
HoiH23_PlH23_011030	0	0	10	0	0	0	2	0	1	0	0	0	1
HoiH23_PlH23_011339	0	0	0	0	0	0	0	0	2	1	0	0	0
HoiH23_orphan_2836	0	0	0	0	0	0	1	0	8	0	0	0	0
HoiH23_PlH23_011943	0	0	28	0	0	0	0	0	19	0	1	0	0
HoiH23_orphan_2837	0	0	0	0	0	0	1	0	20	0	0	0	0
HoiH23_PlH23_004751	1	1	7	1	7	4	2	2	5	2	4	2	1
HoiH23_PlH23_004752	4	5	0	2	1	1	4	4	5	1	3	1	2
HoiH23_PlH23_004756	1	2	2	1	2	1	5	3	1	1	9	1	2
HoiH23_PlH23_004758	0	0	6	0	0	1	0	0	0	0	2	0	0
HoiH23_PlH23_004759	0	3	2	3	1	2	1	1	1	0	4	0	3
HoiH23_PlH23_004761	0	0	5	1	3	0	1	2	0	1	2	1	0
HoiH23_PlH23_004763	0	0	1	0	1	0	0	0	0	2	0	2	0
HoiH23_PlH23_004771	1	0	6	3	3	0	3	1	4	0	1	0	0
HoiH23_PlH23_004773	0	0	2	0	0	0	5	2	1	0	2	1	1
HoiH23_orphan_2838	0	0	0	0	1	0	1	0	0	0	0	0	0
HoiH23_PlH23_004775	0	0	2	0	1	0	6	3	5	0	1	3	3
HoiH23_PlH23_004776	312	372	753	229	431	238	749	454	938	640	747	265	285
HoiH23_PlH23_004778	0	1	1	2	2	1	6	1	6	1	3	4	0
HoiH23_PlH23_004779	2	7	11	6	11	1	9	2	15	7	7	6	1
HoiH23_PlH23_004781	5	7	11	6	5	9	20	28	13	7	10	8	7
HoiH23_orphan_2839	9	5	21	7	12	10	22	16	17	8	18	6	22
HoiH23_PlH23_004783	10	10	18	7	4	7	13	7	12	9	10	12	10
HoiH23_PlH23_004784	0	2	10	3	7	1	10	5	7	11	6	2	1
HoiH23_PlH23_004786	0	4	13	2	6	1	18	9	6	4	6	9	3
HoiH23_PlH23_004787	0	0	0	5	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_004788	0	0	17	0	0	0	0	1	0	0	20	0	0
HoiH23_PlH23_004789	2	2	38	15	0	0	0	0	0	0	2	0	0
HoiH23_PlH23_004753	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_004754	0	6	0	0	0	0	0	3	2	1	0	0	0
HoiH23_orphan_2840	0	0	1	0	0	0	1	1	1	1	0	0	0
HoiH23_PlH23_004755	0	0	4	4	8	4	4	3	3	0	9	0	1
HoiH23_PlH23_004757	0	1	5	1	1	0	4	3	2	0	1	3	1
HoiH23_PlH23_004760	3	0	1	4	0	0	6	2	3	1	2	2	2
HoiH23_PlH23_004762	0	0	1	3	1	0	3	0	1	0	2	0	0
HoiH23_PlH23_004764	50	76	885	615	18	38	263	81	59	44	454	88	14
HoiH23_PlH23_004766	3	1	15	0	1	4	26	9	3	2	5	14	2
HoiH23_PlH23_004769	0	0	1	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_004770	17	24	195	271	27	12	160	16	56	92	21	23	14
HoiH23_PlH23_004772	1	0	1	0	0	0	3	1	3	2	3	1	0
HoiH23_PlH23_004777	0	0	0	0	1	1	0	0	0	0	0	0	2
HoiH23_PlH23_004780	0	0	0	0	0	0	1	2	0	1	1	1	0
HoiH23_PlH23_004782	0	0	0	0	0	2	0	0	0	1	0	0	0
HoiH23_PlH23_004785	4	3	5	2	9	2	23	7	4	4	4	1	1
HoiH23_PlH23_010894	0	0	1	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_010896	1	0	1	2	1	10	9	10	6	35	13	1	12
HoiH23_orphan_2841	0	0	0	0	0	0	0	0	0	1	1	0	0
HoiH23_PlH23_010893	0	0	4	1	3	0	3	0	3	0	2	1	1
HoiH23_PlH23_010897	2	9	16	4	15	6	11	7	12	14	12	7	10
HoiH23_orphan_2842	4	4	10	8	0	0	11	0	0	7	32	0	0
HoiH23_PlH23_011973	0	0	13	14	0	0	6	0	0	6	17	0	0
HoiH23_PlH23_011537	0	0	0	0	0	0	0	0	0	0	4	1	0
HoiH23_orphan_2843	1	1	2	0	1	0	0	3	1	0	6	0	3
HoiH23_PlH23_011464	0	0	5	0	0	0	9	5	1	2	0	3	0
HoiH23_PlH23_011466	0	1	2	0	0	0	8	1	2	2	1	4	0
HoiH23_PlH23_011598	4	12	27	0	8	5	10	13	7	2	6	2	5
HoiH23_PlH23_011599	0	0	0	0	0	0	0	0	3	1	0	0	0
HoiH23_orphan_2844	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011031	0	0	1	0	0	0	2	0	0	1	1	0	0
HoiH23_PlH23_011032	0	1	3	2	1	4	2	2	0	4	6	0	0
HoiH23_PlH23_010887	0	2	4	0	0	0	5	0	2	1	0	0	0
HoiH23_PlH23_010579	2	0	0	0	0	0	2	1	1	2	1	1	0
HoiH23_PlH23_010580	0	0	5	0	4	3	4	2	3	1	4	2	2
HoiH23_PlH23_010581	0	1	3	1	4	0	2	0	2	1	0	0	0
HoiH23_orphan_2845	0	0	1	0	1	0	0	0	1	0	0	0	0
HoiH23_PlH23_011650	0	0	0	0	0	1	0	0	4	1	0	0	1
HoiH23_PlH23_011651	0	0	0	0	0	0	0	0	0	0	0	0	2
HoiH23_PlH23_011652	0	0	0	0	0	0	0	0	1	0	0	0	1
HoiH23_orphan_2846	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_orphan_2847	0	0	0	0	0	0	0	0	0	2	0	0	0
HoiH23_orphan_2848	0	0	0	0	0	2	1	1	4	3	0	0	0
HoiH23_orphan_2849	0	1	0	0	0	0	0	1	1	0	1	0	0
HoiH23_orphan_2850	0	0	4	0	0	1	0	3	1	0	0	0	0
HoiH23_orphan_2851	19	63	120	19	189	418	816	1978	211	74	58	28	47
HoiH23_PlH23_011881	0	0	0	1	2	2	33	26	9	5	0	0	2
HoiH23_PlH23_003844	0	0	1	0	1	0	1	0	2	1	1	0	2
HoiH23_PlH23_003845	14	43	58	29	61	29	117	64	70	57	57	21	17
HoiH23_PlH23_003846	4	12	9	2	10	6	10	6	29	14	13	3	1
HoiH23_PlH23_003849	22	50	63	30	22	35	93	46	66	51	74	27	30
HoiH23_orphan_2852	0	0	0	0	0	1	0	0	0	1	0	0	0
HoiH23_PlH23_003851	0	2	10	4	3	1	3	2	6	1	5	1	1
HoiH23_PlH23_003853	2	9	10	15	9	8	15	34	6	5	13	8	10
HoiH23_orphan_2853	0	0	1	0	1	1	1	3	2	0	1	2	1
HoiH23_orphan_2854	0	1	5	0	4	1	0	7	9	0	3	34	0
HoiH23_orphan_2855	0	0	2	0	5	0	0	3	0	0	0	0	0
HoiH23_PlH23_003858	0	2	2	2	6	1	5	3	3	3	5	3	2
HoiH23_PlH23_003860	6	7	15	5	5	6	15	15	9	9	18	6	4
HoiH23_PlH23_003862	1	2	0	0	1	0	0	1	0	1	2	1	1
HoiH23_PlH23_003868	4	3	4	1	4	4	6	4	13	2	2	2	3
HoiH23_PlH23_003869	1	2	7	6	9	1	9	4	9	4	8	2	3
HoiH23_PlH23_003871	0	0	4	0	0	1	3	2	6	0	4	1	0
HoiH23_PlH23_003847	0	1	1	1	0	1	3	2	2	1	2	2	1
HoiH23_PlH23_003848	0	1	0	0	0	0	0	3	1	1	0	0	1899
HoiH23_PlH23_003850	1	2	4	0	11	4	9	1	6	2	4	4	0
HoiH23_orphan_2857	2	0	4	1	1	2	1	0	1	0	2	0	0
HoiH23_PlH23_003854	4	9	11	0	5	4	5	43	15	0	7	8	11
HoiH23_PlH23_003855	0	0	0	0	0	0	0	0	1	0	0	0	1
HoiH23_orphan_2858	0	1	0	0	1	0	0	6	1	0	2	0	0
HoiH23_PlH23_003856	0	0	3	0	4	0	0	3	0	0	0	0	0
HoiH23_orphan_2859	1	1	0	0	0	0	0	2	1	0	1	0	0
HoiH23_PlH23_003857	4	11	19	7	10	2	15	16	12	8	10	6	7
HoiH23_PlH23_003859	0	3	0	2	0	2	7	3	2	1	2	1	1
HoiH23_PlH23_003861	5	14	35	15	24	10	51	37	57	27	45	15	18
HoiH23_PlH23_003863	0	0	0	2	0	0	4	2	1	1	0	0	0
HoiH23_PlH23_003864	2	0	11	1	3	1	6	1	4	2	3	1	1
HoiH23_PlH23_003865	0	2	3	3	3	0	6	1	12	2	6	1	2
HoiH23_PlH23_003866	2	8	3	1	0	3	2	2	2	0	7	0	3
HoiH23_PlH23_003867	0	0	2	0	2	0	2	0	3	1	0	0	0
HoiH23_hyp_clust1852	40	53	179	84	361	93	191	185	302	168	221	103	60
HoiH23_orphan_2861	2	2	5	2	11	3	4	8	11	1	5	1	2
HoiH23_PlH23_003870	0	2	4	3	1	0	4	2	1	1	6	1	1
HoiH23_orphan_2865	0	0	0	0	0	0	0	0	0	0	10	0	2
HoiH23_PlH23_012027	0	0	0	0	0	0	0	0	0	0	0	0	2
HoiH23_PlH23_011243	11	16	25	10	9	18	29	23	49	30	20	8	10
HoiH23_PlH23_011242	32	78	89	58	0	10	43	83	44	36	39	0	62
HoiH23_PlH23_011244	0	0	1	3	0	1	4	3	1	1	0	0	0
HoiH23_PlH23_010587	1	0	4	1	3	1	3	1	6	1	6	1	1
HoiH23_PlH23_010588	0	1	3	0	3	2	1	8	3	3	6	0	1
HoiH23_orphan_2866	0	0	0	0	1	4	0	0	0	0	0	1	5
HoiH23_PlH23_011804	0	0	0	0	0	6	0	0	0	0	0	0	2
HoiH23_PlH23_011805	0	0	2	0	0	0	0	0	25	0	1	0	0
HoiH23_PlH23_011193	1	0	0	0	0	0	0	1	0	1	4	0	0
HoiH23_PlH23_011194	1	3	2	1	0	2	3	2	1	1	6	0	0
HoiH23_PlH23_011195	1	3	6	1	4	2	9	3	3	1	1	3	0
HoiH23_orphan_2868	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_011992	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_orphan_2871	0	0	0	1	0	0	1	0	1	0	1	1	0
HoiH23_PlH23_011494	1	0	2	0	1	2	3	6	6	2	0	2	0
HoiH23_orphan_2872	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011495	0	2	2	1	1	5	1	4	8	1	0	2	1
HoiH23_PlH23_011496	0	0	0	0	0	0	0	0	0	0	1	0	0
HoiH23_orphan_2873	5	5	6	4	2	0	5	5	7	6	14	1	4
HoiH23_PlH23_010813	2	0	3	0	2	0	1	5	6	4	8	0	1
HoiH23_orphan_2874	0	0	0	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_010814	1	3	6	3	1	2	4	3	19	11	4	0	2
HoiH23_PlH23_010815	0	0	3	0	0	0	4	1	0	0	2	0	0
HoiH23_PlH23_011604	1	2	35	0	2	3	42	32	8	3	3	2	4
HoiH23_PlH23_003249	3	3	5	0	7	3	8	5	4	4	9	5	4
HoiH23_PlH23_003252	1	0	2	2	0	1	1	3	1	3	2	0	0
HoiH23_PlH23_003255	1	1	9	0	3	1	14	4	7	1	3	5	6
HoiH23_PlH23_003256	2	0	0	0	8	1	11	5	3	2	9	3	1
HoiH23_PlH23_003257	2	2	6	1	1	1	5	5	2	1	6	1	1
HoiH23_PlH23_003259	3	6	1	2	6	0	19	2	11	8	6	5	7
HoiH23_PlH23_003261	0	0	1	0	1	1	5	4	2	1	2	2	2
HoiH23_PlH23_003267	0	0	6	2	0	0	7	0	1	1	0	0	0
HoiH23_PlH23_003269	3	9	17	2	7	7	19	18	42	24	23	2	7
HoiH23_orphan_2875	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_003270	0	0	0	1	2	0	0	0	0	0	0	0	0
HoiH23_PlH23_003272	1	0	2	3	6	0	7	1	3	1	6	1	1
HoiH23_PlH23_003274	2	1	14	4	1	3	17	4	26	8	4	1	13
HoiH23_PlH23_003276	0	1	6	0	2	0	3	0	2	3	1	1	0
HoiH23_PlH23_003279	4	5	19	11	0	2	17	7	4	3	9	7	2
HoiH23_PlH23_003280	0	4	2	2	0	2	9	6	8	9	1	0	2
HoiH23_PlH23_003281	11	23	20	6	1	4	11	13	12	24	14	2	14
HoiH23_orphan_2876	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_003284	5	13	49	30	5	1	33	11	17	28	56	4	2
HoiH23_PlH23_003250	0	0	0	0	1	0	2	1	3	0	2	0	0
HoiH23_PlH23_003251	0	2	2	0	2	1	3	0	4	1	5	0	0
HoiH23_PlH23_003253	6	6	12	7	10	2	19	10	17	9	8	6	8
HoiH23_PlH23_003254	0	0	0	4	1	0	4	0	4	8	1	1	1
HoiH23_orphan_2877	0	1	0	2	0	0	1	0	2	0	0	1	1
HoiH23_PlH23_003258	0	0	0	0	0	0	37	1	0	0	0	0	0
HoiH23_PlH23_003260	0	0	0	0	1	1	4	0	0	1	0	1	0
HoiH23_PlH23_003262	0	0	3	0	0	0	12	0	0	0	0	1	0
HoiH23_PlH23_003263	0	0	0	0	0	0	0	0	1	1	0	1	0
HoiH23_PlH23_003265	1	5	3	4	13	0	27	5	18	14	11	9	11
HoiH23_orphan_2878	0	0	0	0	2	0	3	0	1	0	0	0	0
HoiH23_PlH23_003268	0	0	3	2	0	1	7	3	3	4	1	1	0
HoiH23_PlH23_003271	1	8	2	4	2	3	4	6	6	6	7	0	2
HoiH23_PlH23_003273	0	0	0	0	2	11	9	4	30	0	0	0	15
HoiH23_orphan_2879	0	0	0	0	0	1	4	3	5	0	0	0	3
HoiH23_PlH23_003275	2	3	8	3	8	2	5	7	16	7	5	2	6
HoiH23_PlH23_003277	1	0	1	1	2	2	3	0	2	1	3	1	1
HoiH23_PlH23_003278	1	9	7	3	4	3	10	4	6	2	8	1	6
HoiH23_orphan_2880	0	0	0	0	0	2	0	0	0	0	3	0	0
HoiH23_PlH23_003282	0	2	5	1	1	3	9	7	7	2	9	5	3
HoiH23_PlH23_003283	0	0	2	1	1	2	6	6	6	0	1	1	0
HoiH23_orphan_2881	0	5	14	5	2	2	1	1	5	4	4	3	0
HoiH23_PlH23_011256	0	1	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_2884	0	0	0	0	0	0	1	0	0	0	62	0	0
HoiH23_PlH23_011911	0	0	0	0	0	0	0	0	0	0	90	1	0
HoiH23_orphan_2885	0	0	0	0	0	0	0	0	0	0	20	0	0
HoiH23_PlH23_011018	1	1	3	3	0	0	15	13	2	1	2	3	0
HoiH23_PlH23_011789	0	0	0	0	0	0	0	0	0	0	0	0	2
HoiH23_orphan_2888	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_011897	1	0	0	0	0	0	0	0	1	0	0	2	0
HoiH23_orphan_2889	0	0	0	0	0	0	1	1	0	0	0	0	0
HoiH23_orphan_2890	0	0	2	1	0	0	1	2	2	1	2	2	1
HoiH23_PlH23_011257	0	0	0	0	1	1	6	2	1	0	1	0	0
HoiH23_PlH23_011677	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_orphan_2892	0	5	5	0	33	9	9	3	11	1	14	5	0
HoiH23_PlH23_010718	1	2	6	1	1	1	5	5	3	4	2	3	1
HoiH23_PlH23_010717	1	2	3	1	6	0	1	2	4	0	3	0	1
HoiH23_PlH23_010719	2	3	9	3	1	0	11	2	10	8	5	4	0
HoiH23_PlH23_010822	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_002983	0	0	2	2	3	0	1	1	1	0	1	0	0
HoiH23_PlH23_002984	0	0	0	0	0	0	1	2	0	0	1	1	0
HoiH23_PlH23_002988	16	15	25	28	9	17	45	85	71	66	23	4	5
HoiH23_orphan_2896	0	0	0	0	2	0	15	0	18	8	0	0	0
HoiH23_PlH23_002991	1	2	2	1	1	0	3	1	5	8	1	0	2
HoiH23_PlH23_002993	0	1	4	1	0	0	5	2	3	0	6	0	0
HoiH23_PlH23_002997	2	4	2	0	0	0	5	1	3	3	3	0	1
HoiH23_PlH23_003000	24	47	113	44	110	54	194	102	158	106	119	52	41
HoiH23_PlH23_003002	5	7	0	0	0	0	2	0	11	6	6	0	2
HoiH23_orphan_2897	0	0	15	6	11	8	9	2	16	7	15	2	3
HoiH23_PlH23_003005	6	3	34	13	15	12	59	30	36	27	42	14	10
HoiH23_PlH23_003006	1	1	1	0	0	0	4	1	14	10	1	0	0
HoiH23_PlH23_003007	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_003009	0	0	1	1	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_003011	0	2	7	1	0	0	6	1	3	1	2	0	0
HoiH23_PlH23_003017	5	2	9	3	4	2	8	6	6	8	10	7	2
HoiH23_PlH23_003020	0	0	0	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_003022	3	5	18	9	7	0	16	6	11	9	12	6	5
HoiH23_PlH23_003026	0	0	6	1	4	0	2	1	3	2	1	0	2
HoiH23_orphan_2898	0	0	1	0	2	0	3	2	0	1	0	0	0
HoiH23_PlH23_002985	1	0	1	1	1	0	1	4	0	1	0	0	0
HoiH23_PlH23_002986	4	7	10	5	14	8	18	6	17	15	23	7	7
HoiH23_PlH23_002987	10	29	68	20	45	17	87	63	55	40	43	23	14
HoiH23_PlH23_002990	0	0	5	1	1	0	487	2	0	3	1	0	1
HoiH23_orphan_2899	0	0	0	0	0	0	9	0	0	0	0	0	0
HoiH23_PlH23_002992	87	184	231	184	142	62	293	171	260	171	302	106	73
HoiH23_PlH23_002994	6	7	18	5	11	2	19	7	9	9	12	5	2
HoiH23_PlH23_002995	3	0	4	2	6	1	9	1	2	4	4	2	3
HoiH23_PlH23_002996	1	3	11	4	6	1	7	12	8	5	5	1	4
HoiH23_PlH23_002998	0	7	4	7	2	2	14	6	7	4	9	2	3
HoiH23_PlH23_002999	2	3	6	1	5	5	14	6	22	9	7	6	3
HoiH23_PlH23_003001	5	3	10	5	2	1	12	8	3	7	3	2	0
