1	2	3	4	5	6	7	22	23	25	26	29	30	14	15	16	17	18	24	8	9	10	11	12	13	34	37	38	27	28	20	21	19	33	35	31	32	36
Hhon_g00149.t1	0	2	1	1	0	0	3	0	0	0	1	3	1	0	0	0	6	0	2	0	0	2	0	1	0	3	2	0	0	3	0	0	1	3	1	2	0	0
Hhon_g00152.t1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	3	1	0	1	1	0	0	0	0	0	3	3	3
Hhon_orphan_15	0	0	2	0	0	0	2	0	1	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	1	1	0	0	0	0	0	1	3	5	2	2	1
Hhon_g00156.t1	4	8	3	3	5	5	8	3	3	5	1	20	7	0	1	1	8	15	6	4	3	15	5	3	3	4	3	3	1	4	4	2	7	3	8	2	9	7
Hhon_g00159.t1	20	49	33	31	26	25	32	37	43	25	95	63	22	26	19	16	46	37	81	20	17	58	32	21	24	25	76	22	14	76	14	13	53	19	28	26	54	51
Hhon_g00161.t1	0	3	1	3	1	1	0	0	1	0	2	5	0	1	0	0	3	0	1	1	2	2	1	1	0	5	4	0	0	1	2	0	5	5	4	1	2	1
Hhon_g00162.t1	1	1	0	3	1	0	1	2	2	2	6	2	1	1	1	0	1	4	2	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	1	4	15	3
Hhon_g00164.t1	1	2	5	1	4	7	13	0	2	0	11	3	1	1	3	1	2	3	12	1	0	3	1	3	0	2	4	1	2	11	0	1	6	7	6	3	6	5
Hhon_g00166.t1	1	0	0	0	0	0	1	3	0	2	5	1	2	1	0	0	1	0	1	1	1	1	1	1	1	2	1	0	0	1	0	0	2	2	2	5	2	2
Hhon_g00169.t1	0	2	0	0	1	0	0	0	1	0	1	2	0	2	0	0	3	0	0	0	0	1	0	0	0	2	2	0	0	1	1	0	2	0	0	0	4	0
Hhon_g00171.t1	1	0	0	0	0	0	0	1	0	0	3	3	2	0	1	1	6	3	2	1	1	0	0	0	2	0	1	1	0	5	2	1	3	3	0	1	5	0
Hhon_g00172.t1	1	4	0	2	0	0	2	2	1	1	14	5	1	7	5	2	11	3	4	0	4	3	6	3	1	3	3	3	5	6	4	1	10	4	1	8	8	4
Hhon_g00173.t1	1	0	1	0	2	0	0	0	2	0	4	0	0	1	1	2	4	0	0	0	0	3	0	0	0	12	3	1	5	2	2	1	5	1	1	1	3	0
Hhon_g00176.t1	1	4	0	1	4	3	3	1	1	2	5	3	5	5	3	3	7	4	2	2	0	7	0	1	0	4	7	5	3	12	0	0	5	6	4	2	0	3
Hhon_g00180.t1	0	0	0	0	0	0	0	0	0	6	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_16	0	0	0	1	0	0	0	0	2	9	41	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0
Hhon_g00181.t1	3	0	1	0	3	0	3	0	1	1	2	2	3	0	1	0	0	0	0	1	2	4	6	0	3	0	0	0	0	1	1	0	1	1	0	3	1	1
