peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00243.t1	1	6	3	0	2	1	4	1	9	2	4	6	2	0	0
Hhon_g00245.t1	0	4	3	0	1	0	1	0	6	0	1	0	0	0	1
Hhon_g00248.t1	0	13	1	1	3	0	7	1	9	0	2	9	1	3	1
Hhon_g00249.t1	1	11	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00251.t1	1	2	2	0	0	0	436	0	0	0	0	0	0	0	0
Hhon_g00252.t1	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0
Hhon_g00254.t1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
Hhon_g00255.t1	2	5	0	0	1	1	0	0	4	0	0	2	1	0	1
Hhon_g00256.t1	0	1	2	3	6	7	4	0	11	0	1	2	0	1	0
Hhon_orphan_27	1	6	10	0	1	1	13	6	15	0	2	1	1	0	1
Hhon_g00258.t1	4	6	32	5	7	6	22	12	45	4	8	4	3	8	1
Hhon_g00260.t1	155	383	111	23	30	46	174	129	429	25	100	138	60	83	21
Hhon_g00261.t1	38	141	66	11	23	21	99	81	201	19	59	61	33	44	17
Hhon_orphan_28	7	14	3	0	0	10	18	11	33	0	3	16	0	4	1
Hhon_g00264.t1	7	23	27	1	8	9	11	6	20	3	3	5	10	5	1
Hhon_g00267.t1	2	10	6	2	1	1	11	4	19	2	1	9	5	1	2
Hhon_g00270.t1	0	1	0	0	0	0	0	0	6	0	0	4	0	2	0
Hhon_orphan_29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g00273.t1	1	23	9	4	4	3	15	8	21	3	14	22	3	6	2
Hhon_g00274.t1	0	2	1	0	2	1	5	2	0	0	0	1	0	0	0
Hhon_g00275.t1	2	15	8	2	7	3	5	5	13	1	2	2	3	1	0
Hhon_g00279.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g00280.t1	0	2	0	0	1	0	2	2	7	0	3	4	0	1	0
Hhon_g00281.t1	164	273	3	1	1	0	8	8	11	0	8	1	2	17	0
Hhon_g00283.t1	11	28	14	7	4	5	25	7	40	6	16	14	5	5	6
Hhon_g00284.t1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Hhon_g00002.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00003.t1	0	3	0	0	1	0	4	1	3	0	3	1	1	0	0
Hhon_g00004.t1	1	2	0	0	1	2	2	0	6	0	2	13	3	10	6
Hhon_g00005.t1	0	1	0	1	0	0	1	1	2	0	0	0	2	0	0
Hhon_g00006.t1	0	0	2	0	0	0	2	0	2	0	1	0	0	3	0
Hhon_g00007.t1	0	0	5	0	1	1	4	5	8	0	4	2	0	2	0
Hhon_g00008.t1	1	0	1	0	1	1	4	4	6	0	13	10	4	2	1
Hhon_g00009.t1	0	0	0	0	0	0	5	2	7	0	1	0	0	0	0
Hhon_g00011.t1	67	232	195	19	55	50	227	123	577	79	144	53	78	62	19
Hhon_g00013.t1	8	2	0	0	0	0	0	11	10	0	1	9	0	2	0
Hhon_g00014.t1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Hhon_g00015.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00016.t1	1	3	0	1	3	0	6	2	10	0	19	5	1	5	0
Hhon_g00023.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g00024.t1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Hhon_g00025.t1	10	11	23	3	20	20	42	13	23	6	5	3	7	21	18
Hhon_orphan_32	0	2	3	0	2	1	1	1	2	2	1	0	0	1	1
Hhon_g00027.t1	2	16	9	8	10	14	36	9	52	2	8	7	8	4	1
Hhon_g00030.t1	0	0	4	0	2	1	3	0	3	0	2	2	4	6	1
Hhon_g00032.t1	0	3	5	0	0	1	3	0	24	0	0	0	0	0	0
Hhon_g00033.t1	21	85	14	1	6	4	20	8	36	3	8	19	3	7	3
Hhon_g00035.t1	14	17	3	0	0	2	6	3	25	3	2	7	2	4	2
Hhon_g00041.t1	33	63	7	1	0	2	12	8	45	4	11	13	5	7	0
Hhon_g00044.t1	4	7	10	3	4	7	6	5	20	2	7	2	3	5	6
Hhon_g00045.t1	0	0	0	0	0	0	0	0	1	0	2	3	1	0	0
Hhon_g00046.t1	0	4	3	0	0	1	5	1	4	8	13	5	0	1	1
Hhon_g00048.t1	1	26	90	0	0	1	5	1	3	23	56	22	1	32	0
Hhon_g00050.t1	11	29	4	0	7	5	15	7	42	3	9	8	15	11	1
Hhon_g00052.t1	1	7	11	5	10	8	22	1	18	3	5	7	15	2	6
Hhon_g00054.t1	8	18	22	3	5	12	49	48	163	4	30	16	21	8	9
Hhon_g00055.t1	3	6	2	1	0	0	6	9	14	0	1	0	0	0	0
Hhon_g00057.t1	0	2	0	0	0	0	3	0	1	0	0	0	0	2	0
Hhon_g00060.t1	0	1	0	1	0	3	4	0	0	0	0	0	0	0	0
Hhon_g00061.t1	3	9	13	4	4	6	18	10	36	0	2	5	6	3	1
Hhon_orphan_34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00062.t1	0	0	0	0	0	0	8	0	2	0	1	0	0	0	0
Hhon_g00063.t1	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0
Hhon_g00064.t1	0	14	9	1	1	3	26	2	4	0	4	6	3	1	2
Hhon_orphan_35	0	3	16	0	0	0	0	0	0	0	0	4	1	0	0
Hhon_g00067.t1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0
Hhon_g00069.t1	6	11	9	6	3	6	8	4	25	1	4	6	8	2	1
Hhon_g00070.t1	78	175	4	3	7	11	32	8	44	3	11	9	3	5	3
Hhon_g00072.t1	12	18	4	0	7	6	3	2	14	1	8	10	1	8	0
Hhon_g00075.t1	13	24	2	1	1	0	11	0	7	2	3	2	1	0	0
Hhon_g00076.t1	1	3	6	7	1	1	9	5	7	3	13	3	8	10	5
Hhon_g00077.t1	7	43	13	2	7	4	22	8	37	4	19	15	4	12	4
Hhon_orphan_36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g00081.t1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0
Hhon_g00083.t1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g00085.t1	1	1	0	0	2	0	3	1	3	1	1	0	2	3	2
Hhon_g00087.t1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
Hhon_orphan_38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g00090.t1	1	7	2	1	2	1	1	4	5	0	2	2	0	2	0
Hhon_orphan_39	2	2	0	0	0	6	23	5	5	1	1	2	1	5	4
Hhon_g00093.t1	0	6	3	1	1	0	6	2	1	3	5	11	1	6	0
Hhon_g00096.t1	1	6	2	0	2	0	4	0	4	1	0	1	2	2	0
Hhon_g00098.t1	206	345	89	28	53	36	248	264	859	22	198	207	108	88	59
Hhon_g00101.t1	5	10	7	1	2	6	9	5	13	3	7	7	2	5	0
Hhon_g00102.t1	1	5	0	1	1	0	3	2	7	0	1	1	0	2	1
Hhon_g00105.t1	5	23	14	7	11	8	24	15	29	12	11	17	5	8	3
