peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g08453.t1	20	3	4	0	26	0	14	5	5	0	0	1	1	13	0
Hhon_g08454.t1	58	7	5	2	92	2	29	8	10	0	6	4	1	33	1
Hhon_g08457.t1	0	0	0	0	0	1	0	0	3	0	0	0	0	10	0
Hhon_g08459.t1	4	13	10	1	6	2	6	5	23	6	5	8	3	7	0
Hhon_g08461.t1	0	1	1	0	0	1	1	0	1	0	2	1	0	0	0
Hhon_g08463.t1	2	2	8	3	7	2	20	2	30	1	4	1	1	1	2
Hhon_g08465.t1	0	2	0	0	0	2	0	1	2	0	0	2	0	0	0
Hhon_g08467.t1	1	5	1	1	1	1	2	0	5	1	6	4	2	0	0
Hhon_g08468.t1	0	0	1	0	0	0	1	0	1	1	1	2	0	0	0
Hhon_g08469.t1	0	5	2	0	0	1	2	1	2	2	2	4	1	1	2
Hhon_g08471.t1	8	33	7	4	1	1	9	9	32	6	4	17	5	2	3
Hhon_g08473.t1	61	265	35	13	23	15	50	19	110	11	29	35	27	20	10
Hhon_g08475.t1	1	0	0	0	1	3	2	0	3	2	3	3	0	1	0
Hhon_g08477.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g08446.t1	1	3	4	0	0	0	5	1	25	1	2	4	3	0	0
Hhon_orphan_1684	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
Hhon_g08449.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_1685	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08455.t1	0	6	0	0	0	1	3	1	24	0	7	8	1	0	0
Hhon_orphan_1686	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08456.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Hhon_g08458.t1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Hhon_g08460.t1	1	5	2	0	0	0	2	3	2	3	2	3	0	0	0
Hhon_g08462.t1	0	1	2	1	0	0	5	0	18	0	0	0	0	3	4
Hhon_g08464.t1	1	3	1	1	0	0	2	0	3	1	1	4	0	0	0
Hhon_g08466.t1	2	27	11	0	5	5	22	2	25	1	7	28	1	3	3
Hhon_g08470.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Hhon_g08472.t1	6	33	16	8	9	9	23	11	27	1	9	13	4	7	3
Hhon_g08474.t1	0	2	7	0	0	1	2	1	9	1	5	6	2	4	2
Hhon_g08476.t1	1	4	3	0	0	1	4	0	7	1	2	1	1	5	1
Hhon_orphan_1687	0	1	1	0	0	0	1	3	2	5	2	0	0	0	0
Hhon_g08481.t1	0	0	0	0	0	0	1	0	48	1	2	0	0	1	0
Hhon_g08483.t1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08484.t1	0	0	2	0	0	0	0	1	6	1	4	1	1	0	0
Hhon_g08486.t1	0	9	6	11	4	9	15	4	17	6	5	7	11	3	1
Hhon_g08488.t1	0	4	0	0	1	0	0	0	2	0	0	2	0	0	0
Hhon_orphan_1688	2	9	3	1	2	2	8	4	6	0	5	1	1	0	1
Hhon_g08492.t1	3	0	3	0	0	2	6	0	8	0	1	0	1	3	0
Hhon_g08494.t1	30	73	45	14	35	30	60	39	138	21	44	16	37	29	14
Hhon_g08498.t1	1	9	7	2	3	2	9	2	14	3	4	12	1	3	1
Hhon_g08500.t1	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0
Hhon_g08501.t1	3	9	4	3	3	1	9	1	7	1	2	3	4	1	1
Hhon_orphan_1690	0	0	0	0	0	0	4	0	15	1	0	0	0	0	0
Hhon_g08503.t1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0
Hhon_g08506.t1	40	69	49	10	14	14	63	18	86	12	22	24	30	32	7
Hhon_g08507.t1	13	34	29	3	5	6	29	23	47	4	17	16	8	6	1
Hhon_g08509.t1	0	3	1	0	0	0	2	1	4	0	1	1	0	0	1
Hhon_orphan_1691	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0
Hhon_g08480.t1	0	7	1	2	2	1	5	1	10	3	8	0	1	0	0
Hhon_orphan_1692	0	2	1	0	1	0	1	0	1	1	2	0	0	0	0
Hhon_g08482.t1	0	2	0	0	1	0	3	0	5	1	2	1	3	0	0
Hhon_g08485.t1	3	3	3	0	2	1	3	2	7	0	2	1	0	1	0
Hhon_g08487.t1	7	24	14	4	8	3	17	10	24	6	6	8	2	3	2
Hhon_g08489.t1	15	12	4	0	1	1	3	1	11	1	1	1	0	0	0
Hhon_g08490.t1	8	27	48	8	26	29	101	13	81	12	18	7	15	12	2
Hhon_g08491.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Hhon_g08493.t1	113	252	66	24	57	27	163	150	539	32	104	91	60	55	37
Hhon_g08495.t1	52	119	87	21	41	46	105	67	152	43	30	28	20	35	14
Hhon_g08496.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g08497.t1	9	19	13	3	2	3	14	7	26	3	3	15	5	5	1
Hhon_g08499.t1	1	3	0	0	0	0	2	0	4	2	2	1	0	2	0
Hhon_g08502.t1	2	10	6	0	0	0	65	1	88	18	14	1	4	1	4
Hhon_orphan_1693	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08504.t1	0	10	2	2	3	2	10	2	42	2	7	10	8	7	2
Hhon_g08505.t1	16	28	20	3	11	18	31	25	71	5	18	9	9	11	2
Hhon_g08508.t1	0	0	0	0	0	0	1	1	5	0	2	1	0	2	0
Hhon_g08510.t1	2	2	0	0	0	1	2	0	9	0	2	3	0	1	0
Hhon_orphan_1694	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Hhon_g08521.t1	1	12	8	4	4	9	18	8	25	0	9	12	7	6	3
Hhon_g08522.t1	1	2	5	0	1	0	13	4	33	1	3	4	1	1	0
Hhon_g08524.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08525.t1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08527.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08528.t1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g08532.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_1696	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0
Hhon_g08536.t1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
Hhon_g08514.t1	0	12	6	2	0	4	25	5	73	2	11	8	1	1	1
Hhon_g08515.t1	2	5	0	0	0	1	4	3	3	2	2	1	1	2	0
Hhon_g08516.t1	2	6	2	0	1	0	11	0	7	0	2	0	3	8	1
Hhon_g08517.t1	0	0	0	0	0	0	4	3	13	0	1	1	0	9	0
Hhon_g08518.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Hhon_g08519.t1	0	3	1	0	0	0	5	0	0	0	1	0	0	0	0
Hhon_g08520.t1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_orphan_1697	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_orphan_1698	1	2	1	0	5	0	5	5	7	2	2	0	0	2	0
Hhon_g08534.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Hhon_g08538.t1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0
Hhon_g08539.t1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0
Hhon_orphan_1699	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g08542.t1	3	35	1	0	1	0	0	0	1	2	2	11	1	1	2
Hhon_g08544.t1	0	1	1	0	1	0	1	1	7	0	1	3	1	0	0
Hhon_g08545.t1	0	6	5	0	1	3	28	0	4	1	87	29	11141	0	0
Hhon_g08546.t1	7	13	9	2	4	4	9	5	17	2	12	9	1	4	4
Hhon_g08547.t1	1	4	1	0	0	0	2	0	1	0	2	0	0	1	0
Hhon_g08549.t1	11	39	20	8	7	11	21	11	56	5	8	6	9	10	8
Hhon_g08550.t1	49	135	85	22	39	23	111	68	205	54	108	156	46	135	30
Hhon_g08552.t1	23	70	39	10	13	16	34	25	63	7	26	15	23	20	5
Hhon_g08554.t1	2	5	0	0	2	0	0	1	4	2	1	1	0	5	0
Hhon_g08555.t1	0	0	1	0	1	0	0	1	2	0	1	2	46	3909	232
Hhon_g08556.t1	6	0	0	0	0	0	2	0	2	0	0	0	1	1671	1
Hhon_orphan_1700	8	4	0	0	0	0	2	0	0	0	0	13	0	0	0
Hhon_g08562.t1	0	7	27	0	0	0	11	0	4	0	0	42	1	0	0
Hhon_g08566.t1	12	30	25	5	14	11	34	13	64	8	30	60	9	25	6
Hhon_g08568.t1	1	7	4	0	5	3	7	3	12	1	1	1	3	3	0
Hhon_g08569.t1	9	29	12	2	4	6	63	29	20	5	11	9	4	4	5
Hhon_g08571.t1	2	0	6	0	1	1	8	3	14	0	2	2	0	1	0
Hhon_g08543.t1	14	46	12	1	5	2	13	14	44	2	16	13	4	11	6
Hhon_g08548.t1	9	21	16	5	5	9	17	9	32	6	8	8	6	5	2
Hhon_g08551.t1	11	41	35	6	16	20	51	13	69	9	39	21	28	16	6
Hhon_g08553.t1	9	26	11	2	4	2	11	12	28	7	10	12	5	14	2
Hhon_g08557.t1	0	0	0	0	0	3	22	51	371	0	11	0	0	16	56
Hhon_g08558.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g08559.t1	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0
Hhon_g08560.t1	414	255	19	0	1	0	33	2	0	0	6	285	32	0	18
Hhon_g08561.t1	1	28	10	0	0	3	16	4	29	0	12	23	3	6	3
Hhon_g08563.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08564.t1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0
Hhon_g08565.t1	4	4	8	3	1	5	9	5	17	1	5	10	4	7	0
Hhon_g08567.t1	0	21	3	1	1	2	5	1	16	0	7	2	2	5	1
Hhon_orphan_1702	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08570.t1	1	1	3	1	1	0	0	1	3	0	0	0	1	0	0
Hhon_g08572.t1	0	0	1	0	1	0	2	0	0	0	1	1	0	1	0
Hhon_g08573.t1	0	2	1	1	2	3	1	1	4	0	0	5	0	2	0
Hhon_g08574.t1	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0
Hhon_g08577.t1	0	1	1	0	0	0	3	0	7	0	1	0	0	0	0
Hhon_g08579.t1	0	3	1	0	0	0	0	2	3	0	1	1	1	1	0
Hhon_orphan_1703	0	9	14	0	0	0	1	8	17	0	0	0	2	0	0
Hhon_g08582.t1	0	53	196	0	0	1	2	23	4	0	0	2	0	0	0
Hhon_orphan_1705	0	0	0	1	5	2	3	3	44	0	5	0	0	0	0
Hhon_orphan_1706	0	0	0	0	0	3	2	1	1	0	1	1	0	0	0
Hhon_g08586.t1	1	3	0	0	1	0	2	2	22	1	5	4	1	8	1
Hhon_g08587.t1	2	0	5	0	1	0	1	0	3	0	1	0	5	0	2
Hhon_g08589.t1	23	30	29	9	13	13	52	20	92	10	20	18	5	22	5
Hhon_orphan_1707	0	2	1	0	0	1	3	1	0	0	0	0	0	0	0
Hhon_orphan_1708	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Hhon_g08592.t1	1	28	12	1	3	3	14	2	32	1	4	0	0	1	1
Hhon_g08593.t1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08594.t1	2	5	1	1	2	0	0	2	8	0	1	2	1	0	0
Hhon_g08595.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08575.t1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0
Hhon_g08576.t1	0	2	2	0	2	0	7	6	8	1	10	19	1	1	1
Hhon_g08578.t1	5	5	3	0	2	2	8	0	5	1	3	0	2	4	3
Hhon_g08580.t1	15	53	19	14	15	11	40	25	141	11	22	27	18	14	12
Hhon_g08581.t1	2	9	23	3	5	2	17	5	21	4	8	3	6	6	0
Hhon_orphan_1709	0	4	12	0	0	1	0	13	0	0	0	0	0	0	0
Hhon_g08583.t1	0	11	0	14	54	69	57	46	106	8	6	11	0	0	0
Hhon_orphan_1710	1	0	0	2	1	3	15	20	11	0	3	3	0	0	0
Hhon_g08584.t1	0	1	0	2	1	3	32	46	8	0	0	3	4	0	0
Hhon_orphan_1711	2	0	1	2	2	1	50	74	6	0	0	5	0	0	0
Hhon_g08585.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g08588.t1	298	642	223	92	131	115	546	374	1568	58	242	236	210	178	111
Hhon_g08590.t1	0	61	75	0	0	16	9	2	10	0	3	0	1	14	0
Hhon_orphan_1713	0	11	9	0	0	2	1	0	1	0	0	0	0	1	0
Hhon_orphan_1714	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08597.t1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g08600.t1	1	0	1	0	1	0	2	2	6	1	0	2	0	0	0
Hhon_g08603.t1	0	3	0	0	0	0	3	2	9	0	5	2	0	1	0
Hhon_orphan_1715	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1
Hhon_g08605.t1	3	5	5	0	0	1	11	1	15	2	1	0	0	4	5
Hhon_g08607.t1	1	5	19	0	0	0	4	0	0	0	0	0	0	2	0
Hhon_orphan_1716	8	11	0	0	0	0	0	0	0	0	2	1	0	0	0
Hhon_g08608.t1	163	472	0	0	1	0	7	0	2	0	25	48	0	0	0
Hhon_g08610.t1	1	7	8	0	3	4	15	13	124	3	16	9	4	20	1
Hhon_g08612.t1	14	54	59	7	12	20	59	25	77	17	37	29	17	10	3
Hhon_orphan_1717	0	2	0	0	0	0	0	0	3	0	1	0	0	0	2
Hhon_g08613.t1	3	7	4	1	2	0	1	5	16	4	0	0	0	0	3
Hhon_g08614.t1	2	2	1	0	2	0	4	30	11	0	1	2	1	3	2
Hhon_g08615.t1	2	11	4	1	4	3	17	12	3	1	3	0	14	0	1
Hhon_g08618.t1	1	1	2	1	2	3	4	0	6	6	8	4	1	3	0
Hhon_g08620.t1	0	5	3	0	0	0	2	0	9	0	0	1	0	1	0
Hhon_g08622.t1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0
Hhon_g08599.t1	0	0	2	0	0	2	26	5	5	2	0	0	1	6	11
Hhon_g08601.t1	0	2	2	0	0	1	4	4	8	0	0	1	1	0	0
Hhon_g08602.t1	3	13	16	3	7	2	12	9	8	4	6	6	1	3	4
Hhon_g08604.t1	0	7	3	0	3	1	3	5	4	1	4	3	1	1	1
Hhon_g08606.t1	0	0	1	0	0	6	105	1	1	0	0	0	1	21	1
Hhon_orphan_1719	0	4	13	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08611.t1	0	4	1	3	1	0	2	1	2	0	2	0	0	1	1
Hhon_g08616.t1	1	7	6	0	3	3	9	4	17	2	5	2	2	4	2
Hhon_g08617.t1	2	6	2	0	0	1	1	1	2	1	0	0	0	2	0
Hhon_g08619.t1	0	16	1	0	1	0	15	6	17	3	3	6	1	9	4
Hhon_g08621.t1	0	2	1	0	0	0	0	0	0	2	0	2	1	2	0
Hhon_g08623.t1	0	2	1	0	0	0	2	3	4	0	0	0	1	1	0
Hhon_g08624.t1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0
Hhon_g08626.t1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g08627.t1	0	6	3	2	5	0	12	7	21	4	3	4	3	5	5
Hhon_g08630.t1	0	0	0	0	0	1	1	0	2	0	0	1	1	0	1
Hhon_g08632.t1	4	1	2	3	0	2	5	1	8	2	3	6	0	2	0
Hhon_g08633.t1	0	3	1	0	0	0	0	0	3	1	0	1	0	0	0
Hhon_g08636.t1	0	10	2	1	0	0	0	0	8	1	1	2	1	4	0
Hhon_g08637.t1	0	1	3	0	1	0	6	0	3	1	1	4	0	0	0
Hhon_orphan_1720	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g08638.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g08640.t1	0	0	0	0	0	0	1	1	2	0	0	0	0	2	1
Hhon_g08641.t1	0	2	1	3	2	8	10	2	38	0	1	1	0	14	3
Hhon_g08643.t1	0	0	2	0	0	0	1	1	0	1	1	2	0	0	0
Hhon_g08645.t1	3	5	10	1	8	3	8	8	12	1	6	4	3	2	4
Hhon_g08647.t1	3	10	1	0	1	3	10	3	11	1	7	0	2	6	2
Hhon_g08648.t1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08649.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g08628.t1	7	25	5	0	6	3	15	6	24	3	10	12	6	11	2
Hhon_g08631.t1	2	7	10	2	10	1	16	8	28	5	4	13	2	6	0
Hhon_g08634.t1	8	18	6	2	0	2	9	8	13	1	9	5	3	3	0
Hhon_g08635.t1	1	9	4	0	3	3	3	1	13	0	2	2	2	4	0
Hhon_orphan_1722	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g08642.t1	3	13	17	3	12	6	12	6	35	2	8	7	8	3	2
Hhon_orphan_1723	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g08644.t1	3	5	3	0	3	2	5	2	11	2	4	4	2	0	2
Hhon_g08646.t1	0	3	1	3	3	5	3	2	5	0	1	0	1	2	0
Hhon_orphan_1724	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08650.t1	3	6	4	1	3	3	8	2	6	1	3	2	2	3	0
Hhon_g08662.t1	0	5	0	0	0	0	5	0	3	3	6	1	0	6	4
Hhon_g08665.t1	1	7	6	1	2	3	10	6	12	4	3	4	1	1	0
Hhon_orphan_1729	4	9	3	1	3	2	1	3	12	0	2	0	0	4	2
Hhon_g08667.t1	13	32	6	6	4	5	14	2	78	5	12	6	5	19	12
Hhon_g08671.t1	0	1	2	0	0	2	1	1	2	0	0	1	0	0	0
Hhon_orphan_1730	0	0	2	1	1	0	9	0	0	0	0	0	0	0	0
Hhon_g08653.t1	4	8	5	0	4	1	6	3	10	1	5	6	2	2	2
Hhon_g08654.t1	2	10	4	3	5	1	4	2	12	8	7	6	3	4	3
Hhon_g08655.t1	1	3	1	1	0	0	1	0	7	0	1	0	0	1	0
Hhon_g08656.t1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Hhon_g08657.t1	0	2	1	0	0	1	4	0	3	0	1	0	0	0	0
Hhon_g08658.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_g08660.t1	0	3	0	0	0	0	1	0	2	0	4	3	1	1	0
Hhon_g08661.t1	0	2	0	0	0	0	2	0	1	1	1	4	5	3	3
Hhon_g08666.t1	6	5	8	4	0	5	11	6	22	1	7	7	5	7	2
Hhon_g08668.t1	0	5	8	0	1	0	16	1	13	2	4	0	11	2	3
Hhon_orphan_1731	0	1	4	0	0	0	3	0	6	2	0	0	1	1	0
Hhon_orphan_1732	0	5	16	0	1	0	10	11	41	3	8	4	8	5	1
Hhon_g08669.t1	5	11	16	3	0	7	15	9	26	3	13	9	11	13	3
Hhon_g08670.t1	1	3	0	1	1	0	0	0	1	1	1	0	0	1	0
Hhon_g08672.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	46	0
Hhon_g08673.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Hhon_g08674.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hhon_g08676.t1	0	0	0	3	2	0	3	1	11	0	1	0	0	0	0
Hhon_g08677.t1	0	0	0	0	0	0	2	3	47	0	1	0	0	0	0
Hhon_g08678.t1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Hhon_g08679.t1	0	1	0	0	0	0	18	21	26	0	1	0	0	0	0
Hhon_g08680.t1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
Hhon_g08681.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	21	5
Hhon_g08682.t1	0	3	4	0	1	1	3	1	3	0	3	3	0	11	0
Hhon_g08684.t1	0	4	0	0	0	0	1	1	1	0	0	1	0	0	1
Hhon_g08687.t1	0	0	0	0	0	5	0	3	4	0	0	0	0	0	0
Hhon_orphan_1733	0	0	0	4	9	5	14	0	21	0	0	0	0	0	0
Hhon_g08696.t1	2	2	1	0	0	0	0	1	1	0	1	0	0	1	0
Hhon_g08697.t1	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0
Hhon_g08683.t1	0	3	0	0	1	0	3	1	6	1	3	4	1	1	1
Hhon_g08685.t1	2	17	18	2	5	12	33	14	27	5	7	11	5	3	0
Hhon_g08686.t1	0	0	2	0	0	1	27	4	21	0	0	0	0	2	2
Hhon_g08688.t1	0	1	0	0	0	0	21	10	6	0	0	0	0	0	1
Hhon_g08689.t1	0	0	0	0	0	2	42	11	21	0	8	2	0	1	2
Hhon_g08690.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Hhon_g08691.t1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
Hhon_g08692.t1	2	3	5	0	10	29	21	0	29	0	7	0	8	2	0
Hhon_g08693.t1	0	0	0	1	2	11	16	0	3	0	2	0	0	0	0
Hhon_g08694.t1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Hhon_g08695.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08698.t1	1	3	0	0	0	0	0	2	4	0	0	1	0	1	0
Hhon_orphan_1736	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08705.t1	0	1	0	0	0	0	2	0	3	0	0	0	1	2	1
Hhon_g08707.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08709.t1	0	0	1	0	0	1	0	0	4	1	0	0	1	0	0
Hhon_g08710.t1	1	7	4	0	1	0	4	1	22	0	0	1	2	1	1
Hhon_orphan_1737	0	0	0	1	0	0	2	0	2	0	0	0	0	3	2
Hhon_g08717.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g08718.t1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0
Hhon_g08719.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	32	2
Hhon_g08720.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Hhon_g08722.t1	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0
Hhon_g08723.t1	0	7	26	0	0	10	44	19	10	0	1	6	6	0	0
Hhon_g08724.t1	3	5	4	2	1	3	9	0	9	0	2	3	1	0	2
Hhon_g08726.t1	0	17	8	3	2	2	19	2	37	1	8	8	2	0	2
Hhon_g08699.t1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Hhon_g08700.t1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Hhon_g08702.t1	2	5	5	1	5	5	10	7	32	5	5	4	3	6	3
Hhon_g08703.t1	3	1	0	0	0	0	0	1	2	1	2	2	1	2	2
Hhon_g08704.t1	5	21	12	1	2	4	4	2	20	9	7	0	1	6	1
Hhon_orphan_1740	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0
Hhon_g08708.t1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
Hhon_orphan_1741	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Hhon_g08713.t1	0	1	1	0	0	0	7	0	3	0	0	0	0	0	0
Hhon_g08715.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
Hhon_g08716.t1	6	3	0	2	0	0	12	4	0	0	0	1	0	4	7
Hhon_orphan_1743	6	2	0	1	0	0	11	0	2	0	0	0	0	2	2
Hhon_g08721.t1	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0
Hhon_g08725.t1	1	0	2	2	1	3	3	3	1	3	3	1	0	0	0
Hhon_orphan_1744	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0
Hhon_g08727.t1	0	2	6	3	4	7	35	13	79	0	11	4	3	0	1
Hhon_g08728.t1	5	16	2	2	3	2	8	5	31	1	1	8	7	6	5
Hhon_g08729.t1	0	0	1	19	27	20	49	59	13	0	0	0	1	0	0
Hhon_orphan_1745	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0
Hhon_g08730.t1	0	6	1	2	1	2	3	0	8	1	4	0	2	1	0
Hhon_g08736.t1	0	2	6	0	2	0	0	3	8	1	2	5	2	2	0
Hhon_g08737.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Hhon_g08739.t1	0	7	2	0	0	0	4	1	5	0	1	2	1	1	0
Hhon_g08742.t1	0	2	2	0	0	0	0	0	1	0	1	1	1	0	0
Hhon_g08745.t1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0
Hhon_orphan_1747	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0
Hhon_g08752.t1	0	0	1	0	0	0	6	0	1	7	13	1	2	0	0
Hhon_g08731.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g08732.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08733.t1	0	0	0	0	3	8	7	0	15	0	0	0	6	0	0
Hhon_g08734.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08735.t1	0	0	0	1	0	1	3	2	3	0	2	0	0	0	0
Hhon_g08738.t1	6	3	3	0	2	0	1	1	11	3	2	3	1	2	0
Hhon_g08740.t1	0	2	0	0	0	1	0	0	2	0	2	11	0	0	1
Hhon_g08741.t1	4	19	16	4	5	6	15	2	23	3	9	6	4	7	7
Hhon_g08743.t1	2	2	0	1	1	0	3	0	3	0	0	1	0	0	0
Hhon_g08744.t1	47	127	262	91	225	67	341	86	569	56	364	1484	74	97	78
Hhon_g08746.t1	0	1	0	0	0	0	2	1	14	0	3	0	0	1	0
Hhon_g08747.t1	0	0	0	0	2	1	1	0	0	0	0	2	0	0	0
Hhon_g08748.t1	2	5	0	0	0	0	10	11	50	0	3	5	2	7	2
Hhon_g08749.t1	3	1	1	0	0	0	1	1	6	2	4	4	1	0	0
Hhon_orphan_1749	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g08759.t1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0
Hhon_g08760.t1	1	9	5	1	3	0	8	3	17	2	2	2	0	1	0
Hhon_g08761.t1	0	2	4	1	1	0	3	0	4	1	0	3	1	2	0
Hhon_g08762.t1	2	7	5	0	2	0	5	2	19	2	6	2	7	1	3
Hhon_g08764.t1	10	46	17	4	5	4	16	12	50	11	12	14	6	5	3
Hhon_g08765.t1	1	0	0	1	0	0	1	1	3	3	0	4	0	1	0
Hhon_g08767.t1	2	8	3	0	0	1	8	2	13	1	3	0	1	2	1
Hhon_g08770.t1	9	13	13	6	5	2	3	5	18	2	7	7	5	6	2
Hhon_g08771.t1	8	26	14	3	6	5	24	15	42	10	4	14	7	6	2
Hhon_g08773.t1	2	4	8	3	6	5	9	3	33	3	3	3	5	9	3
Hhon_g08776.t1	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0
Hhon_g08777.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g08778.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g08779.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
