lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_orphan_2599	13	0	2	1	0	5	4	0	4	4	4	2	43	2	1	20	25	13	44	0	1	3	1	0	2	2	5	1	5	3	2	3	1	0	0
HoiH23_PlH23_004103	0	0	0	0	1	0	0	0	1	1	0	0	8	0	0	4	4	2	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_004104	1	0	0	0	0	0	2	0	0	2	0	0	9	1	0	5	3	0	4	0	0	0	0	0	1	0	2	0	0	0	2	2	0	1	0
HoiH23_orphan_2600	11	0	0	0	0	1	0	0	1	4	1	0	13	0	1	7	5	4	10	2	0	1	0	1	0	0	1	0	1	0	3	0	1	0	0
HoiH23_PlH23_004107	138	0	13	14	5	70	51	0	75	39	13	0	455	1	15	363	547	99	403	41	55	1	2	7	5	37	73	30	1	37	56	21	12	0	1
HoiH23_PlH23_004109	327	11	49	9	15	80	88	16	53	146	50	24	773	24	17	263	521	213	485	16	24	27	14	12	21	19	79	47	21	33	29	26	15	18	5
HoiH23_PlH23_004110	63	3	8	3	3	21	14	2	14	27	8	2	130	4	3	46	93	49	79	4	5	7	5	0	7	4	10	5	5	4	7	8	3	3	0
HoiH23_orphan_2601	14	0	2	0	1	2	2	0	1	6	0	0	24	0	1	5	25	12	16	1	3	0	0	0	0	0	3	0	0	0	0	2	5	0	0
HoiH23_PlH23_004083	59	1	8	0	2	7	18	1	13	20	5	5	133	6	4	59	101	51	86	1	11	9	5	3	0	7	19	6	3	6	5	10	2	2	2
HoiH23_PlH23_004084	0	0	0	0	0	0	1	0	0	2	1	0	8	0	0	2	8	4	5	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0
HoiH23_PlH23_004085	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	1	4	3	3	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0
HoiH23_PlH23_004086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_004087	94	1	13	2	3	41	46	6	26	30	14	7	262	11	6	122	192	93	218	5	9	9	4	3	7	9	29	15	11	17	9	11	4	7	6
HoiH23_PlH23_004088	17	0	1	0	3	2	6	0	3	6	0	1	34	1	0	22	22	11	39	1	1	1	1	1	1	0	2	0	3	1	1	1	0	1	0
HoiH23_PlH23_004089	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	3	2	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
HoiH23_PlH23_004090	93	0	12	3	7	32	27	3	22	25	11	4	220	7	5	89	152	81	174	7	6	6	3	4	7	9	29	7	5	15	9	9	7	5	3
HoiH23_PlH23_004091	55	2	13	1	3	26	22	1	9	20	5	2	144	7	2	51	109	47	97	1	6	5	2	3	3	2	12	4	6	3	7	4	7	4	1
HoiH23_PlH23_004092	149	6	24	6	3	36	61	5	30	57	18	8	380	15	10	161	254	98	232	11	19	28	1	6	8	8	42	14	21	20	11	15	11	13	0
HoiH23_PlH23_004093	122	5	20	5	3	29	29	5	15	60	17	8	371	16	8	116	206	95	224	8	7	13	5	4	11	3	30	15	9	18	12	7	8	7	1
HoiH23_PlH23_004094	7	0	2	0	0	1	4	0	2	5	0	3	15	0	0	6	11	1	6	0	1	2	0	0	0	0	2	1	0	0	0	1	1	0	0
HoiH23_PlH23_004095	152	4	25	7	11	43	29	6	27	66	14	11	416	9	3	130	278	97	235	3	14	18	8	7	14	10	20	15	11	14	15	14	8	8	0
HoiH23_PlH23_004096	77	3	10	3	3	33	23	2	20	31	10	5	234	4	8	114	156	79	204	5	15	14	3	13	4	8	15	8	5	16	11	14	7	3	2
HoiH23_PlH23_004097	164	2	25	5	6	76	64	2	36	65	20	8	501	9	13	201	330	179	393	11	27	21	12	8	14	18	45	15	16	37	19	21	23	13	7
HoiH23_PlH23_004098	25	0	2	2	3	7	8	1	3	7	2	1	74	0	2	31	64	21	54	0	2	4	2	1	1	5	12	2	1	5	3	1	2	3	1
HoiH23_PlH23_004099	22	1	3	0	2	9	3	0	6	12	2	2	55	2	0	14	34	19	31	2	1	2	2	1	0	2	3	1	2	3	2	1	1	1	0
HoiH23_PlH23_004100	89	5	13	5	7	19	55	4	18	46	11	4	263	8	10	82	142	50	136	2	6	12	6	2	6	7	22	22	8	17	7	5	6	6	3
HoiH23_PlH23_004101	133	3	20	2	6	27	24	8	15	66	21	11	282	13	7	87	189	86	183	11	8	14	4	2	6	6	29	12	1	7	9	8	6	8	0
HoiH23_orphan_2602	29	0	1	5	2	7	7	0	8	16	9	4	63	0	1	25	44	26	67	0	3	3	2	2	2	1	10	2	3	1	4	0	4	1	1
HoiH23_PlH23_004102	18	0	2	0	0	1	3	0	0	5	0	2	42	0	2	5	21	8	23	0	1	0	0	0	1	2	0	2	2	1	3	0	0	2	0
HoiH23_PlH23_004106	392	0	17	54	0	169	103	11	93	107	84	1	1025	1	50	807	916	166	827	131	109	1	2	0	3	149	200	148	13	116	85	42	75	0	42
HoiH23_orphan_2603	3	0	1	0	0	2	1	2	0	0	2	0	7	1	0	3	4	1	4	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0
HoiH23_PlH23_004108	65	2	9	0	2	28	26	0	15	13	17	1	209	2	2	72	111	68	150	6	2	16	3	11	2	2	23	13	8	10	5	7	4	1	1
HoiH23_PlH23_004111	221	12	46	2	3	55	30	16	13	96	17	15	461	17	4	113	306	96	175	19	13	8	1	1	10	7	18	20	15	3	4	2	6	13	0
HoiH23_orphan_2604	11	1	5	1	0	2	0	0	0	5	0	3	29	1	1	9	14	6	6	0	1	0	0	0	1	0	6	1	0	0	1	0	1	0	0
HoiH23_orphan_2605	5	0	1	0	0	1	2	0	1	1	1	0	15	0	0	7	8	4	13	0	1	1	0	0	0	0	1	0	0	1	1	0	3	0	0
HoiH23_orphan_2606	2	0	1	1	0	2	0	0	1	0	2	0	8	0	1	5	9	2	13	0	1	0	1	0	3	0	2	0	0	0	0	2	1	0	0
HoiH23_PlH23_011553	53	0	2	1	2	16	13	2	12	8	9	0	117	4	1	50	71	32	71	3	3	5	2	1	2	4	12	9	4	6	2	7	3	5	1
HoiH23_PlH23_011554	3	0	0	0	0	2	0	1	1	2	1	1	19	0	1	13	10	9	25	0	1	2	1	0	0	0	5	2	2	1	0	0	0	1	0
HoiH23_PlH23_011555	38	1	5	1	1	15	15	3	9	11	4	1	79	4	0	40	62	30	62	1	5	4	1	2	0	3	6	5	2	8	3	3	0	4	0
HoiH23_PlH23_011556	44	0	1	3	1	23	15	1	16	18	8	0	73	5	2	35	42	40	91	6	3	3	0	4	2	0	13	2	1	12	1	2	1	2	0
HoiH23_PlH23_010310	183	5	29	3	8	58	57	10	55	50	34	9	490	17	10	162	311	151	354	16	15	18	7	8	8	18	54	18	18	18	19	15	22	14	3
HoiH23_PlH23_010311	28	1	4	2	3	10	20	1	5	20	10	0	88	3	1	30	67	25	58	3	2	4	2	0	1	1	11	1	3	4	1	2	3	0	0
HoiH23_PlH23_010309	104	4	9	2	7	29	22	2	14	33	14	7	219	8	5	72	153	63	143	4	9	6	3	5	2	5	21	11	9	10	5	15	7	3	3
HoiH23_PlH23_010312	55	0	7	2	1	28	21	0	6	19	4	2	137	2	0	46	79	41	96	11	4	7	2	5	7	1	9	5	5	7	7	8	7	5	1
HoiH23_orphan_2607	876	16	96	21	38	295	350	30	206	333	155	39	2492	80	44	965	1585	766	1858	51	87	96	43	44	51	84	284	125	65	133	85	103	67	57	21
HoiH23_PlH23_010625	58	1	9	1	4	13	20	3	13	24	9	4	166	7	4	64	126	56	111	4	4	10	1	2	4	5	17	8	4	11	3	13	5	8	0
HoiH23_PlH23_010624	107	2	21	3	3	26	26	3	18	43	12	5	239	13	6	87	157	85	148	4	12	7	3	9	11	4	28	8	10	12	16	10	12	6	1
HoiH23_orphan_2608	9	0	1	0	2	3	6	0	6	5	2	1	39	2	0	17	28	10	37	1	1	3	1	1	1	1	7	2	0	4	2	2	0	4	0
HoiH23_PlH23_010626	142	2	20	8	6	39	32	5	28	61	19	12	298	19	5	91	214	92	188	4	11	15	4	5	5	8	26	4	11	9	14	10	7	9	1
HoiH23_PlH23_011122	1	0	1	0	0	0	2	0	0	0	1	0	10	0	0	4	5	2	5	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0
HoiH23_PlH23_011123	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_011124	2	0	0	0	0	0	3	0	1	0	0	0	5	0	0	1	2	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_PlH23_011073	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_011071	6	0	0	0	0	3	2	0	1	0	0	0	4	2	0	1	5	1	6	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0
HoiH23_PlH23_011072	6	2	1	0	0	4	8	0	2	3	0	0	21	4	0	6	23	8	21	1	3	0	2	3	0	0	3	1	0	1	0	0	0	1	0
HoiH23_orphan_2609	7	1	0	0	0	0	1	0	0	2	1	0	6	0	0	1	10	3	15	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
HoiH23_orphan_2610	4	0	0	0	0	0	0	0	0	3	0	0	13	1	0	0	9	1	3	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_orphan_2611	5	0	0	1	0	1	0	0	2	2	1	1	6	0	0	0	1	3	3	0	0	2	0	0	0	0	1	0	0	1	1	1	0	0	0
HoiH23_PlH23_010824	11	1	2	2	0	2	3	0	3	6	1	2	40	2	1	16	16	8	19	0	2	2	0	1	0	0	1	3	2	0	0	2	1	1	0
HoiH23_PlH23_010825	101	1	27	2	5	18	22	5	19	48	6	16	300	15	2	65	150	79	148	4	5	11	9	1	7	2	8	9	5	9	3	8	6	11	1
HoiH23_PlH23_011057	19	4	4	0	0	1	2	1	4	3	2	2	41	2	0	12	15	7	20	1	3	2	0	2	1	1	1	1	1	0	0	2	1	1	0
HoiH23_PlH23_011055	56	1	8	1	2	18	18	3	16	22	13	3	167	6	1	61	98	32	81	1	9	12	4	1	8	2	20	6	4	11	9	9	4	4	2
HoiH23_PlH23_011056	627	17	105	14	25	163	164	27	70	247	74	50	1605	64	26	517	921	470	965	37	48	50	28	10	42	38	139	64	50	67	48	47	38	42	13
HoiH23_PlH23_011033	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_011034	11	0	1	0	0	1	1	1	0	3	0	0	9	2	0	2	4	4	8	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
HoiH23_PlH23_011719	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_011720	2	0	0	0	1	0	0	0	1	1	1	0	7	0	1	3	6	6	5	0	0	3	0	1	0	1	0	0	1	1	0	0	0	0	0
HoiH23_PlH23_011721	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	7	3	5	8	1	0	1	3	1	0	0	1	1	0	0	1	2	0	0	2
HoiH23_orphan_2618	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_2619	3	0	0	0	0	0	0	0	1	2	0	0	3	1	0	1	4	2	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
HoiH23_orphan_2620	20	1	3	1	1	5	8	1	5	8	4	0	50	3	4	23	30	16	32	4	3	2	0	8	0	0	2	3	2	4	2	1	0	3	0
HoiH23_PlH23_006599	215	6	31	4	10	67	60	9	46	77	33	17	511	10	6	163	334	165	334	13	21	21	7	5	9	10	63	19	13	26	14	17	12	9	4
HoiH23_PlH23_006600	143	3	18	5	4	46	50	3	34	42	22	10	356	14	3	142	269	109	267	11	22	22	7	3	8	17	37	22	8	23	15	20	14	13	1
HoiH23_PlH23_006601	17	0	1	0	0	6	8	2	5	8	0	2	42	1	0	10	21	5	24	0	2	3	0	1	0	0	2	0	1	0	0	1	1	0	0
HoiH23_orphan_2621	15	0	2	0	0	4	2	1	5	1	2	1	30	0	0	11	11	10	19	0	0	1	0	0	0	0	0	2	0	1	3	0	1	0	0
HoiH23_PlH23_006603	92	1	6	6	3	22	31	0	18	33	8	0	220	11	4	93	135	77	164	6	2	11	3	5	7	3	26	12	3	15	6	9	8	6	1
HoiH23_PlH23_006604	85	2	6	1	2	29	32	6	14	35	14	2	259	10	3	88	141	59	186	5	7	13	4	14	5	4	18	12	3	16	7	7	9	1	5
HoiH23_PlH23_006607	8	0	1	0	0	0	1	0	2	3	0	0	14	0	0	7	9	14	17	0	0	0	0	3	0	1	1	2	5	0	0	0	0	1	0
HoiH23_PlH23_006608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006609	4	0	0	1	0	3	2	0	3	1	3	0	9	0	0	3	9	6	10	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0
HoiH23_orphan_2622	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006610	5969	219	939	222	292	1606	1822	243	1132	2815	811	378	15904	580	286	5353	10289	4504	10310	359	584	604	299	331	355	427	1515	664	428	686	514	605	471	365	151
HoiH23_orphan_2623	35	0	2	2	1	6	17	3	10	4	7	1	69	4	5	43	57	23	53	0	1	0	1	1	0	3	15	1	0	4	1	4	3	5	0
HoiH23_PlH23_006613	43	0	6	2	1	11	10	2	7	13	5	3	85	5	1	28	60	27	55	2	6	3	1	3	2	4	7	2	7	4	1	2	3	4	0
HoiH23_PlH23_006615	116	2	22	1	5	34	19	5	27	55	22	6	325	6	5	104	177	87	207	2	12	12	4	7	13	8	31	20	6	16	11	11	9	8	2
HoiH23_PlH23_006616	985	16	97	28	55	422	373	21	263	275	164	34	2712	86	60	1157	1861	1016	2397	101	86	130	75	68	54	99	422	168	84	173	117	157	96	70	37
HoiH23_PlH23_006617	72	0	1	0	30	202	4	0	1	13	17	3	336	0	0	36	176	4	18	0	123	0	0	4	3	0	3	0	0	0	1	1	20	0	0
HoiH23_orphan_2624	18	0	1	1	0	3	6	0	4	2	5	0	31	1	1	16	24	9	29	1	3	3	0	1	1	0	5	1	1	4	3	3	2	1	0
HoiH23_PlH23_006618	529	3	68	15	12	241	206	8	145	132	112	5	1446	58	33	697	1044	542	1405	37	59	58	44	40	36	63	169	81	49	122	63	81	46	14	28
HoiH23_PlH23_006619	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
HoiH23_PlH23_006621	171	1	22	2	5	40	54	4	31	47	12	8	391	12	6	130	243	91	257	4	19	9	11	5	8	7	38	13	11	16	17	15	15	6	3
HoiH23_PlH23_006622	9051	238	1287	277	360	2622	2901	307	1834	3972	1284	466	23919	797	428	8893	15748	7266	17489	576	885	954	466	528	548	718	2640	1150	688	1234	859	998	723	538	250
HoiH23_PlH23_006624	610	13	86	23	25	183	157	17	103	222	102	27	1545	54	21	563	1013	472	1107	31	39	63	29	29	40	52	151	64	32	107	48	77	55	43	16
HoiH23_PlH23_006598	3	0	0	0	0	0	1	0	0	1	0	0	9	0	2	3	6	3	9	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
HoiH23_orphan_2626	11	0	3	0	1	0	3	0	2	2	3	0	23	0	1	9	16	14	20	0	2	0	0	2	0	0	6	3	0	0	1	3	0	0	0
HoiH23_orphan_2627	1	0	0	0	0	0	0	0	0	2	0	1	6	0	0	1	8	2	7	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_006602	85	0	9	5	3	30	19	2	20	31	20	3	201	9	6	85	144	75	176	4	11	7	4	10	6	5	27	12	7	12	8	13	2	5	1
HoiH23_PlH23_006605	144	1	18	5	6	43	56	4	24	68	25	8	412	15	8	143	243	120	304	16	16	13	5	16	13	19	40	15	13	27	14	10	10	7	5
HoiH23_PlH23_006606	44	0	0	4	1	12	9	0	18	7	6	0	85	2	1	44	63	44	82	6	2	5	2	4	1	3	13	4	3	5	8	5	2	4	0
HoiH23_orphan_2629	2	0	0	0	0	3	1	1	0	2	0	0	8	0	0	3	5	6	14	0	1	0	0	0	0	0	2	1	0	1	0	1	0	1	0
HoiH23_PlH23_006611	1210	5	74	41	43	481	456	48	373	227	254	27	3148	112	60	1350	2152	1132	2750	70	81	136	51	36	112	78	476	195	114	225	97	195	69	87	36
HoiH23_PlH23_006612	9142	267	1305	282	411	2879	2943	324	1904	3690	1361	465	24174	791	455	9062	16558	7429	18025	537	917	913	459	535	544	807	2586	1112	715	1250	956	1013	822	558	306
HoiH23_PlH23_006614	124	6	14	3	7	33	28	6	30	46	15	5	328	13	7	113	178	85	182	5	14	10	7	5	4	3	22	10	3	16	9	10	8	3	2
HoiH23_orphan_2631	17	0	5	0	0	5	9	0	4	3	1	0	46	1	2	18	12	21	25	0	3	2	1	1	0	1	7	3	5	4	2	4	1	1	1
HoiH23_orphan_2632	6	0	0	0	1	5	6	0	2	2	0	0	20	1	1	8	11	9	23	3	0	0	0	0	1	1	3	0	1	0	0	1	1	0	0
HoiH23_orphan_2633	3	0	0	0	0	0	1	0	4	0	0	0	6	2	0	3	5	5	8	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
HoiH23_orphan_2634	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_006620	120	3	21	5	4	45	48	3	27	51	25	7	324	18	6	126	226	99	258	8	13	10	2	8	6	8	33	14	12	13	5	19	12	11	2
HoiH23_PlH23_006623	104	2	10	2	6	38	50	0	31	28	13	5	299	2	6	139	176	90	227	13	11	7	3	8	2	8	46	17	10	11	8	9	9	3	6
HoiH23_PlH23_006625	66	3	13	1	1	21	14	3	13	27	11	3	164	10	0	53	129	42	112	4	11	4	2	7	5	8	24	9	10	17	5	8	1	8	0
HoiH23_orphan_2635	4	0	0	0	0	5	2	0	0	0	1	0	13	0	0	4	5	1	8	0	0	0	0	0	0	0	5	0	2	0	1	0	0	0	0
HoiH23_orphan_2636	3	0	1	0	0	0	0	0	0	1	0	0	5	0	0	7	4	1	4	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
HoiH23_PlH23_011478	55	2	3	2	0	35	36	0	9	5	12	3	200	1	6	99	162	43	193	3	6	2	0	3	1	6	44	10	4	16	18	1	2	0	0
HoiH23_PlH23_011479	24	0	1	1	0	17	8	0	8	8	6	0	70	8	1	38	51	14	51	2	2	0	0	0	0	2	19	4	1	2	3	2	0	0	0
HoiH23_PlH23_011480	363	10	52	7	8	91	114	21	74	145	47	24	957	33	12	360	581	281	698	21	48	36	18	16	26	34	111	39	26	50	38	30	30	12	8
HoiH23_PlH23_011481	6	0	0	1	0	3	2	0	4	4	1	0	17	0	0	15	14	1	14	4	5	0	0	1	0	2	5	1	0	2	3	0	0	0	0
HoiH23_PlH23_010336	54	1	14	2	4	2	7	2	6	29	1	4	94	9	0	13	44	14	46	1	5	0	0	0	1	0	2	1	0	0	0	2	0	3	3
HoiH23_PlH23_010337	118	2	9	5	6	31	32	5	35	42	17	5	299	16	2	120	180	80	212	4	14	8	4	6	3	9	34	13	4	14	12	13	8	4	2
HoiH23_PlH23_010338	73	4	13	4	2	28	16	0	15	33	11	1	195	10	1	82	136	42	142	5	6	4	3	7	6	3	27	13	6	10	6	12	4	4	2
HoiH23_PlH23_010339	39	1	7	1	3	10	10	2	11	23	2	3	103	5	1	34	53	29	62	3	3	3	3	4	3	3	5	4	1	4	2	0	1	5	0
HoiH23_orphan_2637	4	0	1	0	0	0	0	0	0	2	1	0	10	1	1	3	12	2	4	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1
HoiH23_PlH23_010980	642	7	38	7	7	104	153	3	123	123	138	3	1527	62	27	607	1012	616	1078	34	92	16	30	35	19	18	181	73	40	128	70	45	25	10	34
HoiH23_orphan_2638	5	0	0	0	0	2	3	0	0	2	0	0	19	0	0	5	14	4	5	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0
HoiH23_PlH23_010981	25	0	10	1	0	3	2	4	1	19	2	0	57	2	0	15	36	12	35	2	1	0	0	2	1	3	7	2	0	0	0	2	2	3	0
HoiH23_PlH23_010983	143	5	17	5	14	57	61	5	47	54	26	8	444	14	8	183	322	133	331	7	30	14	3	5	19	16	58	22	17	29	13	18	19	10	5
HoiH23_orphan_2639	45	0	2	1	1	22	21	0	16	10	8	0	130	3	1	48	104	39	114	3	6	8	6	1	4	6	10	3	2	8	5	6	6	4	1
HoiH23_PlH23_011413	81	3	12	4	2	33	22	3	14	34	8	8	218	5	0	60	127	43	127	7	6	7	4	2	5	2	19	11	3	11	3	7	8	4	2
HoiH23_PlH23_011414	3	0	0	0	0	0	0	0	0	1	0	1	6	0	0	7	5	4	5	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
HoiH23_PlH23_011412	0	0	0	0	0	0	1	0	1	0	0	0	9	0	0	2	4	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_2640	12	0	1	0	1	0	1	1	0	6	1	0	30	1	0	7	13	4	16	0	2	1	2	0	2	0	0	2	0	0	1	1	1	1	0
HoiH23_PlH23_010794	17	0	3	0	2	7	9	0	3	6	2	0	44	2	0	19	28	16	41	2	2	1	3	1	1	0	5	4	1	3	1	0	3	4	0
HoiH23_PlH23_010792	1553	98	281	53	67	235	362	33	164	944	110	130	3924	202	69	885	2084	955	1684	107	132	155	42	86	73	69	219	121	103	114	86	95	81	65	20
HoiH23_PlH23_010793	165	9	31	3	11	50	56	10	41	69	30	13	432	11	4	135	255	125	281	12	16	14	7	10	4	7	33	17	21	21	25	20	15	13	4
HoiH23_PlH23_010795	176	5	23	6	6	44	43	5	41	62	22	7	412	13	4	141	272	139	294	6	17	14	8	7	13	17	34	20	11	35	15	14	10	9	5
HoiH23_orphan_2641	7	0	0	0	0	1	2	0	2	6	1	0	17	1	0	9	15	3	10	2	2	0	1	1	2	1	2	2	0	0	1	0	0	0	0
HoiH23_orphan_2642	363	2	23	11	9	176	138	19	103	78	92	8	894	35	10	414	637	343	827	31	36	49	11	18	42	15	123	65	34	81	23	86	19	33	24
HoiH23_PlH23_011231	868	4	53	37	11	381	221	33	216	127	199	20	1839	101	32	997	1420	741	1697	45	78	104	49	28	116	39	264	102	61	177	44	129	41	92	32
HoiH23_PlH23_011232	148	2	22	2	4	42	48	8	17	56	31	12	296	9	6	156	233	109	281	5	13	22	2	9	8	9	47	22	3	13	24	7	10	9	3
HoiH23_PlH23_011233	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	5	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0
HoiH23_orphan_2643	1	0	0	0	0	1	1	0	0	0	0	0	4	0	0	1	2	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_011841	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_2644	17	2	1	2	1	6	6	0	3	4	2	2	49	3	1	9	26	11	35	0	0	2	2	0	3	0	5	2	3	1	0	3	1	1	0
HoiH23_PlH23_010971	32	0	12	4	0	11	7	2	7	15	8	2	89	4	3	33	82	32	68	3	4	4	3	2	2	0	2	8	4	7	3	4	4	3	1
HoiH23_PlH23_010970	471	7	51	6	22	114	174	15	100	155	80	18	1259	49	34	484	727	389	881	29	41	46	18	23	43	36	140	82	49	66	49	53	31	25	14
HoiH23_PlH23_010972	82	3	13	3	4	20	21	8	13	50	4	13	263	10	3	58	136	48	123	1	7	8	4	2	5	3	17	5	3	8	10	7	5	3	3
HoiH23_PlH23_010973	6	1	1	0	1	2	6	1	1	6	1	0	32	2	1	7	12	5	11	0	0	4	0	0	1	2	3	2	1	1	1	1	0	1	0
HoiH23_PlH23_011159	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_011158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_011160	5	1	0	0	0	1	1	0	0	0	0	2	11	0	0	4	5	5	9	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0
HoiH23_PlH23_004112	34	0	5	1	2	11	15	1	15	10	9	2	117	5	1	50	72	38	74	1	5	2	3	4	3	1	16	5	1	4	2	11	5	2	1
HoiH23_PlH23_004113	12	0	1	1	0	3	4	0	4	7	0	0	27	1	2	1	29	9	17	0	3	2	0	2	0	0	1	5	0	0	0	2	0	1	0
HoiH23_PlH23_004114	45	0	7	1	2	10	17	5	7	22	12	6	102	4	0	32	88	33	71	3	5	8	3	4	4	3	11	6	2	4	1	9	6	5	1
HoiH23_PlH23_004116	28	0	9	1	0	5	9	1	3	11	2	0	74	2	0	25	62	20	39	1	2	1	0	2	0	1	4	5	6	7	1	1	3	2	0
HoiH23_PlH23_004117	87	4	13	3	2	25	36	5	11	44	10	9	229	11	4	66	134	46	138	6	6	10	4	2	6	4	20	10	2	9	4	8	7	7	0
HoiH23_PlH23_004119	154	13	32	8	13	22	26	7	7	88	8	16	406	18	1	70	197	72	97	4	14	5	5	4	14	12	24	8	13	12	5	7	20	7	2
HoiH23_PlH23_004120	549	14	69	19	24	153	142	14	98	211	62	29	1292	58	21	449	882	385	993	29	31	39	27	16	19	35	126	55	38	60	46	48	27	27	12
HoiH23_PlH23_004122	12	0	3	0	1	7	3	0	7	4	1	0	46	0	1	19	30	18	31	2	3	1	2	1	0	1	5	1	0	6	2	1	2	1	0
HoiH23_PlH23_004124	10	1	0	1	0	1	7	1	2	2	1	1	28	0	0	10	17	11	21	0	0	2	0	0	0	0	3	0	0	2	2	0	0	2	0
HoiH23_PlH23_004126	89	2	7	2	2	23	22	7	6	21	8	5	169	4	1	58	103	44	102	1	5	10	2	2	5	2	28	5	2	14	4	8	7	5	3
HoiH23_PlH23_004128	40	0	10	1	6	13	13	2	13	12	5	1	96	12	5	39	69	38	81	0	3	0	4	3	4	5	6	8	4	9	2	6	3	0	0
HoiH23_orphan_2646	8	0	1	0	0	2	5	0	4	2	6	1	35	1	2	9	23	14	28	1	1	3	0	1	0	2	2	5	1	3	2	2	0	0	1
