lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_PlH23_000093	238	5	34	7	5	53	81	8	58	96	38	18	579	23	14	231	438	177	428	18	12	21	10	11	14	14	63	29	15	26	19	34	12	17	7
HoiH23_PlH23_000094	385	10	43	14	18	104	119	11	60	121	56	18	933	23	21	340	598	273	716	22	33	40	18	7	17	30	105	42	23	51	38	35	33	8	12
HoiH23_PlH23_000096	256	10	32	11	10	78	85	9	49	104	42	7	687	18	14	242	412	181	441	11	33	26	13	11	13	15	64	31	23	36	26	23	17	14	5
HoiH23_PlH23_000098	186	7	22	10	6	45	54	5	45	73	22	17	529	19	4	173	315	154	385	20	12	17	13	11	12	10	53	21	18	28	18	15	15	11	4
HoiH23_orphan_10	16	0	2	0	0	1	1	0	0	5	1	1	25	1	0	4	8	6	12	0	0	0	0	0	1	0	2	1	1	0	1	0	0	1	0
HoiH23_PlH23_000100	85	3	13	2	4	25	28	1	15	37	11	5	181	5	5	93	138	81	150	5	5	5	4	2	4	10	23	12	7	10	9	8	7	0	4
HoiH23_orphan_11	1	1	1	0	0	1	2	0	0	2	0	0	15	0	0	6	5	1	10	0	0	0	0	0	1	1	0	2	1	1	0	0	0	2	0
HoiH23_PlH23_000102	537	20	84	12	19	182	140	23	117	186	71	29	1411	59	19	510	862	383	958	36	48	46	16	25	33	47	140	60	37	71	41	65	34	20	15
HoiH23_PlH23_000104	23	0	3	3	3	12	7	2	6	3	9	4	86	5	1	26	47	14	48	2	1	4	0	0	2	3	12	5	1	0	2	5	2	3	0
HoiH23_PlH23_000105	211	5	31	10	11	40	47	9	32	99	14	13	551	20	8	178	336	147	326	8	14	9	11	7	15	9	46	31	14	20	15	18	19	18	4
