lipophil	trans	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Tadh_TriadG52537	65	33	5	29	68	22	135	62
Tadh_TriadG18537	20	14	2	6	21	15	59	22
Tadh_TriadG52543	28	23	5	12	43	7	94	33
Tadh_TriadG52547	73	30	6	25	73	32	158	39
Tadh_TriadG63201	309	205	47	118	375	119	799	258
Tadh_orphan_49	10	3	1	3	5	3	26	8
Tadh_TriadG7674	54	30	5	18	60	13	117	47
Tadh_orphan_50	4	3	1	1	6	1	11	8
Tadh_TriadG20314	14	14	2	7	24	6	57	20
Tadh_TriadG52553	15	18	8	9	22	9	76	28
Tadh_TriadG35366	67	35	5	27	95	19	142	54
Tadh_TriadG20381	105	93	15	43	143	40	246	90
Tadh_TriadG52558	56	33	8	30	99	31	173	58
Tadh_TriadG52559	21	16	2	11	33	8	73	22
Tadh_TriadG52561	198	110	21	59	195	55	404	145
Tadh_wf_g1298	178	84	24	68	206	68	471	190
Tadh_TriadG20213	99	76	14	31	142	42	238	98
Tadh_TriadG52566	174	76	141	73	89	27	182	185
Tadh_TriadG52567	54	30	10	21	75	15	107	45
Tadh_TriadG52568	21	19	4	5	36	6	57	28
Tadh_TriadG63570	38	24	10	16	49	8	96	35
Tadh_TriadG52570	57	33	13	26	104	39	208	85
Tadh_TriadG52571	20	11	1	8	39	11	46	14
Tadh_TriadG52573	43	23	3	24	78	21	150	42
Tadh_TriadG52576	2	7	0	3	8	2	18	2
Tadh_TriadG52577	10	7	1	3	8	3	29	11
Tadh_TriadG52578	17	15	3	9	29	8	62	22
Tadh_TriadG52579	13	7	1	2	14	3	22	14
Tadh_TriadG52580	5	3	0	2	0	0	6	2
Tadh_TriadG52581	5	0	1	2	4	0	5	6
Tadh_TriadG52582	7	3	0	0	7	0	16	12
Tadh_orphan_51	25	21	1	11	48	10	80	28
Tadh_TriadG37071	223	158	31	96	310	87	507	179
Tadh_TriadG52586	12	2	0	4	9	2	19	7
Tadh_TriadG18881	310	219	32	120	360	108	705	267
Tadh_TriadG63204	152	90	19	85	223	70	423	154
Tadh_TriadG37075	120	71	17	46	157	44	289	103
Tadh_TriadG63205	262	164	30	101	371	109	706	242
Tadh_TriadG18236	75	44	7	20	76	31	142	42
Tadh_TriadG52598	8	17	1	5	25	7	46	17
Tadh_orphan_52	28	7	12	16	32	6	64	24
Tadh_TriadG19479	417	258	46	158	537	177	954	347
Tadh_TriadG49802	106	54	12	47	155	44	269	88
Tadh_TriadG52603	122	106	27	59	169	52	343	115
Tadh_TriadG37084	1110	704	137	425	1295	400	2586	793
Tadh_hyp_clust7915	652	447	92	262	874	268	1825	688
Tadh_TriadG52620	72	42	5	18	101	23	201	69
Tadh_TriadG52625	1	0	3	2	5	8	21	4
Tadh_TriadG18506	67	36	10	25	88	30	180	66
Tadh_wf_g1361	45	30	4	14	60	21	131	52
Tadh_orphan_53	6	3	0	0	5	1	10	6
Tadh_TriadG52630	133	94	25	59	181	39	367	144
Tadh_TriadG52632	535	366	80	206	634	213	1182	431
Tadh_TriadG52633	5	3	1	0	13	1	34	9
Tadh_TriadG52634	31	22	4	3	48	10	63	40
Tadh_orphan_54	2	3	1	2	12	1	15	6
Tadh_TriadG52637	131	87	20	44	188	52	305	120
Tadh_wf_g1371	275	163	28	106	357	126	690	249
Tadh_TriadG52639	45	24	10	19	63	18	137	54
Tadh_TriadG52641	77	49	2	23	109	29	172	58
Tadh_TriadG63579	65	51	4	28	105	28	207	69
Tadh_TriadG49806	96	66	13	46	160	59	274	87
Tadh_orphan_55	5	2	0	1	4	2	10	0
Tadh_orphan_56	4	1	1	0	4	2	9	4
Tadh_TriadG20356	80	41	13	31	106	30	206	91
Tadh_TriadG52648	58	42	5	24	77	23	167	49
Tadh_wf_g1382	859	623	131	398	1238	493	2612	1193
Tadh_TriadG19989	28	27	2	18	30	19	64	28
Tadh_TriadG52650	27	27	5	10	57	13	78	21
Tadh_TriadG19600	310	186	44	102	342	98	707	253
Tadh_TriadG52654	164	97	14	59	185	51	354	114
Tadh_orphan_57	309	193	32	103	380	101	678	230
Tadh_TriadG52657	68	32	11	24	97	19	169	74
Tadh_orphan_58	3	4	0	1	3	0	12	2
Tadh_TriadG63582	695	471	79	324	973	257	1738	687
Tadh_TriadG19437	174	70	21	69	178	50	299	135
Tadh_orphan_59	10	6	0	2	5	2	24	14
Tadh_TriadG19344	871	577	125	296	1132	252	1999	741
Tadh_TriadG52668	46	24	3	25	52	23	100	33
Tadh_wf_g1405	51	29	10	11	73	23	143	42
Tadh_TriadG52673	28	16	1	14	31	8	81	27
Tadh_TriadG52675	55	35	5	26	59	14	105	49
Tadh_orphan_60	8	3	0	0	1	2	4	4
Tadh_orphan_61	1	3	0	2	2	0	12	1
Tadh_TriadG19948	43	36	4	17	53	10	129	42
Tadh_wf_g1411	11	3	1	2	33	0	74	8
Tadh_TriadG18571	41	24	1	17	45	20	92	37
Tadh_TriadG52680	13	10	2	4	18	3	19	9
Tadh_TriadG52682	79	42	14	32	90	34	188	56
Tadh_orphan_62	10	7	1	8	9	4	41	18
Tadh_TriadG37100	18	26	5	15	45	12	81	30
Tadh_TriadG52685	284	179	31	109	361	89	590	237
Tadh_TriadG52689	95	50	7	40	126	27	200	93
Tadh_TriadG63211	142	74	18	49	167	54	344	108
Tadh_TriadG49822	343	198	37	130	382	151	719	235
Tadh_TriadG20328	252	159	27	93	295	111	541	211
Tadh_TriadG52697	30	26	5	18	57	17	105	38
Tadh_orphan_63	7	9	0	3	16	1	14	4
Tadh_TriadG18893	41	31	1	15	71	22	93	23
Tadh_TriadG18987	64	34	5	17	62	32	111	31
Tadh_TriadG19040	109	80	10	44	167	35	301	97
Tadh_TriadG52705	59	47	5	18	63	24	138	54
Tadh_orphan_64	23	16	6	18	32	12	68	23
Tadh_TriadG49824	77	68	14	37	105	19	241	107
Tadh_wf_g1441	56	44	3	31	118	38	201	67
Tadh_TriadG52710	554	313	93	208	924	258	1664	731
Tadh_TriadG52711	30	18	5	15	49	13	98	32
Tadh_TriadG52712	220	101	13	199	381	85	552	131
Tadh_TriadG19061	16	6	0	5	17	2	37	9
Tadh_TriadG19406	222	158	36	84	306	89	529	187
Tadh_TriadG20009	30	23	0	14	32	16	49	13
Tadh_TriadG52719	50	37	10	31	82	27	146	59
Tadh_TriadG52721	13	5	1	4	9	1	18	9
Tadh_TriadG52723	447	290	52	168	485	175	943	275
Tadh_wf_g1461	53	32	8	26	82	26	136	65
Tadh_TriadG49830	5	2	4	3	11	1	13	4
Tadh_TriadG20215	25	18	2	10	37	8	67	23
Tadh_orphan_65	196	130	25	78	262	87	488	192
Tadh_TriadG52729	9	6	2	2	19	0	36	13
Tadh_TriadG63587	3222	2090	338	1193	3470	1102	7042	2461
Tadh_TriadG52733	23	20	4	12	40	9	72	20
Tadh_orphan_66	4	0	1	1	0	0	4	2
Tadh_TriadG19397	25	17	4	14	27	9	48	20
Tadh_TriadG19638	81	41	12	27	100	27	212	57
Tadh_TriadG52740	67	31	6	27	73	17	126	44
Tadh_orphan_67	0	2	0	0	0	0	1	2
Tadh_TriadG18802	2	0	0	1	1	1	3	1
Tadh_TriadG18177	137	79	17	54	161	41	301	88
Tadh_orphan_68	1	5	2	1	2	2	13	2
Tadh_TriadG52750	1	1	0	0	5	0	4	0
Tadh_TriadG19940	115	71	16	62	134	44	307	124
Tadh_TriadG52752	0	0	0	0	0	0	1	0
Tadh_orphan_69	0	0	1	0	0	1	3	1
Tadh_TriadG18299	10	6	3	5	23	5	27	12
Tadh_orphan_70	2057	1379	250	761	2535	843	4794	1779
Tadh_orphan_71	0	1	0	0	0	0	0	0
Tadh_orphan_72	5	3	0	2	4	0	6	6
Tadh_orphan_73	205	175	50	96	316	93	631	280
Tadh_TriadG9064	471	242	60	190	686	243	1212	463
Tadh_TriadG52760	45	21	0	4	37	11	163	33
Tadh_TriadG52762	0	1	0	1	0	0	1	0
Tadh_TriadG52764	26	10	5	9	19	3	100	20
Tadh_TriadG52765	47	26	7	11	61	18	102	24
Tadh_TriadG52766	15	12	5	10	14	6	47	24
Tadh_TriadG52767	3	3	0	0	11	3	14	4
Tadh_TriadG63591	32	21	4	23	57	16	83	38
Tadh_orphan_74	17	10	1	9	33	6	44	14
Tadh_TriadG52773	235	141	27	87	271	106	594	205
Tadh_orphan_75	3	1	2	3	6	0	13	1
Tadh_orphan_76	30	20	3	12	53	8	91	35
Tadh_orphan_77	0	1	0	2	4	1	4	1
Tadh_TriadG52781	4	1	1	0	2	0	10	2
Tadh_TriadG52782	12	22	0	10	31	11	47	17
Tadh_TriadG52783	79	51	12	36	110	23	215	103
Tadh_TriadG52784	31	31	6	26	57	23	124	40
Tadh_orphan_78	16	2	1	5	14	3	33	8
Tadh_wf_g1525	69	43	12	31	89	29	180	66
Tadh_TriadG52786	0	0	0	2	1	0	2	1
Tadh_wf_g1526	7	3	0	0	5	1	14	2
Tadh_TriadG52787	0	1	0	1	1	0	0	0
Tadh_orphan_79	3	0	0	0	6	0	2	2
Tadh_TriadG52790	65	60	8	25	106	45	234	83
Tadh_wf_g1532	9	3	2	6	4	0	13	8
Tadh_TriadG52796	43	27	13	15	80	28	154	56
Tadh_orphan_80	7	2	0	4	5	1	16	5
Tadh_TriadG49836	130	88	19	41	158	69	316	118
Tadh_TriadG63592	44	50	8	34	65	21	147	55
Tadh_TriadG52802	5	2	0	2	10	2	21	3
Tadh_TriadG18345	134	104	18	65	165	62	333	115
Tadh_wf_g1547	63	38	3	29	61	39	143	58
Tadh_TriadG18427	70	40	9	25	81	29	161	46
Tadh_TriadG52810	1	0	0	0	0	0	3	1
Tadh_TriadG19621	4	2	0	3	5	1	14	3
Tadh_TriadG52813	74	30	12	21	80	17	163	59
Tadh_TriadG52814	71	37	6	25	97	30	175	69
Tadh_TriadG52816	18	14	3	12	31	4	58	14
Tadh_orphan_81	0	0	0	0	2	0	6	0
Tadh_TriadG52818	48	31	3	25	60	22	137	34
Tadh_orphan_82	5	2	0	1	9	1	6	3
Tadh_TriadG19546	43	24	4	19	36	14	73	33
Tadh_TriadG19874	90	53	14	41	128	28	231	95
Tadh_TriadG52823	19	19	4	4	20	14	57	22
Tadh_TriadG37128	107	84	13	35	100	35	255	91
Tadh_TriadG52828	4	2	0	4	5	0	12	1
Tadh_orphan_83	1	0	0	0	3	0	3	1
Tadh_TriadG18543	38	30	3	12	57	10	92	33
Tadh_TriadG52834	22	16	5	9	23	7	65	26
Tadh_TriadG19714	369	217	54	158	496	143	879	311
Tadh_TriadG1842	400	257	50	149	381	140	884	286
Tadh_TriadG52838	1267	806	162	562	1838	537	3236	1183
Tadh_TriadG52840	21	8	2	9	26	5	43	19
Tadh_TriadG52841	312	225	52	138	462	143	853	332
Tadh_wf_g1593	3	2	0	2	6	0	2	3
Tadh_TriadG18515	2	1	0	1	1	0	2	1
Tadh_TriadG52843	5	0	0	1	7	0	12	2
Tadh_wf_g1	5	0	1	1	1	0	11	1
Tadh_TriadG51254	2	0	0	0	2	0	6	1
Tadh_orphan_87	0	3	0	1	0	0	6	1
Tadh_orphan_88	3	3	0	0	1	1	3	3
Tadh_wf_g5	205	187	21	89	326	68	629	253
Tadh_wf_g6	2	4	0	1	6	1	12	10
Tadh_wf_g8	16	2	5	11	22	1	15	4
Tadh_TriadG51258	35	22	6	16	33	13	79	35
Tadh_TriadG51263	56	44	6	14	72	26	151	37
Tadh_TriadG51266	34	16	2	11	35	7	65	17
Tadh_TriadG51267	2	1	0	0	1	0	2	0
Tadh_TriadG51268	84	60	12	25	113	29	222	82
