metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
77	76	235398	3097.34210526316	2266.5	2747.5	3757.25	0.298366686562539	0.0420565532781263	0.083290857484862	0.148679097149641	0.453606941318853
78	40	98408	2460.2	1739.75	2294	2935	0.371213649549651	0.0805788438463765	0.122031160668512	0.243295260180404	0.622269431079354
79	113	451623	3996.66371681416	3055	3661	4757	0.340087595799737	0.0348418361098579	0.0781058066957113	0.163175570689322	0.579720159614965
80	89	235073	2641.26966292135	1932	2446	3027	0.298562366246459	0.0420861817831972	0.1070099860504	0.202060988773309	0.534936177237327
81	74	212371	2869.87837837838	2242.25	2739.5	3235.75	0.391804734558818	0.0465495110806057	0.0920616522307526	0.179727263700472	0.458571670471467
82	51	122745	2406.76470588235	1566	2257	2813	0.285479141242595	0.0797788121344015	0.156383675292845	0.29336259203945	0.659193066341217
83	58	73639	1269.63793103448	958	1161.5	1486.25	0.350754818374674	0.125336686491357	0.18117962668672	0.330647559809074	0.723454084124597
84	39	58288	1494.5641025641	994.5	1376	1908.5	0.394584399465621	0.134153533186564	0.209103304246133	0.394589173416745	0.908822948658049
85	60	150520	2508.66666666667	1673	2038.5	2655.5	0.261808283076864	0.0653202762352841	0.128521164837557	0.249169755550756	0.686023095502947
86	51	51125	1002.45098039216	638.5	839	1266	0.398115872842659	0.129243553871248	0.184603312162009	0.350357813925155	0.782950846847226
87	62	122941	1982.91935483871	1134.25	1626	2508.75	0.414928160225718	0.0795614978166175	0.124536386169916	0.228984693008388	0.518560908197646
88	107	387380	3620.3738317757	2153.5	3024	4052.5	0.198574454406841	0.0278979119008069	0.0723404083480811	0.129709074858056	0.315277690361956
89	48	171652	3576.08333333333	2371.5	3432	4190	0.257450764818256	0.0575181005007182	0.101637902829892	0.176008637473729	0.422098133791157
90	76	127429	1676.69736842105	1166.75	1604	1986.75	0.257564082511239	0.076755519361116	0.145202074591789	0.249652942939674	0.638346482939283
91	68	104062	1530.32352941176	1078.25	1428.5	1813.25	0.287258579024279	0.093492162334815	0.134324565166822	0.25753100651985	0.643257427854976
92	42	38941	927.166666666667	568.25	837	1260.25	0.40361706091597	0.153974321583409	0.238146365331945	0.445662149393206	0.904412288227995
93	52	77321	1486.94230769231	923.75	1224.5	1700.75	0.341301414546692	0.104611203802465	0.160297143451822	0.334567883631066	0.82915930103624
94	88	133677	1519.05681818182	870.75	1277.5	1637	0.338749038704703	0.0732130611134041	0.114632531338167	0.27496216299244	1.04820794079191
95	74	112137	1515.36486486486	944.75	1432	2019.75	0.287293331020074	0.0869235888824262	0.169656064754975	0.296280850829851	0.732017150912157
