lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00104.t1	10	0	0	3	1	2	8	0	14	0	1	0	12	29	2	1	14	0	5	5	0	0	0	1	0	3	1	0	0	3	0	1	3	1	1	0	0	1
Hhon_g00106.t1	24	1	4	6	6	6	31	1	60	0	1	1	27	73	12	11	38	1	4	6	0	1	2	2	0	1	3	3	1	5	2	1	2	1	4	0	0	0
Hhon_g00108.t1	39	2	1	20	6	19	48	5	93	3	4	3	43	141	22	8	66	4	10	4	0	1	6	0	1	1	13	2	3	12	2	2	2	7	8	0	3	1
Hhon_g00110.t1	90	5	4	15	21	19	87	4	232	7	13	2	95	261	40	21	120	5	20	16	5	5	9	3	3	4	20	5	4	18	1	3	6	10	11	2	3	9
Hhon_g00112.t1	90	3	4	24	27	28	132	2	237	7	7	2	125	352	49	29	136	6	32	33	7	8	12	2	4	5	25	7	3	26	6	8	10	15	28	4	5	17
Hhon_g00115.t1	208	15	11	47	41	37	260	7	411	13	18	13	207	557	77	60	240	18	46	45	12	15	15	8	12	13	42	13	8	49	4	18	19	30	38	5	8	7
Hhon_g00116.t1	9	4	1	5	1	8	14	0	34	0	0	1	7	55	4	7	22	0	3	2	0	0	4	0	1	0	0	4	1	5	0	2	0	0	5	1	1	1
Hhon_g00117.t1	30	2	1	4	4	6	32	1	68	1	2	3	46	90	10	8	43	3	16	6	2	4	4	0	3	1	9	4	2	5	2	3	2	4	6	2	2	1
Hhon_g00118.t1	40	2	2	6	4	12	45	1	84	6	4	3	22	143	31	5	43	3	8	6	2	2	10	2	2	2	8	4	0	8	0	3	8	10	11	0	3	4
Hhon_g00119.t1	5830	526	315	1506	1216	1613	7284	449	12936	308	494	378	6279	16359	2358	1825	7753	464	1639	1178	264	379	667	127	308	361	1190	504	171	1455	190	348	463	799	1146	288	201	273
Hhon_g00120.t1	34	4	1	4	3	4	36	0	69	0	5	3	29	74	9	13	26	0	5	4	1	2	4	1	3	3	10	2	1	18	2	0	2	3	1	0	0	1
Hhon_orphan_13	9	2	1	1	1	1	6	1	13	0	2	2	13	19	6	2	10	0	2	1	0	1	1	0	0	1	1	1	1	0	0	2	2	0	2	0	0	0
Hhon_g00122.t1	37	5	1	4	8	10	47	2	51	3	6	0	23	131	12	9	40	1	18	3	1	2	2	5	2	4	11	3	2	9	3	5	0	6	10	4	0	4
Hhon_g00124.t1	54	7	0	16	9	17	63	1	112	3	5	1	44	117	20	11	72	4	13	4	4	0	4	1	0	2	17	2	2	14	1	6	2	3	8	3	0	4
Hhon_g00126.t1	77	3	5	13	16	10	72	0	94	8	1	1	52	160	21	10	59	4	19	8	2	7	6	1	3	7	11	11	3	13	6	3	4	5	6	4	0	4
Hhon_g00128.t1	124	7	6	30	33	37	144	15	294	1	9	4	156	339	56	42	178	5	45	36	5	6	13	4	3	6	25	17	8	30	4	10	11	26	29	9	9	3
Hhon_g00132.t1	143	15	8	26	22	28	163	5	303	6	16	4	132	388	65	40	168	4	37	23	6	8	14	2	10	10	22	11	3	32	2	7	11	16	27	5	6	3
Hhon_g00134.t1	29	2	0	12	9	9	50	2	115	2	2	2	30	123	8	18	48	2	10	9	0	1	5	1	2	2	10	3	0	11	0	3	5	5	5	0	1	1
Hhon_g00136.t1	27	1	0	11	12	9	53	5	98	3	2	3	46	109	24	11	52	2	10	10	1	0	2	1	2	2	5	5	2	5	0	1	2	6	7	1	1	1
Hhon_g00138.t1	107	8	3	12	16	17	95	7	184	4	6	5	69	211	36	16	99	4	25	25	4	0	16	2	1	12	17	7	4	25	5	4	11	8	18	4	2	6
Hhon_g00141.t1	769	60	51	211	138	198	961	52	1751	39	58	43	842	2307	326	228	968	52	213	169	40	49	82	27	28	61	159	53	35	201	23	54	64	115	156	39	28	42
Hhon_g00142.t1	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00144.t1	35	2	1	11	8	10	49	1	59	1	1	0	40	102	11	11	63	4	10	6	1	4	2	0	1	2	9	3	0	4	0	0	5	7	4	0	3	4
Hhon_g00145.t1	14	1	2	6	7	4	9	1	30	1	4	2	20	33	7	4	23	5	4	5	0	2	0	1	0	1	6	1	0	2	0	0	0	3	5	2	1	0
Hhon_orphan_14	24	2	1	5	4	5	30	3	20	1	1	2	20	42	9	6	16	0	4	5	4	1	1	0	1	2	6	0	1	4	0	0	1	4	12	0	0	0
Hhon_g00149.t1	23	0	2	3	6	6	32	0	52	1	2	0	27	83	11	7	26	3	7	3	0	2	1	3	0	1	7	4	0	9	0	4	5	3	6	1	1	3
Hhon_g00152.t1	20	4	2	7	1	8	25	0	76	1	3	0	28	83	9	7	34	1	6	8	2	1	5	0	0	2	3	4	0	10	0	1	5	2	4	0	0	2
Hhon_orphan_15	70	5	4	12	12	20	85	9	154	2	7	3	58	179	40	18	104	4	21	13	5	10	13	1	3	3	10	8	0	12	1	5	9	5	15	3	3	5
Hhon_g00156.t1	128	12	9	28	26	38	181	17	309	5	8	11	161	362	48	37	182	2	31	28	6	5	20	4	6	10	31	10	8	46	4	9	11	27	28	8	0	7
Hhon_g00159.t1	1931	188	91	469	375	541	2432	160	4104	108	142	101	2003	5012	770	577	2429	124	444	379	69	95	222	57	102	163	383	190	53	499	51	154	140	290	335	87	63	93
Hhon_g00161.t1	82	7	3	17	15	10	94	6	220	3	2	4	83	241	44	42	92	11	20	17	3	8	9	3	3	6	17	4	3	10	2	6	12	6	13	3	4	4
Hhon_g00162.t1	76	9	3	18	32	26	114	7	193	6	5	5	106	260	39	33	123	9	30	19	7	7	7	5	4	3	17	9	4	27	6	6	15	9	13	3	6	5
Hhon_g00164.t1	185	14	7	39	35	32	177	12	360	6	19	3	201	475	71	57	190	13	41	39	6	10	14	5	5	11	38	12	5	47	4	12	8	26	41	3	4	10
Hhon_g00166.t1	48	3	0	14	16	12	64	1	166	4	6	2	53	231	30	17	76	4	32	12	2	6	11	3	4	4	12	8	1	10	4	3	7	10	13	4	1	1
Hhon_g00169.t1	17	1	0	3	3	6	23	2	45	0	1	0	30	68	11	6	28	1	7	5	0	2	0	1	0	0	5	2	0	8	1	0	4	5	3	2	1	1
Hhon_g00171.t1	54	2	3	16	13	9	81	5	130	2	4	4	59	211	26	19	74	5	14	11	5	3	4	2	4	4	11	5	1	12	1	2	6	3	10	4	0	3
Hhon_g00172.t1	115	7	3	24	24	24	115	4	237	4	10	8	97	322	50	33	146	5	41	22	5	3	10	7	3	6	23	7	3	34	4	8	9	15	18	10	3	6
