lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g10484.t1	52	1	17	41	35	28	160	3	206	6	3	6	46	456	86	24	176	19	63	29	2	7	9	11	0	10	25	15	2	40	0	3	7	12	22	1	0	26
Hhon_g10485.t1	0	0	0	0	0	1	0	0	3	0	1	0	2	12	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Hhon_g10486.t1	34	0	9	22	20	20	97	1	158	1	3	2	52	283	61	19	129	13	29	16	1	14	8	11	0	1	18	4	6	23	2	10	3	8	6	2	2	15
Hhon_g10487.t1	46	0	9	15	0	2	31	6	115	6	3	0	72	251	54	1	131	3	38	7	9	4	9	7	1	0	4	5	1	7	1	4	7	6	4	2	6	13
Hhon_g10489.t1	7	0	0	3	0	0	13	1	24	0	1	0	8	28	2	2	8	1	0	2	1	1	0	0	0	0	1	0	0	4	0	2	0	0	2	2	1	1
Hhon_g10490.t1	4	1	1	1	2	3	11	0	6	0	1	0	8	9	0	4	8	0	2	1	0	0	0	0	1	0	1	0	1	2	0	0	0	3	1	0	0	1
Hhon_g10491.t1	4	0	0	1	1	1	3	0	6	0	0	0	3	8	3	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0
Hhon_g10493.t1	44	1	0	10	7	11	49	1	103	2	3	2	53	252	30	8	49	3	32	27	2	1	8	5	2	2	15	5	3	15	0	6	10	4	7	1	5	1
Hhon_orphan_2075	3	0	1	1	1	0	5	0	7	0	0	0	5	3	0	0	6	0	1	2	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Hhon_g10494.t1	809	70	52	254	168	200	1064	60	1573	37	57	55	998	2017	330	240	1019	38	187	168	48	46	66	17	22	57	151	88	17	186	30	44	60	137	158	26	26	24
Hhon_g10495.t1	46	1	2	9	6	10	49	6	79	1	5	2	35	95	19	12	49	1	14	6	0	1	2	2	3	1	5	4	0	5	0	2	4	5	13	0	2	2
Hhon_orphan_2076	1	0	0	0	0	0	2	0	7	0	0	1	1	7	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g10499.t1	23	3	1	11	4	15	53	0	75	2	5	0	46	100	11	14	22	0	4	9	0	1	2	1	2	1	9	3	0	5	1	1	3	3	9	1	0	5
Hhon_orphan_2077	2	0	0	1	1	0	5	0	8	1	0	0	4	9	0	0	5	0	2	0	0	0	0	0	1	0	2	2	0	2	0	0	0	1	3	0	0	0
Hhon_g10500.t1	49	3	5	14	8	16	55	4	113	3	9	0	57	147	16	8	54	4	9	7	4	7	4	3	1	1	8	6	1	15	1	5	7	15	14	3	0	3
Hhon_g10502.t1	17	0	0	0	2	4	11	0	27	0	4	0	16	36	0	3	13	1	2	0	0	0	1	1	1	3	3	0	0	5	0	1	0	0	0	2	0	1
Hhon_g10503.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g10504.t1	6	0	1	0	0	1	4	1	4	0	1	0	2	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Hhon_g10505.t1	1	1	0	1	0	1	4	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0
Hhon_g10507.t1	1	0	0	0	1	0	8	0	7	0	1	0	2	8	4	0	7	0	2	0	0	1	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1
Hhon_orphan_2079	4	0	0	0	0	0	1	0	10	0	0	0	2	5	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1
Hhon_g10492.t1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10496.t1	6	0	0	1	1	2	9	0	17	0	1	0	9	29	1	2	10	0	2	2	1	0	0	0	0	0	1	0	1	3	0	0	1	1	2	0	0	0
Hhon_g10497.t1	42	4	4	8	7	14	58	5	92	3	3	4	50	125	15	17	55	2	16	8	2	8	5	2	2	2	8	3	0	14	3	0	4	7	13	2	0	3
Hhon_g10498.t1	505	54	39	140	99	130	572	36	1080	14	37	38	561	1202	201	151	651	18	122	85	18	38	47	13	29	49	98	32	4	119	10	25	33	60	84	17	10	16
Hhon_g10501.t1	68	6	2	5	17	12	88	5	167	4	1	2	76	200	23	20	91	8	20	13	2	6	6	2	4	7	24	7	1	23	0	8	4	7	11	5	0	3
Hhon_orphan_2080	2	0	0	0	1	1	3	0	4	0	0	0	2	4	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
Hhon_g10506.t1	16	0	1	3	2	3	14	1	33	0	1	0	14	37	10	4	20	1	4	2	3	1	3	0	0	1	4	2	1	4	0	0	1	3	6	0	0	0
Hhon_orphan_2081	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10508.t1	1	0	0	0	1	0	5	1	2	0	0	0	2	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Hhon_g10509.t1	3	1	0	3	2	0	2	0	15	1	0	0	8	11	0	1	4	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Hhon_g10510.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10511.t1	1	2	0	2	1	1	4	0	2	0	0	0	7	9	4	2	5	0	0	1	1	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0
Hhon_g10512.t1	139	16	7	22	29	45	191	8	358	5	25	5	140	554	73	62	213	21	48	35	12	6	22	10	11	10	31	9	6	41	8	7	11	20	34	10	3	10
Hhon_g10513.t1	29	2	1	2	10	5	19	0	69	0	1	2	33	138	8	6	16	0	8	3	2	1	1	1	0	0	6	0	0	3	1	1	1	0	17	0	0	0
Hhon_g10514.t1	3	0	0	0	0	0	4	0	14	0	0	0	2	21	1	1	5	0	3	0	0	1	2	1	0	1	0	1	0	1	0	0	0	0	2	0	0	0
Hhon_g10516.t1	37	1	4	13	15	9	68	3	122	2	2	0	34	185	31	10	50	5	26	15	0	5	7	3	5	3	14	4	1	15	2	8	5	6	17	3	1	5
Hhon_g10517.t1	23	0	6	4	13	7	38	5	87	0	2	2	41	160	24	6	46	6	21	8	3	4	2	0	3	4	7	3	1	9	2	1	3	2	9	0	2	1
Hhon_g10515.t1	20	3	0	5	4	5	25	4	62	1	3	0	19	60	13	5	23	0	2	4	1	0	2	1	2	0	6	0	0	6	1	2	2	3	1	0	0	2
Hhon_g10520.t1	14	1	2	6	4	9	21	0	62	2	2	0	19	74	7	5	23	3	10	7	2	4	6	1	0	1	4	1	2	6	1	4	0	2	3	0	0	0
Hhon_g10521.t1	195	10	19	40	33	45	221	17	309	3	13	18	197	345	42	43	208	6	32	29	16	11	9	3	3	13	15	19	8	39	3	7	3	38	46	2	9	0
Hhon_g10522.t1	75	4	1	17	5	12	75	4	134	6	5	1	55	215	40	20	64	7	30	15	5	1	5	1	2	2	10	5	2	9	1	4	7	8	7	3	3	8
Hhon_orphan_2083	8	0	0	4	2	4	18	0	27	0	0	1	11	33	3	2	10	0	7	5	0	0	1	1	0	1	2	0	0	6	0	1	1	3	3	1	0	0
Hhon_g10526.t1	7	0	1	2	1	0	3	0	13	0	0	0	3	18	3	0	3	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1
Hhon_g10528.t1	3	0	1	1	0	0	7	1	8	0	0	0	0	10	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_2084	11	1	0	1	1	1	12	0	13	0	0	0	2	20	7	0	11	1	2	1	0	0	1	0	0	1	3	0	0	1	0	0	0	0	1	1	0	0
Hhon_g10531.t1	5	0	1	0	0	3	6	0	21	0	1	1	8	21	4	3	13	1	1	0	4	0	2	0	0	0	1	2	0	1	0	0	1	1	1	1	0	1
Hhon_g10532.t1	0	0	0	0	0	0	1	0	4	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10518.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10519.t1	1	2	0	1	0	0	2	0	3	0	0	0	3	6	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Hhon_g10523.t1	115	4	6	29	28	24	140	9	245	6	9	7	113	283	53	37	151	7	29	19	7	5	8	6	4	8	24	9	3	26	3	7	11	16	16	5	1	4
Hhon_g10524.t1	17	0	1	3	3	5	20	4	50	1	6	1	12	42	1	8	28	0	4	2	0	1	1	0	0	0	2	0	0	0	1	1	2	2	3	0	0	2
Hhon_g10525.t1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10527.t1	24	1	2	7	8	9	50	3	64	4	3	2	38	120	9	9	39	4	11	2	0	1	4	4	1	1	6	2	0	8	0	2	4	2	2	1	1	3
Hhon_g10529.t1	5	1	0	1	3	1	8	0	13	0	0	1	4	18	1	1	10	0	2	3	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1
Hhon_g10530.t1	14	4	0	9	6	0	32	1	50	0	1	0	12	47	9	15	32	0	0	3	0	0	6	0	0	3	3	2	0	7	0	1	1	0	1	0	0	1
Hhon_orphan_2085	0	0	0	0	0	0	2	0	2	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g10533.t1	60	2	3	8	10	24	56	6	128	5	6	1	49	165	22	17	84	1	21	16	2	5	2	0	2	4	19	9	3	19	1	4	3	10	15	1	5	2
Hhon_orphan_2086	0	0	0	3	0	2	18	0	4	0	0	1	9	27	3	1	5	2	5	1	0	0	3	0	0	2	1	1	0	1	1	0	0	2	1	0	0	0
Hhon_g10535.t1	608	29	72	189	152	176	919	37	1362	29	86	45	920	1655	348	243	902	78	215	119	43	18	36	16	13	48	148	116	13	184	26	24	38	202	139	35	44	6
Hhon_g10536.t1	115	14	17	34	39	38	203	1	416	6	10	13	199	440	84	39	201	17	51	40	24	7	20	5	3	11	40	23	3	40	8	5	8	38	37	11	10	2
Hhon_g10537.t1	159	7	15	40	48	47	213	5	367	7	22	17	217	429	63	52	226	24	60	37	18	5	13	3	7	10	28	23	2	29	2	13	9	33	28	7	15	5
Hhon_g10539.t1	175	24	10	49	43	71	225	24	514	9	23	12	168	778	110	43	246	27	78	35	8	20	27	6	18	9	39	24	7	40	6	10	14	19	50	9	7	8
Hhon_g10540.t1	33	3	1	7	6	4	38	1	60	0	2	3	42	53	9	10	31	4	2	13	0	1	3	3	0	0	5	3	0	7	0	1	0	7	1	0	1	0
Hhon_g10541.t1	7	1	0	2	2	1	5	1	17	0	0	0	5	19	5	1	5	1	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	5	2	1	1
Hhon_g10542.t1	4	0	0	3	1	2	16	3	18	1	3	1	5	27	4	1	11	1	4	2	0	0	2	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0
Hhon_g10543.t1	6	1	0	0	2	4	7	3	21	0	2	0	20	33	8	4	12	0	1	2	0	0	1	0	0	1	0	2	0	1	0	0	3	2	1	0	0	0
Hhon_g10544.t1	107	9	2	35	29	30	148	14	255	2	8	10	128	305	53	34	153	9	39	14	6	3	10	5	2	11	17	14	3	20	3	3	8	24	24	1	2	3
Hhon_g10545.t1	15	0	3	0	4	2	14	2	32	0	2	1	12	48	9	1	23	1	5	2	0	1	1	1	2	0	4	2	1	5	0	0	1	0	3	0	1	0
Hhon_orphan_2088	1	0	0	1	0	0	2	0	10	0	0	0	3	11	5	1	4	0	3	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
Hhon_g10546.t1	13	2	1	3	3	2	13	1	20	0	1	1	14	21	5	6	20	0	4	1	0	0	1	0	0	1	2	2	1	3	1	1	0	2	1	0	1	0
Hhon_g10547.t1	13	2	1	2	4	4	16	0	66	3	1	4	15	71	8	2	22	2	8	2	1	1	3	0	0	0	3	2	1	3	2	1	1	0	2	0	0	2
Hhon_g10548.t1	15	0	0	2	2	0	17	0	26	1	2	0	14	39	5	3	15	1	2	3	0	0	2	1	0	0	3	1	0	1	0	0	0	0	3	0	0	0
Hhon_g10551.t1	18	0	0	3	1	3	23	0	44	0	4	1	12	55	10	3	20	0	9	6	0	3	0	2	1	1	2	1	1	4	0	1	1	1	0	2	1	0
Hhon_g10553.t1	20	5	2	7	8	10	32	0	72	2	3	5	33	75	17	10	35	4	8	6	3	0	3	0	4	1	10	7	0	8	2	1	2	4	9	3	0	1
Hhon_g10554.t1	509	37	23	125	109	122	609	38	1114	26	30	20	502	1388	208	155	683	36	139	90	20	24	40	8	29	38	95	60	12	182	18	24	50	65	98	25	12	23
Hhon_g10555.t1	13	3	0	2	0	3	22	4	16	0	0	1	21	27	7	5	21	0	2	2	1	1	0	0	1	3	4	2	0	4	0	0	1	2	7	0	0	0
Hhon_g10557.t1	4	0	2	4	0	2	6	1	20	0	0	0	8	37	9	4	5	2	8	1	0	1	3	3	1	0	2	1	0	2	1	0	1	3	4	1	0	0
Hhon_g10558.t1	81	7	1	21	8	26	98	7	246	5	7	7	76	333	42	22	138	10	26	32	8	2	15	5	3	9	16	6	5	31	10	10	14	11	26	8	2	5
Hhon_g10559.t1	49	0	7	17	11	16	57	3	88	2	0	4	50	122	31	17	61	1	11	4	4	3	3	0	1	6	5	3	2	11	3	2	3	8	14	1	0	0
Hhon_g10561.t1	252	19	10	80	49	83	350	22	686	16	19	9	257	853	129	100	332	18	86	52	5	18	30	12	17	16	57	26	5	86	24	18	32	40	52	14	17	18
Hhon_orphan_2089	1	0	0	0	0	1	1	0	2	0	1	0	0	5	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
Hhon_g10563.t1	46	3	7	13	13	18	47	2	103	2	7	4	49	132	30	9	46	5	6	7	1	3	1	1	2	5	3	13	1	7	0	2	8	4	7	2	0	2
Hhon_g10564.t1	150	13	10	20	19	42	198	12	440	10	21	8	167	642	84	46	231	13	58	42	3	14	31	13	6	11	46	19	9	50	9	8	34	16	37	7	6	11
Hhon_g10549.t1	57	4	1	11	10	20	62	5	90	2	2	3	65	137	18	12	54	3	16	15	1	1	9	1	2	0	10	2	4	7	0	1	3	11	4	0	2	3
Hhon_g10552.t1	1398	135	56	345	202	380	1693	89	2687	78	121	57	1290	2922	531	335	1553	67	250	223	42	68	145	12	74	88	254	108	44	340	16	100	105	173	240	55	30	75
Hhon_orphan_2090	4	0	0	1	1	1	5	0	4	0	0	0	3	11	0	1	4	0	5	0	0	0	0	0	0	0	3	0	0	3	0	0	2	1	0	0	0	0
Hhon_orphan_2091	5	1	0	0	0	3	5	0	17	1	0	1	6	18	8	2	13	1	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	3	1	0	0	0
Hhon_g10560.t1	56	4	3	10	7	13	63	4	137	5	7	4	61	190	25	16	76	6	19	14	3	5	4	1	0	3	12	8	1	15	3	3	8	9	8	2	0	3
Hhon_g10562.t1	21	2	0	10	3	4	26	2	59	0	3	0	28	104	11	13	32	3	16	10	0	3	4	2	2	2	7	4	3	9	1	1	4	7	9	0	0	1
Hhon_orphan_2092	1	0	0	1	0	1	3	0	5	0	2	0	0	4	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_2093	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10567.t1	58	5	3	11	11	15	57	1	99	1	2	0	37	164	21	17	39	3	15	9	4	2	9	2	0	8	4	0	2	12	7	3	6	2	7	2	0	1
Hhon_g10570.t1	57	4	5	10	14	11	63	2	132	4	2	6	57	194	28	20	63	3	20	9	4	2	7	1	1	3	10	7	1	17	0	2	3	7	9	1	1	2
Hhon_orphan_2094	9	1	0	1	2	1	11	0	28	0	0	0	11	34	7	0	14	3	4	1	0	0	1	0	0	0	1	2	0	1	1	0	0	2	1	2	0	1
Hhon_g10573.t1	25	4	2	8	4	5	29	1	65	0	1	4	46	99	20	11	48	3	11	8	1	3	1	3	0	4	4	5	0	13	1	1	1	3	8	2	2	0
Hhon_g10565.t1	6	0	0	4	1	1	15	0	28	0	2	1	7	37	8	2	19	0	2	4	0	2	0	1	0	0	1	0	0	1	1	0	1	4	2	1	1	0
Hhon_g10566.t1	15	0	0	3	1	4	6	0	29	2	1	0	8	72	11	2	14	0	6	4	0	1	2	3	2	0	1	0	0	0	0	0	3	2	3	2	0	1
Hhon_g10568.t1	27	1	0	4	12	8	25	5	42	0	3	1	17	65	11	7	33	2	5	5	1	1	0	1	1	0	6	1	2	7	0	0	2	1	8	0	0	1
Hhon_g10569.t1	60	4	3	16	12	18	79	0	138	2	9	4	77	195	31	16	98	7	13	14	2	13	7	2	1	3	12	8	0	21	1	2	10	7	15	2	1	3
Hhon_g10571.t1	112	8	10	35	18	22	121	6	276	2	11	10	147	316	51	31	121	9	24	29	1	11	4	3	4	10	22	9	5	23	4	9	8	14	25	6	4	2
Hhon_g10572.t1	117	7	5	41	26	61	197	10	221	1	6	4	149	313	41	26	150	8	34	22	6	2	12	3	1	9	30	33	1	32	6	5	11	20	27	7	4	4
Hhon_orphan_2095	5	0	0	1	2	0	3	0	4	0	0	0	2	5	0	1	0	0	2	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10574.t1	22	0	2	5	6	2	16	0	58	3	0	0	32	72	14	9	50	1	7	9	4	2	3	1	0	0	5	3	2	4	2	1	2	1	7	1	2	0
Hhon_g10575.t1	47	4	4	11	14	12	56	1	148	1	5	0	59	190	18	16	63	4	19	17	4	4	7	2	1	5	14	2	2	14	3	2	7	6	19	4	2	8
Hhon_orphan_2096	9	1	0	1	2	6	9	0	26	0	0	0	7	35	4	2	13	2	1	6	1	2	1	0	1	1	7	1	0	5	0	0	2	0	1	0	1	0
Hhon_g10577.t1	56	3	3	13	14	14	63	7	107	1	5	1	46	156	32	16	77	0	16	13	0	7	3	0	3	3	10	6	0	14	1	4	4	4	9	3	0	3
Hhon_g10579.t1	56	4	2	8	6	11	35	5	93	3	3	2	44	149	17	6	43	3	11	9	2	5	6	0	0	2	8	1	1	13	2	2	1	3	5	2	2	5
Hhon_orphan_2097	11	0	0	1	1	2	9	1	13	1	1	0	5	24	1	4	14	0	1	2	0	1	0	0	0	0	6	0	0	0	0	0	1	0	2	0	0	0
Hhon_g10583.t1	51	7	1	14	9	21	72	7	121	3	3	0	54	180	36	10	84	2	20	10	3	1	4	1	1	6	13	6	5	7	2	3	7	10	6	5	0	2
Hhon_g10585.t1	39	1	3	8	11	18	65	1	117	4	6	1	51	145	21	12	68	2	16	7	3	6	3	0	2	2	10	2	1	13	3	0	5	8	12	1	2	4
Hhon_g10587.t1	146	11	4	30	25	28	156	10	288	6	13	8	155	331	50	30	148	9	34	22	7	6	13	7	3	8	17	12	3	31	6	4	8	12	27	6	6	6
Hhon_g10589.t1	19	2	4	4	4	9	34	0	60	1	1	0	29	85	11	5	27	3	5	4	1	2	2	1	0	5	8	5	1	6	3	1	3	1	5	0	0	1
Hhon_g10576.t1	325	28	16	79	76	78	380	31	851	26	38	19	323	1270	178	83	454	31	124	83	24	33	37	17	14	30	75	45	17	91	11	22	41	43	78	16	9	20
Hhon_g10578.t1	55	2	2	11	11	9	63	5	104	1	2	2	33	157	21	12	70	3	19	9	2	4	11	3	5	5	13	2	2	11	1	6	5	5	7	0	2	3
Hhon_g10580.t1	16	1	2	3	2	1	18	0	43	0	1	0	12	56	8	4	10	0	5	4	0	1	6	1	1	0	5	0	1	3	0	0	0	5	1	0	1	3
Hhon_g10581.t1	51	4	3	21	16	15	73	10	130	2	7	1	69	152	20	18	70	6	8	12	2	2	12	1	5	6	19	4	3	8	0	0	2	10	10	1	0	3
Hhon_g10582.t1	60	0	1	0	1	0	4	0	10	0	0	2	2	55	1	4	8	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0
Hhon_orphan_2098	1	0	0	0	0	0	0	0	1	0	1	0	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10584.t1	614	37	38	132	140	166	758	58	1473	30	61	38	700	1908	314	180	907	56	182	149	29	59	57	21	23	34	135	68	16	184	25	39	58	108	128	37	26	31
Hhon_g10586.t1	71	8	5	22	15	31	77	5	179	3	3	4	65	216	36	14	109	11	23	12	1	8	3	1	1	2	18	4	5	25	6	4	10	15	12	0	2	7
Hhon_g10588.t1	64	4	5	20	10	15	68	1	106	4	1	1	46	151	16	17	68	2	7	9	1	2	4	1	1	1	5	2	0	17	1	3	4	9	9	4	0	1
Hhon_g10590.t1	389	32	21	93	69	89	461	24	705	17	19	22	364	956	139	108	437	21	98	58	14	25	36	12	16	32	65	36	9	84	6	21	34	40	68	14	11	24
Hhon_g10592.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10593.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_2099	4	0	0	1	1	2	5	1	12	0	0	0	3	17	3	0	4	0	2	1	0	0	0	0	0	1	1	0	0	0	1	0	1	2	0	1	0	1
Hhon_g10602.t1	30	3	1	8	6	8	38	5	62	2	0	0	34	78	18	6	38	1	3	4	0	1	2	2	1	1	5	4	2	9	0	3	3	6	4	2	4	4
Hhon_g10604.t1	20	1	2	3	4	4	20	3	32	3	0	3	10	54	10	4	28	3	4	5	0	1	0	0	2	0	1	3	1	7	1	2	2	4	5	3	1	2
Hhon_g10605.t1	102	13	6	29	21	18	139	9	261	2	11	3	123	293	50	31	134	9	25	27	6	6	13	3	5	9	22	14	2	25	3	5	13	13	16	4	4	3
Hhon_g10606.t1	246	31	15	46	37	69	308	18	493	20	15	11	250	629	102	54	250	16	49	44	7	16	31	5	22	23	53	24	6	61	8	22	11	28	45	15	4	8
Hhon_g10608.t1	42	2	7	6	7	4	35	1	84	1	7	2	41	134	20	8	49	3	10	13	1	6	2	0	2	5	14	6	2	7	1	1	2	5	8	1	3	5
Hhon_g10610.t1	4	0	0	1	0	1	5	1	7	0	2	0	2	7	2	2	7	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1
Hhon_g10611.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10594.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10595.t1	1	0	0	0	0	3	0	0	4	0	0	0	0	5	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Hhon_g10597.t1	2	0	0	0	0	0	5	0	3	0	0	0	3	8	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
Hhon_g10598.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g10599.t1	5	1	1	2	1	3	8	0	14	1	0	0	5	21	4	3	9	0	1	1	0	2	2	0	1	1	2	0	0	2	0	0	0	0	0	1	0	0
Hhon_g10600.t1	8	0	0	0	0	1	2	0	14	0	1	0	2	19	3	1	12	0	2	1	1	0	0	0	0	0	4	1	0	0	0	0	1	0	3	0	0	0
Hhon_g10601.t1	57	3	5	9	8	24	70	5	126	0	4	5	69	125	23	13	93	0	9	9	3	0	2	1	5	4	6	3	1	16	1	4	6	8	7	1	5	1
Hhon_g10603.t1	7	1	0	1	5	3	14	0	12	1	2	1	11	20	2	3	6	2	3	2	1	2	1	2	1	1	3	2	0	2	0	0	1	2	1	0	0	0
Hhon_g10607.t1	26	3	1	4	1	3	19	1	39	1	2	0	35	52	4	3	23	3	5	9	1	1	0	0	1	1	2	3	0	7	0	2	2	2	6	3	1	1
Hhon_g10609.t1	10	1	1	1	3	3	6	0	25	1	1	2	6	29	3	3	12	1	4	1	0	0	1	2	1	0	2	0	1	0	0	2	3	1	3	0	0	0
Hhon_g10612.t1	121	1	14	10	34	42	200	10	389	2	4	4	89	691	119	21	156	5	68	58	8	19	54	1	1	0	40	14	0	48	11	0	7	36	36	7	1	15
Hhon_g10613.t1	24	0	2	3	2	8	29	1	53	0	0	1	23	51	8	7	27	2	1	6	0	0	0	2	0	2	4	0	2	3	1	0	3	0	3	1	0	2
Hhon_g10614.t1	13	0	3	3	3	2	12	0	26	0	1	0	8	34	8	4	15	0	6	2	0	0	1	0	1	0	4	2	1	5	1	0	1	4	2	1	1	2
Hhon_orphan_2100	4	0	0	1	0	1	6	0	10	0	0	0	2	22	2	1	3	0	1	0	0	0	1	0	0	0	3	1	0	2	0	0	2	0	1	0	0	0
Hhon_g10615.t1	77	5	2	13	18	19	91	1	157	6	6	4	65	298	39	23	113	3	30	26	1	5	10	0	4	11	23	7	5	13	5	7	13	10	15	4	3	5
Hhon_g10617.t1	317	15	12	80	67	76	343	19	663	15	23	23	301	818	121	94	378	17	66	68	16	21	44	11	10	27	71	35	5	69	10	15	19	45	51	12	4	10
Hhon_g10620.t1	15	2	0	6	7	6	23	4	32	0	2	1	21	49	8	7	20	1	6	3	1	0	4	0	1	4	3	2	3	2	0	3	0	3	1	0	0	0
Hhon_g10621.t1	0	0	0	1	1	1	1	0	7	0	0	0	1	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hhon_orphan_2101	2	0	0	0	0	0	3	0	1	0	0	0	1	2	0	0	3	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_g10616.t1	12	0	1	0	10	4	22	2	45	1	2	0	12	65	2	3	13	1	5	1	1	3	6	1	1	6	5	0	1	3	0	1	3	2	3	1	1	3
Hhon_orphan_2102	3	0	1	1	2	0	1	0	7	0	1	0	4	12	3	1	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0
