lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG57797	46	4	3	2	4	12	2	56	2	4	1	9	3	32	9	33	4	2	3	2	0	2	1	1	2	1	4	4	1	1	7	1	5
Tadh_TriadG28004	13	3	0	0	0	6	0	10	1	4	0	3	2	16	11	9	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Tadh_orphan_2724	2	1	0	1	0	1	0	1	0	1	0	1	1	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG27850	57	12	3	6	5	28	7	84	10	37	1	11	18	78	24	68	2	8	4	0	0	8	3	3	5	6	8	4	2	1	2	4	3
Tadh_orphan_2725	1	0	0	0	0	2	0	2	0	1	0	0	0	1	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
Tadh_TriadG64053	3187	281	251	237	244	1595	117	4337	320	1378	18	936	561	3746	1254	3163	187	143	366	53	36	152	78	156	378	97	483	103	287	153	451	50	3
Tadh_orphan_2726	1448	153	133	82	97	849	69	1992	180	545	10	516	238	2083	732	1490	127	51	192	11	29	95	42	111	187	81	241	52	120	95	227	34	2
Tadh_TriadG27501	86	3	5	7	15	26	3	120	7	39	7	41	18	100	22	102	7	5	2	6	2	4	4	6	8	2	6	5	3	1	15	5	2
Tadh_orphan_2727	0	0	0	0	0	1	0	2	0	0	0	0	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_2728	5	1	1	1	1	1	1	8	3	0	1	1	0	9	3	4	0	3	0	0	0	3	1	0	1	0	2	0	1	0	0	0	0
Tadh_TriadG57808	14	0	2	2	2	9	3	23	3	9	0	5	3	20	3	19	2	0	0	0	0	3	1	0	0	0	0	1	1	0	1	0	0
Tadh_orphan_2729	1	0	0	0	0	0	0	2	0	1	0	0	2	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG64054	91	6	4	4	7	41	5	100	13	33	6	17	17	100	25	69	2	4	2	3	0	2	1	7	4	1	5	5	7	3	8	1	1
Tadh_TriadG57816	19	5	0	4	2	13	1	31	5	12	3	12	7	33	15	13	1	1	3	3	0	2	0	5	1	1	4	0	0	0	2	0	3
Tadh_wf_g6696	105	15	4	7	8	44	9	147	19	33	5	32	27	99	39	111	3	7	11	3	1	4	6	10	11	4	17	4	6	4	13	2	6
Tadh_orphan_2730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG57820	30	1	3	5	5	14	2	43	5	11	0	12	8	46	18	34	1	2	2	2	0	3	1	1	5	0	7	2	3	0	6	1	0
Tadh_TriadG57821	106	7	5	2	4	41	6	152	8	49	5	29	20	111	31	116	4	12	10	1	2	2	2	6	11	4	12	4	8	3	8	4	6
Tadh_TriadG64056	75	11	3	4	5	30	5	90	14	22	0	20	6	81	18	92	1	5	2	1	0	3	2	9	6	2	4	0	4	2	13	1	4
Tadh_orphan_2731	20	0	0	2	0	7	1	19	1	7	1	2	2	13	2	18	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1
Tadh_TriadG50448	298	37	24	10	22	118	32	382	43	116	6	91	58	308	86	293	12	18	25	10	4	16	5	28	36	15	25	8	17	13	37	14	24
Tadh_hyp_clust2733	182	16	10	15	11	84	12	227	30	73	9	54	29	173	48	157	15	13	9	8	1	3	6	5	17	9	25	10	13	3	19	4	6
Tadh_TriadG57829	418	38	26	21	23	163	20	499	45	143	14	119	80	368	128	338	27	30	32	16	6	9	11	23	38	13	46	14	13	13	33	11	7
Tadh_TriadG64058	161	12	11	8	11	65	11	237	21	55	2	60	41	155	47	172	9	9	8	5	3	12	4	13	16	7	17	7	5	2	15	3	6
Tadh_TriadG57833	51	4	3	4	6	24	2	53	4	18	2	7	16	54	13	46	1	4	5	0	0	3	1	4	4	0	3	3	2	0	4	5	2
Tadh_TriadG50449	63	8	1	5	8	30	0	92	4	33	1	26	14	69	14	61	4	4	8	2	0	2	3	4	8	2	11	1	1	4	7	1	3
Tadh_TriadG27353	166	15	14	16	11	80	15	224	20	59	11	52	39	188	58	181	7	14	11	3	1	7	6	8	19	10	14	5	9	5	22	1	6
Tadh_TriadG57837	31	9	3	7	7	10	5	56	10	14	6	11	13	62	9	41	1	2	0	2	1	1	1	8	3	3	8	2	0	3	6	0	0
Tadh_TriadG57838	81	4	1	5	10	31	5	87	16	43	5	36	16	72	28	88	8	7	2	4	1	4	0	4	9	2	21	2	3	1	9	3	2
Tadh_orphan_2732	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG57840	132	11	14	9	7	64	3	165	23	61	0	53	31	145	50	149	6	6	17	2	3	6	1	12	17	5	22	3	3	3	6	6	7
Tadh_TriadG57842	90	14	5	5	10	43	10	119	20	25	5	25	24	83	23	83	5	2	3	9	3	1	4	3	7	6	7	1	5	8	10	5	3
Tadh_TriadG57843	40	5	2	0	7	17	4	79	2	14	2	25	18	71	14	43	2	1	4	0	0	3	2	2	4	0	5	1	2	0	6	2	1
Tadh_TriadG27365	30	2	3	1	3	14	0	40	10	14	1	8	8	36	9	35	2	2	1	2	0	0	0	3	6	2	6	1	1	4	5	1	1
Tadh_TriadG57846	55	1	1	2	4	14	1	41	5	27	4	16	2	66	17	35	2	6	3	1	0	0	2	4	6	2	5	1	3	2	6	1	3
Tadh_TriadG57848	33	3	3	0	5	11	3	38	5	13	0	12	7	24	13	17	1	1	0	0	0	2	1	1	2	1	1	4	3	2	7	2	0
Tadh_TriadG57849	3	2	0	1	1	3	0	4	2	0	0	2	0	3	0	2	1	2	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0
Tadh_TriadG27693	92	15	0	3	6	35	6	122	12	43	1	32	16	103	28	114	5	10	5	0	0	2	0	11	11	3	17	2	11	3	9	6	5
Tadh_TriadG27651	127	10	3	12	7	57	7	194	10	70	2	60	31	153	45	122	7	12	6	6	1	6	2	10	9	9	13	3	5	13	13	1	4
Tadh_orphan_2733	4	0	0	0	2	5	0	13	0	3	0	3	1	8	3	6	2	0	1	0	0	1	0	0	0	0	0	2	0	0	3	0	0
Tadh_wf_g6732	25	8	2	1	0	26	0	42	1	13	0	9	10	29	6	32	0	1	3	1	2	3	0	1	5	2	4	2	0	0	4	0	1
Tadh_TriadG57857	13	1	0	0	1	10	0	18	2	8	0	4	3	12	2	16	1	2	0	0	1	0	2	1	0	1	3	0	1	0	2	1	0
Tadh_TriadG57859	96	8	6	6	8	42	11	146	13	30	2	21	18	109	37	93	4	11	8	2	1	12	2	5	11	4	12	3	7	5	10	2	2
Tadh_orphan_2735	3	1	1	1	2	5	1	12	3	1	0	11	3	17	1	10	3	2	2	0	0	0	1	1	2	0	1	0	0	0	2	1	1
Tadh_TriadG57860	46	5	5	3	2	20	3	51	5	14	0	18	10	36	6	43	1	1	3	2	0	3	1	0	2	3	3	1	0	0	6	2	2
Tadh_TriadG50459	7642	832	549	430	680	3108	546	10506	1007	2723	314	2904	1853	8178	2411	7342	437	586	557	241	116	395	262	568	687	266	1028	295	383	344	1064	299	328
Tadh_TriadG57865	29	2	3	2	3	9	2	48	2	9	0	5	8	27	6	31	3	2	3	1	0	1	0	2	3	1	4	1	5	0	5	1	2
Tadh_orphan_2736	8	0	0	0	0	3	0	12	0	2	0	4	1	12	5	8	1	0	0	0	0	1	0	3	0	0	0	0	1	0	3	1	0
Tadh_wf_g6748	7	1	0	0	1	4	1	10	0	5	0	6	1	8	3	8	1	1	1	0	0	0	0	0	3	1	1	1	0	0	1	1	0
Tadh_TriadG57871	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG64063	1150	91	68	55	79	447	91	1289	132	404	32	298	210	1007	390	985	65	79	76	15	9	59	24	70	75	44	110	40	58	27	95	22	59
Tadh_TriadG57874	84	8	1	5	2	27	5	95	17	34	0	28	17	74	28	70	4	8	6	5	2	2	1	2	6	0	12	5	4	0	11	2	6
Tadh_orphan_2737	9	3	0	1	4	2	2	18	0	4	0	7	3	20	0	6	1	0	0	0	0	2	1	1	0	0	0	1	0	1	2	0	0
Tadh_TriadG27944	27	4	1	2	3	13	2	31	3	12	0	12	6	33	10	30	2	3	5	0	2	2	1	5	2	1	2	1	0	1	3	2	0
Tadh_TriadG57881	90	9	0	9	11	26	2	95	12	38	4	33	16	78	30	68	2	8	6	2	0	2	5	5	3	5	6	3	6	0	15	1	5
Tadh_TriadG57883	44	5	3	3	1	21	2	65	5	16	0	7	0	37	9	44	1	1	6	0	0	3	1	5	3	0	6	1	2	0	7	1	0
Tadh_TriadG57884	3	0	0	0	0	0	0	6	0	1	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Tadh_TriadG57885	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_2738	2	0	0	1	0	0	0	1	0	0	0	4	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Tadh_TriadG57886	16	1	2	1	2	5	0	24	1	9	0	5	3	7	0	20	0	1	1	0	0	0	0	3	1	0	11	0	0	0	7	1	0
Tadh_orphan_2739	6	1	1	0	0	2	0	6	0	0	0	7	0	5	0	5	0	2	0	0	0	0	0	1	0	0	8	0	0	0	1	0	0
Tadh_TriadG57887	19	2	4	0	1	15	2	38	1	6	0	4	6	22	7	26	0	1	0	0	0	0	0	2	0	0	5	0	1	0	7	2	0
Tadh_orphan_2740	21	4	2	3	3	7	3	40	3	12	0	10	6	22	5	34	1	1	0	0	0	4	0	1	4	1	4	2	2	0	4	0	0
Tadh_TriadG57890	154	12	12	12	17	60	12	211	19	54	5	42	32	152	63	152	4	10	18	2	1	11	5	12	6	6	30	4	7	9	29	5	6
Tadh_TriadG3098	31	3	0	1	10	14	0	47	1	12	0	10	4	39	7	19	2	3	1	7	2	1	3	0	1	1	4	5	1	1	3	1	0
Tadh_TriadG57894	54	3	6	2	8	22	0	67	6	19	0	8	10	61	12	46	3	4	3	1	1	7	0	3	5	1	6	2	4	2	4	1	1
Tadh_wf_g6772	37	1	1	4	5	19	1	55	1	17	5	15	3	43	15	35	2	2	2	3	2	3	1	6	2	2	4	1	3	2	5	1	0
Tadh_wf_g6773	173	22	13	4	12	79	10	223	10	71	7	50	33	150	50	141	9	9	7	5	3	5	5	13	12	1	12	4	10	5	12	2	3
Tadh_TriadG57900	93	9	3	3	4	36	3	110	6	41	6	21	18	86	26	66	3	5	4	3	3	4	4	9	3	3	12	4	9	3	3	2	4
Tadh_TriadG57901	83	10	2	7	5	33	8	122	8	39	4	39	19	70	22	83	5	9	8	3	3	1	3	8	6	4	15	2	6	4	15	5	3
Tadh_TriadG57904	196	17	6	7	15	86	14	240	19	82	6	50	39	190	60	180	14	21	12	3	2	8	4	13	14	5	27	6	10	8	21	4	10
Tadh_TriadG64065	2513	300	131	121	193	1033	148	3275	337	984	75	775	525	2481	723	2490	145	182	161	61	46	107	50	145	236	104	343	82	139	79	270	61	115
Tadh_TriadG57909	486	39	26	26	38	172	23	564	64	195	15	116	88	513	176	422	25	22	20	10	2	27	18	24	30	10	67	21	22	19	45	16	20
Tadh_TriadG27868	3	0	1	0	2	1	0	8	1	3	0	2	1	7	5	5	0	0	0	0	0	0	0	2	1	1	1	0	1	1	1	0	0
Tadh_TriadG57913	33	4	1	2	5	6	3	42	1	7	0	12	2	25	19	18	2	2	1	0	0	0	6	1	1	1	2	1	3	0	1	0	0
Tadh_orphan_2741	3	0	0	1	0	2	0	3	0	1	0	2	0	4	1	5	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Tadh_orphan_2742	37	3	1	3	5	13	4	40	2	10	2	13	17	31	6	45	2	0	0	3	3	3	1	1	2	0	6	1	0	0	4	1	0
Tadh_TriadG50465	676	78	30	17	44	258	61	823	79	283	20	185	108	610	185	595	35	37	45	13	5	24	24	32	53	19	67	11	26	12	63	23	27
Tadh_TriadG57917	108	18	2	2	9	53	3	134	12	42	2	16	20	102	27	77	10	10	7	0	0	7	0	6	5	9	11	0	8	2	19	2	4
Tadh_TriadG57919	47	9	0	4	3	26	2	67	10	23	0	28	11	64	19	44	4	6	3	2	1	0	1	5	4	4	7	1	3	0	11	0	3
Tadh_orphan_2743	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG57922	575	52	34	22	37	221	27	722	60	243	12	137	79	554	198	503	31	40	32	19	2	31	14	36	46	23	68	9	23	14	54	22	26
Tadh_orphan_2744	1	1	0	0	0	1	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Tadh_TriadG57924	27	4	2	5	1	15	4	42	2	14	0	13	6	39	11	37	1	3	2	1	0	1	2	3	3	1	4	0	2	0	5	1	0
Tadh_TriadG57925	4	0	0	0	0	0	0	4	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Tadh_TriadG57927	75	8	1	3	6	35	3	90	8	26	2	28	15	60	19	79	5	0	2	3	1	0	1	5	7	1	15	2	6	1	4	1	2
Tadh_TriadG57928	75	7	7	2	7	36	5	91	9	31	0	18	11	72	22	46	6	6	5	1	1	1	1	3	3	4	7	0	5	3	8	0	0
Tadh_orphan_2745	8	1	0	0	1	3	0	6	2	1	0	0	2	5	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
Tadh_TriadG50469	5596	480	377	281	409	2115	299	6763	589	2196	146	1494	1029	5161	1795	5173	304	364	331	93	43	256	170	330	469	180	642	222	290	138	550	153	253
Tadh_TriadG57931	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG50470	7	2	0	0	0	2	0	7	1	0	0	3	41	3	0	3	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Tadh_TriadG50471	3	5	0	0	0	3	1	0	0	5	0	2	34	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Tadh_TriadG64067	99	13	9	3	6	49	12	153	15	56	4	36	27	95	38	124	8	9	4	7	2	5	5	9	5	6	6	6	6	7	15	2	5
Tadh_TriadG57937	67	6	2	3	4	19	3	80	5	18	4	21	14	61	24	51	2	4	4	1	0	3	5	8	10	1	5	1	3	1	6	4	1
Tadh_orphan_2746	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Tadh_orphan_2747	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG27600	116	10	6	1	7	47	5	122	15	41	0	18	18	81	29	92	3	8	10	4	1	2	2	2	7	2	15	6	8	4	6	3	3
Tadh_wf_g6816	94	10	7	9	4	51	5	137	17	34	4	56	17	109	37	100	7	9	11	2	1	1	4	5	9	4	15	1	3	3	13	0	2
Tadh_wf_g6817	52	4	1	2	3	18	2	56	2	14	1	11	13	44	17	43	1	2	2	3	0	4	0	3	2	2	2	2	0	2	5	1	1
Tadh_orphan_2748	29	3	1	3	2	14	2	41	4	3	0	15	10	28	15	37	2	4	3	0	0	0	0	6	1	2	8	2	2	0	6	4	2
Tadh_TriadG57947	160	16	10	10	11	76	11	194	15	64	4	63	42	169	43	149	7	18	13	2	2	8	7	9	16	5	24	10	9	3	20	9	2
Tadh_TriadG57949	179	37	10	4	23	123	21	256	21	49	8	74	48	242	45	213	5	19	12	10	4	17	4	14	25	11	22	5	7	14	29	6	3
Tadh_orphan_2749	6	2	0	0	0	2	3	3	1	0	0	0	0	5	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG64068	4529	412	301	220	282	1640	258	5214	468	1652	130	1223	839	4201	1479	3971	248	265	270	78	45	233	111	257	336	160	474	178	230	116	410	114	197
Tadh_TriadG64069	7365	656	444	359	464	2741	444	9218	716	2870	232	1842	1210	6687	2284	6770	401	395	413	154	75	275	178	414	524	262	813	280	315	207	731	199	289
Tadh_orphan_2750	23	4	2	0	2	18	4	34	2	12	0	5	5	26	8	22	2	1	1	0	1	0	2	3	3	1	2	1	2	0	4	0	3
Tadh_TriadG57956	38	4	0	2	4	20	5	76	11	18	4	21	13	66	9	50	4	5	3	2	1	6	0	3	2	0	5	5	1	4	6	4	2
Tadh_orphan_2751	12	0	2	0	1	0	1	15	0	2	1	3	1	9	6	5	1	1	0	0	0	0	1	3	1	0	3	1	1	0	1	1	0
Tadh_TriadG57959	49	0	2	3	1	21	0	57	6	31	1	18	12	62	21	35	1	5	2	4	3	8	2	5	2	1	7	3	6	6	9	4	0
Tadh_TriadG11949	13	0	0	2	0	5	1	17	4	6	0	3	1	9	5	11	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
Tadh_TriadG57961	28	3	1	1	3	10	1	27	1	7	1	9	7	23	8	18	2	0	0	0	0	1	4	3	2	0	1	1	1	0	3	3	0
Tadh_TriadG57963	76	11	6	2	3	20	7	93	9	29	2	22	12	59	19	50	3	5	7	3	0	5	1	3	5	1	4	4	3	0	5	0	3
Tadh_wf_g6835	2	0	1	0	0	43	0	61	0	33	0	63	15	86	0	49	30	21	34	35	0	0	0	1	0	0	28	0	0	22	52	0	0
Tadh_hyp_clust5210	13	3	1	1	3	3	7	42	8	12	2	5	3	18	5	23	0	1	0	4	0	2	0	3	2	2	2	1	0	2	5	0	0
Tadh_TriadG57967	189	16	16	8	14	67	8	238	20	86	4	49	35	179	67	167	7	7	11	5	0	3	5	8	13	5	21	5	5	3	16	5	10
Tadh_TriadG27697	47	2	2	2	6	12	3	55	2	16	0	16	4	29	15	32	1	4	1	3	0	2	1	5	1	1	3	2	2	2	8	0	2
Tadh_TriadG57972	151	14	8	4	14	57	7	205	11	38	1	50	41	149	37	148	8	10	13	2	3	7	2	8	16	8	22	9	8	4	13	1	11
Tadh_orphan_2752	34	5	4	2	2	12	0	47	4	9	0	11	6	45	7	36	2	2	1	1	0	5	0	5	3	2	4	5	4	1	5	4	3
Tadh_TriadG57974	42	3	1	0	9	17	2	58	4	19	1	17	7	56	14	41	2	6	7	0	1	2	3	4	1	1	5	1	1	2	5	0	1
Tadh_orphan_2753	16	0	4	2	1	9	0	31	3	10	0	5	4	17	3	14	4	0	0	0	0	2	0	0	0	3	0	1	1	0	2	0	5
Tadh_orphan_2754	2	0	0	2	0	3	0	1	0	0	0	0	0	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG57976	45	2	7	2	0	22	7	52	8	11	1	26	7	51	21	44	2	5	1	0	0	3	2	6	7	4	8	1	8	1	1	2	6
Tadh_TriadG63333	259	28	11	12	18	97	10	320	36	95	12	65	45	233	70	236	24	14	9	5	2	15	7	15	12	11	29	10	12	8	31	6	11
Tadh_TriadG57978	49	4	8	2	2	16	3	62	5	13	1	14	6	55	17	58	1	4	3	1	0	2	2	1	4	0	9	4	3	0	6	1	0
Tadh_orphan_2755	1	0	0	0	0	0	1	1	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g6851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_2756	1	0	0	2	0	0	0	4	1	0	0	3	0	5	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0
Tadh_TriadG57982	59	6	5	4	4	21	6	69	8	28	2	27	15	57	18	46	3	2	5	1	1	3	0	3	1	1	8	4	4	0	13	1	3
Tadh_TriadG57983	10	2	1	1	3	9	0	11	0	5	1	7	3	4	2	7	0	1	0	0	0	2	0	0	1	1	2	2	0	0	2	1	0
Tadh_TriadG27741	100	5	9	5	10	46	2	149	7	52	3	38	28	131	39	120	7	15	10	4	2	6	3	5	13	4	11	3	2	5	20	9	11
Tadh_orphan_2757	0	0	0	0	0	1	0	3	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_2758	2	0	1	0	0	2	0	2	0	2	0	1	0	10	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Tadh_TriadG64072	177	12	10	8	15	57	15	227	26	63	3	60	21	136	45	143	12	10	9	4	1	5	7	6	8	5	24	4	8	6	11	5	8
Tadh_TriadG50482	180	19	15	16	11	63	6	208	16	77	6	49	33	136	60	168	5	11	6	6	1	5	4	11	18	3	19	6	12	7	17	2	2
Tadh_orphan_2759	6	0	0	1	1	2	0	2	0	0	0	2	1	3	2	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG57995	5	2	0	1	0	2	0	14	1	4	0	7	2	10	0	7	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0
Tadh_TriadG28106	38	2	2	3	3	16	1	58	1	21	5	12	7	40	21	44	5	2	3	0	0	2	1	3	5	4	5	3	0	1	4	1	1
Tadh_wf_g6867	98	9	4	6	11	38	10	132	14	27	3	29	31	91	36	91	8	7	9	0	1	6	7	9	9	0	16	3	9	1	17	2	1
Tadh_TriadG57998	4	1	0	1	0	4	3	9	0	1	0	2	1	4	5	6	1	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0
Tadh_wf_g6870	132	4	7	8	5	51	9	165	11	54	4	50	26	130	40	115	6	11	5	4	4	2	3	17	12	4	20	1	3	6	13	3	8
Tadh_orphan_2760	3	0	0	0	0	0	0	2	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG50484	346	3	2	0	2	9	2	279	3	19	0	295	77	95	7	33	1	2	3	0	0	1	0	1	1	2	17	1	0	1	8	3	1
Tadh_TriadG58004	46	11	6	1	5	26	2	78	5	9	1	15	13	45	12	51	5	4	1	1	0	2	1	2	4	1	6	1	2	4	1	0	1
Tadh_TriadG58006	121	10	12	3	15	38	4	145	14	37	1	26	24	87	37	84	7	4	9	2	0	6	4	6	10	0	7	1	8	3	8	0	2
Tadh_TriadG58007	616	56	42	35	40	236	35	717	80	229	22	174	104	621	198	523	35	36	43	28	4	32	18	38	52	20	61	35	28	19	48	8	23
Tadh_TriadG58009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG58010	116	8	3	6	5	45	4	107	12	49	2	19	22	96	37	124	7	5	7	1	2	6	3	6	6	2	12	3	16	0	14	1	2
Tadh_TriadG28009	56	4	3	1	2	23	5	59	3	24	2	15	9	38	18	48	4	2	2	1	0	2	2	2	5	3	7	5	4	2	6	1	2
Tadh_TriadG27645	156	18	13	11	8	58	18	254	20	72	3	55	31	179	64	192	8	16	13	4	5	8	3	8	20	6	17	0	8	4	15	2	12
Tadh_TriadG58016	45	4	5	4	4	11	4	77	4	14	1	27	14	55	14	55	4	1	3	1	0	0	0	4	2	1	9	0	2	2	5	1	0
Tadh_TriadG58017	58	12	4	0	2	25	0	61	3	30	0	9	14	58	13	49	4	4	9	0	0	7	0	1	4	4	8	0	0	3	13	2	3
Tadh_TriadG58020	146	4	10	2	5	47	9	124	14	44	8	31	14	123	51	127	6	8	4	0	1	1	2	4	8	3	13	2	7	9	8	4	7
Tadh_TriadG27379	149	15	9	4	7	77	11	194	22	55	3	62	23	192	40	172	6	16	18	5	4	3	5	13	12	16	18	7	14	7	19	4	7
Tadh_orphan_2761	8	2	1	3	1	5	2	16	2	3	0	6	4	15	2	10	0	0	0	0	0	0	1	0	2	1	1	0	1	0	1	1	0
Tadh_TriadG27920	125	5	8	12	11	58	9	168	18	50	1	38	30	151	25	125	7	12	6	4	1	6	4	9	14	3	19	5	7	9	9	3	6
Tadh_TriadG58024	236	17	9	12	18	92	30	312	24	94	15	65	42	249	80	258	13	10	22	8	4	6	7	26	18	7	27	16	8	9	29	7	9
Tadh_TriadG58025	814	74	52	37	53	331	59	980	97	356	33	265	163	865	274	801	52	64	54	11	13	36	25	46	91	19	88	31	30	24	98	25	35
Tadh_TriadG58026	93	13	3	4	13	43	3	152	14	38	7	43	20	99	27	77	6	8	6	2	2	3	2	7	4	3	8	5	6	7	18	4	6
Tadh_orphan_2762	20	4	0	2	3	6	2	25	3	7	0	14	9	16	4	18	3	4	2	1	0	1	0	2	0	3	4	0	1	1	4	0	0
Tadh_TriadG58027	94	6	6	3	5	38	5	141	12	42	5	32	17	106	32	101	9	11	4	6	2	2	5	7	13	3	14	2	6	3	7	2	2
Tadh_TriadG58030	9	2	0	1	0	4	0	18	0	4	1	4	4	4	9	13	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG58032	100	11	4	4	3	56	6	135	7	23	3	25	16	104	23	92	8	14	5	1	0	5	1	2	7	5	6	1	6	3	19	3	4
Tadh_orphan_2763	8	3	0	0	2	8	0	13	0	4	0	6	2	10	4	11	1	1	0	0	0	2	1	0	0	0	2	0	3	0	0	0	0
Tadh_TriadG27729	1546	119	88	66	133	692	101	1947	256	548	71	433	223	1411	407	1341	83	92	74	48	17	69	27	71	89	41	224	41	72	57	188	25	43
Tadh_TriadG58035	132	3	1	8	19	46	5	218	14	46	0	42	39	148	41	125	9	6	8	1	1	6	9	9	18	7	28	2	12	7	13	1	15
Tadh_TriadG58036	18	0	0	0	2	8	2	21	2	2	0	3	5	20	4	20	1	2	0	0	0	0	0	0	1	2	1	0	0	0	1	0	1
Tadh_orphan_2764	67	4	0	4	5	33	5	101	3	13	4	36	12	79	16	68	6	4	7	4	1	5	3	4	7	4	17	5	5	5	11	4	4
Tadh_TriadG11807	115	8	4	7	7	37	5	130	16	50	1	27	31	121	39	95	8	10	8	1	0	9	3	9	11	6	15	1	10	5	6	6	5
Tadh_orphan_2765	16	2	1	1	4	8	1	15	2	5	1	12	4	14	3	17	0	0	1	1	1	1	0	1	0	0	3	0	2	1	6	0	0
Tadh_orphan_2766	5	1	0	3	2	2	0	6	4	2	3	2	1	9	1	3	0	0	1	0	0	0	1	1	1	1	1	1	0	0	2	1	0
Tadh_TriadG27970	25	5	3	1	5	12	2	48	4	13	0	9	7	23	15	33	1	6	2	3	0	0	0	1	2	4	0	1	2	1	1	1	1
Tadh_wf_g6913	170	20	14	5	14	71	13	290	22	64	8	67	54	208	63	193	5	12	17	0	1	25	4	8	12	2	29	11	9	7	20	11	7
Tadh_TriadG58043	92	6	8	6	6	35	4	114	12	32	2	34	32	99	35	79	8	8	3	1	3	5	4	0	7	1	14	5	3	2	15	4	6
Tadh_TriadG27679	144	10	10	11	18	55	20	196	13	61	4	47	26	132	44	152	3	14	9	4	0	5	4	12	14	9	19	5	10	5	22	2	11
