lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG63184	382	35	31	10	16	146	15	440	48	163	11	98	61	402	140	299	13	34	19	17	5	14	12	31	31	10	40	8	25	7	38	17	28
Tadh_wf_g964	19	3	0	0	1	4	1	20	7	6	0	2	4	22	4	16	2	3	0	2	1	2	0	1	1	1	0	2	3	0	4	0	1
Tadh_wf_g965	13	2	0	1	1	8	0	29	1	5	0	2	3	12	1	10	0	2	3	1	1	1	0	2	1	0	3	0	1	1	6	1	0
Tadh_TriadG19351	2	1	0	0	0	0	0	2	0	0	1	1	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Tadh_TriadG15193	13	0	0	0	0	6	0	14	1	4	0	9	1	3	4	4	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0
Tadh_wf_g968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG19019	75	9	6	3	8	35	5	111	12	33	3	20	8	95	30	97	2	6	4	0	1	4	1	7	6	3	10	3	5	4	11	2	4
Tadh_TriadG18846	129	20	8	5	10	59	8	184	14	59	5	52	24	122	43	126	8	9	6	0	0	7	5	11	7	3	7	5	4	3	17	5	3
Tadh_wf_g972	97	9	2	1	9	32	6	89	8	39	3	30	11	73	33	73	2	8	8	1	0	6	1	4	7	2	4	2	3	0	8	2	3
Tadh_TriadG52230	72	5	0	6	7	25	5	88	11	20	4	23	15	66	19	66	5	11	4	3	1	2	3	7	10	4	10	2	0	2	5	0	2
Tadh_TriadG52232	85	5	5	2	6	37	2	93	20	21	2	19	17	78	23	76	3	9	2	3	2	3	5	8	7	2	10	3	5	2	15	2	5
Tadh_TriadG52234	79	8	7	1	6	40	6	117	7	42	4	22	23	79	22	81	2	8	8	1	0	0	3	4	7	3	8	1	2	3	8	2	2
