lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_g00060.t1	1	1	0	2	2	0	3	2
Hhon_g00061.t1	227	147	46	210	377	201	769	386
Hhon_orphan_34	2	0	0	0	2	5	8	1
Hhon_g00062.t1	8	9	2	22	34	11	60	23
Hhon_g00063.t1	5	3	2	1	8	2	25	10
Hhon_g00064.t1	90	51	19	77	156	67	308	156
Hhon_orphan_35	3	2	0	2	2	0	16	9
Hhon_g00067.t1	8	8	5	10	32	14	71	28
Hhon_g00069.t1	144	80	20	121	178	98	373	186
Hhon_g00070.t1	86	63	11	109	159	79	377	162
Hhon_g00072.t1	106	68	32	128	243	110	495	195
Hhon_g00075.t1	12	8	2	12	29	9	43	16
Hhon_g00076.t1	57	25	11	45	104	47	187	85
Hhon_g00077.t1	427	270	96	386	778	373	1545	701
Hhon_orphan_36	9	4	0	13	9	7	30	16
Hhon_g00081.t1	12	9	8	18	30	9	51	25
Hhon_g00083.t1	22	5	4	14	32	18	86	29
Hhon_orphan_37	5	2	0	3	8	4	17	10
Hhon_g00085.t1	33	31	11	36	70	20	147	63
Hhon_g00087.t1	28	14	2	27	37	14	84	32
Hhon_orphan_38	4	4	1	4	4	2	4	7
Hhon_g00090.t1	47	29	16	55	114	39	219	85
Hhon_orphan_39	25	18	7	14	38	18	89	34
Hhon_g00093.t1	121	75	27	130	264	124	538	263
Hhon_g00096.t1	26	18	5	25	46	18	91	38
Hhon_g00098.t1	8993	5636	1906	8494	16203	7416	32437	14886
Hhon_g00101.t1	99	46	15	77	148	58	296	138
Hhon_g00102.t1	95	73	18	86	145	91	306	127
Hhon_g00105.t1	107	83	30	106	224	88	422	189
Hhon_g00107.t1	25	22	4	21	43	28	124	53
Hhon_g00109.t1	52	42	14	63	142	48	300	114
Hhon_g00111.t1	467	325	110	437	845	421	1778	775
Hhon_g00113.t1	23	13	1	18	40	9	73	27
Hhon_g00114.t1	116	74	15	138	231	136	451	210
Hhon_g00121.t1	74	35	11	80	114	43	348	148
Hhon_g00123.t1	123	94	23	171	336	117	763	390
Hhon_g00125.t1	70	28	10	61	138	63	245	127
Hhon_g00127.t1	48	27	16	53	103	46	221	99
Hhon_orphan_40	1	0	0	2	3	1	19	5
Hhon_g00129.t1	355	227	86	301	675	342	1362	638
Hhon_g00130.t1	457	220	74	410	611	404	1186	619
Hhon_g00131.t1	169	103	26	163	277	125	543	291
Hhon_g00133.t1	48	35	17	55	90	38	205	78
Hhon_g00135.t1	55	49	17	76	122	74	256	149
Hhon_g00137.t1	38	32	14	50	88	31	176	93
Hhon_g00139.t1	69	39	13	63	112	54	219	121
Hhon_g00140.t1	258	152	49	238	527	197	916	452
Hhon_g00143.t1	84	47	8	54	101	60	233	112
Hhon_orphan_41	20	13	7	23	25	16	65	28
Hhon_g00146.t1	99	59	14	86	159	56	261	134
Hhon_orphan_42	32	32	9	36	62	30	198	85
Hhon_orphan_43	6	1	0	3	7	6	19	4
Hhon_g00147.t1	15	16	2	7	19	16	60	15
Hhon_g00148.t1	22	9	3	33	47	21	120	40
Hhon_g00150.t1	118	61	14	116	237	97	521	225
Hhon_g00151.t1	27	15	8	18	39	12	78	38
Hhon_orphan_44	31	23	9	36	62	41	143	77
Hhon_g00153.t1	310	161	54	280	581	223	1042	526
Hhon_g00154.t1	158	98	29	143	266	153	480	256
Hhon_g00155.t1	75	39	20	76	148	73	294	122
Hhon_g00157.t1	104	46	16	85	163	102	260	148
Hhon_g00158.t1	92	54	23	85	181	75	320	155
