#OG_name	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_139	HoiH23_PlH23_009552-RA	TrH2_TrispH2_002743-RA	Hhon_g00452.t1	Tadh_TriadT53843
OG_140	HoiH23_PlH23_005312-RA	TrH2_TrispH2_002738-RA	Hhon_g00456.t1	Tadh_TriadT21464
OG_141	HoiH23_PlH23_005311-RA	TrH2_TrispH2_002737-RA	Hhon_g00457.t1	Tadh_wf_g2603.t1
OG_142	HoiH23_PlH23_005307-RA	TrH2_TrispH2_002732-RA	Hhon_g00461.t1	Tadh_TriadT53832
OG_143	HoiH23_PlH23_005306-RA	TrH2_TrispH2_002731-RA	Hhon_g00463.t1	Tadh_TriadT53830
OG_144	HoiH23_PlH23_005304-RA	TrH2_TrispH2_002729-RA	Hhon_g00465.t1	Tadh_TriadT53828
OG_145		TrH2_TrispH2_002728-RA	Hhon_g00467.t1	Tadh_wf_g2594.t1
OG_146	HoiH23_PlH23_005301-RA	TrH2_TrispH2_002727-RA	Hhon_g00468.t1	Tadh_wf_g2593.t1
OG_147	HoiH23_PlH23_005297-RA	TrH2_TrispH2_002723-RA	Hhon_g00472.t1	Tadh_TriadT53824
OG_148	HoiH23_PlH23_006580-RA	TrH2_TrispH2_002711-RA	Hhon_g00487.t1	Tadh_TriadT17273
OG_149	HoiH23_PlH23_006581-RA	TrH2_TrispH2_002710-RA	Hhon_g00488.t1	Tadh_TriadT53808
OG_150	HoiH23_PlH23_006582-RA	TrH2_TrispH2_002709-RA	Hhon_g00489.t1	Tadh_TriadT53807
OG_151	HoiH23_PlH23_006585-RA	TrH2_TrispH2_002707-RA	Hhon_g00492.t1	Tadh_TriadT53805
OG_152	HoiH23_PlH23_001160-RA	TrH2_TrispH2_002540-RA	Hhon_g00533.t1	Tadh_TriadT22780
OG_153	HoiH23_PlH23_001153-RA	TrH2_TrispH2_002543-RA	Hhon_g00538.t1	Tadh_TriadT22538
OG_154	HoiH23_PlH23_001145-RA	TrH2_TrispH2_002553-RA	Hhon_g00546.t1	Tadh_TriadT54171
OG_155	HoiH23_PlH23_001144-RA	TrH2_TrispH2_002554-RA	Hhon_g00547.t1	Tadh_TriadT54172
OG_156	HoiH23_PlH23_001143-RA	TrH2_TrispH2_002555-RA	Hhon_g00548.t1	Tadh_TriadT22252
