module	community	bct	cts	species
HoiH23.darkred	gc029	peptidergic	peptidergic_theta	HoiH23
Tadh.salmon	gc030	unknown_2	peptidergic_progenitors	Tadh
Hhon.lightyellow	gc030	peptidergic	peptidergic_progenitors	Hhon
HoiH23.lightyellow	gc030	peptidergic	peptidergic_progenitors	HoiH23
Tadh.salmon4	gc031	epithelia	epithelia_dorsal	Tadh
Hhon.thistle2	gc031	gland	gland_1_like	Hhon
TrH2.pink	gc032	unknown_1	unknown_1	TrH2
Hhon.darkgreen	gc032	unknown_1	unknown_1	Hhon
Hhon.darkorange2	gc032	unknown_1	NA	Hhon
HoiH23.lightsteelblue1	gc032	unknown_1	unknown_1	HoiH23
HoiH23.steelblue	gc032	unknown_1	unknown_1	HoiH23
TrH2.yellow	gc033	epithelia_gland_like	NA	TrH2
Hhon.brown	gc033	epithelia	NA	Hhon
HoiH23.brown	gc033	epithelia_gland_like	NA	HoiH23
Hhon.tan	gc034	peptidergic	NA	Hhon
HoiH23.darkturquoise	gc034	epithelia_gland_like	NA	HoiH23
