module	community	label	color	classification
HoiH23.paleturquoise	gc019	peptidergic_delta	skyblue3	peptidergic
Tadh.purple	gc020	peptidergic_epsilon	steelblue1	peptidergic
TrH2.lightcyan	gc020	peptidergic_epsilon	steelblue1	peptidergic
Hhon.lightgreen	gc020	peptidergic_epsilon	steelblue1	peptidergic
Hhon.violet	gc020	peptidergic_epsilon	steelblue1	peptidergic
HoiH23.darkgrey	gc020	peptidergic_epsilon	steelblue1	peptidergic
Tadh.red	gc021	cell_cycle_2	darkseagreen3	none
Hhon.green	gc021	cell_cycle_2	darkseagreen3	none
HoiH23.black	gc021	cell_cycle_2	darkseagreen3	none
Tadh.darkturquoise	gc022	gland	darkorange3	gland
Tadh.sienna3	gc022	gland	darkorange3	gland
TrH2.darkslateblue	gc022	gland	darkorange3	gland
Hhon.greenyellow	gc022	gland	darkorange3	gland
Hhon.skyblue	gc022	gland	darkorange3	gland
HoiH23.salmon	gc022	gland	darkorange3	gland
HoiH23.sienna3	gc022	gland	darkorange3	gland
Tadh.tan	gc023	peptidergic_kappa	deepskyblue3	peptidergic
TrH2.grey60	gc023	peptidergic_kappa	deepskyblue3	peptidergic
Hhon.midnightblue	gc023	peptidergic_kappa	deepskyblue3	peptidergic
HoiH23.greenyellow	gc023	peptidergic_kappa	deepskyblue3	peptidergic
Tadh.turquoise	gc024	fibre	chartreuse3	fibre
TrH2.blue	gc024	fibre	chartreuse3	fibre
Hhon.blue	gc024	fibre	chartreuse3	fibre
HoiH23.blue	gc024	fibre	chartreuse3	fibre
Tadh.yellow	gc025	epithelia_dorsal	mediumorchid3	epithelia
TrH2.brown	gc025	epithelia_dorsal	mediumorchid3	epithelia
Hhon.red	gc025	epithelia_dorsal	mediumorchid3	epithelia
Hhon.yellow	gc025	epithelia_dorsal	mediumorchid3	epithelia
HoiH23.yellow	gc025	epithelia_dorsal	mediumorchid3	epithelia
Tadh.yellowgreen	gc026	peptidergic_theta	royalblue3	peptidergic
TrH2.royalblue	gc026	peptidergic_theta	royalblue3	peptidergic
Hhon.purple	gc026	peptidergic_theta	royalblue3	peptidergic
HoiH23.darkred	gc026	peptidergic_theta	royalblue3	peptidergic
Tadh.salmon	gc027	peptidergic_progenitors	blueviolet	peptidergic
Hhon.lightyellow	gc027	peptidergic_progenitors	blueviolet	peptidergic
HoiH23.lightyellow	gc027	peptidergic_progenitors	blueviolet	peptidergic
Tadh.salmon4	gc028	epithelia_dorsal	mediumorchid4	epithelia
