#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_472	12	14	14	1.0
OG_473	5	7	7	0.8571
OG_474	11	47	47	0.42
OG_475	11	30	30	0.623
OG_476	12	15	15	1.0
OG_477	2	7	7	0.5714
OG_478	11	28	28	0.8677
OG_479	12	13	13	1.0
OG_480	12	15	15	0.9143
OG_481	12	19	19	1.0
OG_482	10	17	17	1.0
OG_483	10	12	12	0.9697
OG_484	8	11	11	1.0
OG_485	7	8	8	1.0
OG_486	12	17	17	0.9485
OG_487	11	15	15	1.0
OG_488	6	6	6	1.0
OG_489	11	14	14	1.0
OG_490	12	14	14	1.0
OG_491	11	13	13	0.8718
OG_492	10	13	13	1.0
OG_493	8	12	12	0.8636
OG_494	4	4	4	1.0
OG_495	12	24	24	0.7971
OG_496	9	10	10	1.0
OG_497	12	27	27	1.0
OG_498	7	65	65	0.5889
OG_499	11	11	11	1.0
OG_500	12	14	14	1.0
OG_501	10	13	13	0.7308
OG_502	9	12	12	1.0
OG_503	10	10	10	1.0
OG_504	8	10	10	1.0
OG_505	12	13	13	1.0
OG_506	12	13	13	1.0
OG_507	12	17	17	1.0
OG_508	2	37	37	0.3799
OG_509	2	5	5	0.6
OG_510	12	15	15	1.0
OG_511	12	17	17	1.0
OG_512	11	21	21	1.0
OG_513	11	18	18	0.817
OG_514	12	18	18	0.9542
OG_515	11	13	13	0.5513
OG_516	5	241	241	0.0537
OG_517	11	14	14	1.0
OG_518	7	7	7	1.0
OG_519	10	17	17	1.0
OG_520	12	16	16	1.0
OG_521	12	14	14	1.0
OG_522	4	4	4	1.0
OG_523	4	4	4	1.0
OG_524	12	93	93	0.2735
OG_525	12	15	15	1.0
OG_526	12	22	22	0.9004
OG_527	11	46	46	0.8222
OG_528	11	13	13	1.0
OG_529	11	21	21	0.7286
OG_530	9	41	41	0.2573
OG_531	12	16	16	1.0
OG_532	12	13	13	0.9744
OG_533	12	15	15	0.8857
OG_534	12	15	15	1.0
OG_535	5	196	196	0.1083
OG_536	8	9	9	1.0
OG_537	4	8	8	1.0
OG_538	12	17	17	1.0
OG_539	6	24	24	0.4565
OG_540	12	21	21	0.6286
OG_541	11	15	15	1.0
OG_542	8	10	10	1.0
OG_543	11	12	12	0.8636
OG_544	12	16	16	0.7833
OG_545	12	14	14	1.0
OG_546	11	18	18	1.0
OG_547	12	12	12	1.0
OG_548	12	16	16	0.9083
OG_549	12	13	13	1.0
OG_550	9	17	17	0.4118
OG_551	5	7	7	1.0
OG_552	7	7	7	1.0
OG_553	11	15	15	0.8857
OG_554	12	13	13	1.0
OG_555	12	18	18	0.8954
OG_556	11	16	16	0.7917
OG_557	12	109	109	0.642
OG_558	4	4	4	1.0
OG_559	12	14	14	1.0
OG_560	10	10	10	1.0
OG_561	12	20	20	1.0
OG_562	11	17	17	0.8971
OG_563	2	9	9	0.6667
OG_564	11	11	11	1.0
OG_565	6	9	9	1.0
OG_566	12	14	14	0.8132
OG_567	12	15	15	1.0
OG_568	11	12	12	1.0
OG_569	12	39	39	0.4022
OG_570	12	14	14	1.0
OG_571	2	13	13	0.6282
OG_572	9	10	10	1.0
OG_573	12	228	228	0.1119
OG_574	12	22	22	1.0
OG_575	11	34	34	0.6168
OG_576	12	13	13	0.8462
OG_577	12	24	24	0.8478
OG_578	11	11	11	1.0
OG_579	11	24	24	0.7536
OG_580	12	22	22	0.8442
OG_581	8	11	11	0.8182
OG_582	12	15	15	1.0
OG_583	3	3	3	1.0
OG_584	12	15	15	1.0
OG_585	11	18	18	0.915
OG_586	12	13	13	0.8718
OG_587	8	8	8	1.0
OG_588	12	12	12	1.0
OG_589	12	14	14	1.0
OG_590	12	12	12	1.0
OG_591	4	4	4	1.0
OG_592	8	15	15	0.981
OG_593	12	17	17	1.0
OG_594	9	11	11	1.0
OG_595	12	17	17	0.9044
OG_596	11	12	12	1.0
OG_597	12	17	17	0.7941
OG_598	4	4	4	1.0
OG_599	10	11	11	1.0
OG_600	4	24	24	0.2899
OG_601	7	18	18	0.6536
OG_602	12	27	27	0.5299
OG_603	12	20	20	1.0
OG_604	10	12	12	1.0
OG_605	12	14	14	1.0
OG_606	3	8	8	0.9286
OG_607	9	18	18	0.7516
OG_608	11	15	15	1.0
OG_609	11	15	15	0.6095
OG_610	12	21	21	0.8476
OG_611	11	23	23	0.83
OG_612	9	57	57	0.4994
OG_613	12	15	15	1.0
OG_614	11	13	13	1.0
OG_615	11	15	15	1.0
OG_616	10	10	10	1.0
OG_617	10	19	19	0.5614
OG_618	12	12	12	1.0
OG_619	5	107	107	0.2098
OG_620	6	41	41	0.6098
OG_621	12	16	16	1.0
OG_622	4	4	4	1.0
OG_623	12	15	15	1.0
OG_624	9	11	11	1.0
OG_625	2	22	22	0.3723
OG_626	11	33	33	0.5606
OG_627	2	5	5	1.0
OG_628	12	16	16	1.0
OG_629	7	226	226	0.11
OG_630	12	21	21	0.9762
OG_631	12	14	14	1.0
OG_632	11	32	32	0.9435
OG_633	12	13	13	1.0
OG_634	8	25	25	0.6
OG_635	9	11	11	1.0
OG_636	12	13	13	1.0
OG_637	12	14	14	1.0
OG_638	7	8	8	1.0
OG_639	9	12	12	1.0
OG_640	8	9	9	0.5556
OG_641	11	14	14	1.0
OG_642	4	20	20	0.6
OG_643	12	14	14	1.0
OG_644	11	15	15	1.0
OG_645	9	94	94	0.2144
OG_646	12	12	12	1.0
OG_647	11	13	13	1.0
OG_648	12	76	76	0.4309
OG_649	11	22	22	0.9567
OG_650	12	25	25	0.8933
OG_651	12	12	12	1.0
OG_652	11	13	13	1.0
OG_653	12	17	17	0.9706
OG_654	11	16	16	0.875
OG_655	12	14	14	1.0
OG_656	4	4	4	1.0
OG_657	10	17	17	0.8088
OG_658	11	14	14	1.0
OG_659	12	19	19	1.0
OG_660	11	14	14	1.0
OG_661	7	14	14	0.8242
OG_662	11	32	32	0.6714
OG_663	10	13	13	1.0
OG_664	11	11	11	1.0
OG_665	10	11	11	1.0
OG_666	12	14	14	1.0
OG_667	12	12	12	1.0
OG_668	12	16	16	1.0
OG_669	5	5	5	1.0
OG_670	12	13	13	1.0
OG_671	6	171	171	0.1197
OG_672	12	20	20	0.8211
OG_673	12	14	14	1.0
OG_674	11	16	16	1.0
OG_675	12	17	17	0.9118
OG_676	12	16	16	1.0
OG_677	12	14	14	1.0
OG_678	12	14	14	1.0
OG_679	12	14	14	1.0
OG_680	12	39	39	0.4804
OG_681	11	17	17	1.0
OG_682	12	21	21	1.0
OG_683	2	19	19	0.4094
OG_684	12	182	182	0.3872
OG_685	11	20	20	0.7474
OG_686	11	16	16	1.0
OG_687	11	11	11	1.0
OG_688	11	15	15	0.8762
OG_689	12	19	19	0.9298
OG_690	11	15	15	1.0
OG_691	12	18	18	1.0
OG_692	11	19	19	0.9064
OG_693	12	436	436	0.139
OG_694	8	8	8	1.0
OG_695	4	5	5	1.0
OG_696	9	19	19	1.0
OG_697	5	5	5	1.0
OG_698	11	14	14	1.0
OG_699	11	18	18	0.6275
OG_700	12	326	326	0.0679
OG_701	12	14	14	1.0
OG_702	5	52	52	0.1546
OG_703	12	31	31	0.5634
OG_704	12	13	13	1.0
OG_705	10	17	17	0.8382
OG_706	11	15	15	1.0
OG_707	8	17	17	0.5221
OG_708	12	19	19	1.0
OG_709	10	11	11	1.0
OG_710	12	16	16	1.0
OG_711	11	15	15	1.0
OG_712	10	11	11	1.0
OG_713	10	28	28	0.6508
OG_714	12	18	18	1.0
OG_715	10	14	14	1.0
OG_716	11	12	12	1.0
OG_717	12	15	15	1.0
OG_718	5	9	9	0.7778
OG_719	12	13	13	1.0
OG_720	10	13	13	1.0
OG_721	12	18	18	0.9542
OG_722	9	9	9	0.8611
OG_723	12	14	14	1.0
OG_724	4	4	4	1.0
OG_725	10	18	18	0.8039
OG_726	10	14	14	0.9011
OG_727	11	16	16	0.8833
OG_728	12	21	21	0.7333
OG_729	11	14	14	0.8132
OG_730	2	10	10	0.6
OG_731	11	15	15	1.0
OG_732	6	104	104	0.1912
OG_733	3	5	5	1.0
OG_734	11	42	42	0.9582
OG_735	12	35	35	0.5782
OG_736	11	15	15	1.0
OG_737	9	9	9	1.0
OG_738	9	13	13	0.859
OG_739	12	13	13	1.0
OG_740	11	11	11	1.0
OG_741	11	21	21	0.881
OG_742	4	89	89	0.1581
OG_743	8	8	8	1.0
OG_744	12	14	14	0.956
OG_745	4	11	11	0.5091
OG_746	10	11	11	1.0
OG_747	5	6	6	1.0
OG_748	12	17	17	1.0
OG_749	11	23	23	0.8498
OG_750	11	18	18	1.0
OG_751	11	17	17	1.0
OG_752	3	28	28	0.3571
OG_753	4	4	4	1.0
OG_754	12	18	18	0.6928
OG_755	4	17	17	1.0
OG_756	12	20	20	1.0
OG_757	12	13	13	1.0
OG_758	12	19	19	1.0
OG_759	11	13	13	1.0
OG_760	12	14	14	1.0
OG_761	5	5	5	1.0
OG_762	12	14	14	1.0
OG_763	5	108	108	0.1374
OG_764	11	14	14	0.8681
OG_765	2	57	57	0.1898
OG_766	12	15	15	1.0
OG_767	11	15	15	1.0
OG_768	12	16	16	0.8917
OG_769	12	19	19	1.0
OG_770	10	31	31	0.5204
OG_771	12	12	12	1.0
OG_772	12	31	31	0.529
OG_773	12	13	13	1.0
OG_774	2	15	15	0.4476
OG_775	10	18	18	0.7712
OG_776	8	94	94	0.1457
OG_777	11	30	30	0.9586
OG_778	12	19	19	1.0
OG_779	12	14	14	1.0
OG_780	12	19	19	0.9708
OG_781	7	10	10	1.0
OG_782	11	11	11	1.0
OG_783	12	15	15	1.0
OG_784	10	22	22	1.0
OG_785	12	20	20	0.7789
OG_786	4	5	5	1.0
OG_787	3	3	3	1.0
OG_788	10	11	11	1.0
OG_789	11	13	13	1.0
OG_790	6	6	6	1.0
OG_791	12	13	13	1.0
OG_792	2	27	27	0.4387
OG_793	8	9	9	1.0
OG_794	12	16	16	0.9917
OG_795	12	30	30	0.6092
OG_796	11	12	12	1.0
OG_797	12	16	16	1.0
OG_798	12	16	16	0.9833
OG_799	10	12	12	1.0
OG_800	2	104	104	0.085
OG_801	11	19	19	0.8012
OG_802	10	339	339	0.131
OG_803	2	7	7	0.8095
OG_804	9	55	55	0.736
OG_805	10	12	12	1.0
OG_806	11	12	12	1.0
OG_807	12	20	20	1.0
OG_808	12	13	13	1.0
OG_809	12	28	28	0.6085
OG_810	12	22	22	0.8745
OG_811	2	7	7	0.8571
OG_812	12	22	22	0.9524
OG_813	12	25	25	0.8533
OG_814	11	12	12	1.0
OG_815	12	61	61	0.2787
OG_816	12	15	15	1.0
OG_817	9	9	9	1.0
OG_818	7	17	17	0.6765
OG_819	11	20	20	0.6632
OG_820	3	3	3	1.0
OG_821	12	14	14	1.0
OG_822	4	5	5	1.0
OG_823	9	14	14	1.0
OG_824	11	17	17	0.7647
OG_825	11	11	11	1.0
OG_826	9	10	10	1.0
OG_827	8	8	8	1.0
OG_828	12	36	36	0.519
OG_829	10	27	27	0.6895
OG_830	11	15	15	0.9619
OG_831	11	14	14	1.0
OG_832	12	28	28	1.0
OG_833	12	21	21	0.5095
OG_834	12	13	13	1.0
OG_835	12	21	21	0.9429
OG_836	12	120	120	0.2762
OG_837	10	17	17	0.7059
OG_838	8	522	522	0.059
OG_839	9	9	9	1.0
OG_840	11	17	17	1.0
OG_841	11	69	69	0.39
OG_842	12	13	13	1.0
OG_843	12	28	28	0.5873
OG_844	12	12	12	1.0
OG_845	12	14	14	1.0
OG_846	5	5	5	1.0
OG_847	10	15	15	1.0
OG_848	12	26	26	0.5169
OG_849	10	11	11	1.0
OG_850	4	5	5	1.0
OG_851	5	58	58	0.3739
OG_852	10	16	16	1.0
OG_853	7	7	7	1.0
OG_854	12	106	106	0.7001
OG_855	12	53	53	0.3977
OG_856	4	4	4	1.0
OG_857	11	26	26	0.48
OG_858	11	13	13	1.0
OG_859	11	14	14	1.0
OG_860	12	17	17	1.0
OG_861	7	539	539	0.0548
OG_862	12	57	57	0.7575
OG_863	11	23	23	0.747
OG_864	12	16	16	1.0
OG_865	7	43	43	0.3344
OG_866	12	19	19	1.0
OG_867	9	13	13	0.7436
OG_868	12	16	16	1.0
OG_869	12	16	16	1.0
OG_870	12	596	596	0.073
OG_871	12	12	12	1.0
OG_872	11	11	11	1.0
OG_873	11	15	15	1.0
OG_874	9	10	10	1.0
OG_875	12	161	161	0.2557
OG_876	12	15	15	1.0
OG_877	12	16	16	1.0
OG_878	9	9	9	1.0
OG_879	12	15	15	1.0
OG_880	11	12	12	1.0
OG_881	10	15	15	1.0
OG_882	11	13	13	0.7564
OG_883	12	19	19	0.9649
OG_884	4	4	4	1.0
OG_885	4	4	4	1.0
OG_886	4	4	4	1.0
OG_887	12	15	15	1.0
OG_888	4	4	4	1.0
OG_889	12	12	12	1.0
OG_890	12	16	16	1.0
OG_891	12	13	13	1.0
OG_892	10	11	11	1.0
OG_893	10	18	18	1.0
OG_894	12	22	22	1.0
OG_895	12	19	19	1.0
OG_896	11	11	11	1.0
OG_897	12	15	15	1.0
OG_898	12	97	97	0.2513
OG_899	12	14	14	1.0
OG_900	10	10	10	1.0
OG_901	9	15	15	0.8857
OG_902	10	14	14	1.0
