metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
118	150	352559	2350.39333333333	1842.25	2176	2652	0.396687299404306	0.0281531922144347	0.0558941723382411	0.115536283542797	0.460642159868619
119	80	184607	2307.5875	1921.5	2268	2615.5	0.48822749385182	0.0534037520259666	0.0780906060202434	0.155902360537175	0.492607718519837
120	112	298629	2666.33035714286	2227.75	2579	3193	0.48111250640189	0.0332051266890707	0.0658624017247802	0.127022776151046	0.461093146593207
121	62	205724	3318.12903225806	2566.25	3172	4011.5	0.498978909607599	0.0480716868940439	0.0738780337153293	0.141162496103724	0.509778101732711
122	72	231345	3213.125	2002.75	2747.5	3914.25	0.314726934294324	0.0427932332680885	0.084749860055097	0.150178224017127	0.459355641033769
123	44	102164	2321.90909090909	1475.5	2150	2796.75	0.359892630088486	0.0811751163855503	0.118118216684203	0.235518078176447	0.599309480334187
124	89	299039	3359.98876404494	2739	3316	3914	0.416497101116966	0.0331863755332135	0.0668765046368834	0.14734287089113	0.465861883299336
125	113	449158	3974.84955752212	3055	3682	4660	0.339919643302195	0.0343230657902827	0.0730911368925066	0.163264263755551	0.574657654522116
126	48	219942	4582.125	3612.25	4554.5	5449.75	0.549179473538289	0.0450845521361787	0.101542037412132	0.267080936002237	1.04928639671002
127	80	356412	4455.15	3473.25	4360	5322	0.500906796669618	0.0279076448618053	0.0828505783108206	0.240044781511488	1.0034312433695
128	77	390794	5075.24675324675	4306	5110	6044	0.560691610526178	0.0254781466217882	0.0757868392528658	0.232619368413887	1.01716226659374
129	51	103828	2035.8431372549	1553	2161	2484	0.625112188667493	0.0926892493592404	0.144581016883067	0.31623298679302	1.07298665006394
130	32	126583	3955.71875	3274	3939	4541.5	0.618960562015634	0.0777292983765617	0.15305751375064	0.328910884117765	1.08961760992958
131	70	308054	4400.77142857143	3451.25	4236.5	5032.25	0.519053771282748	0.0409209448588007	0.102515787567935	0.27216443299791	1.01196946922972
132	51	108646	2130.3137254902	1620.5	1961	2668	0.565733727284734	0.0898156749001512	0.154136843954249	0.336007886590508	1.05069176759932
133	44	101109	2297.93181818182	1753.25	2331	2666.25	0.624800962743469	0.0963931294515852	0.173109954176282	0.347246124191091	1.09398412215528
134	73	114680	1570.95890410959	1123	1518	1917	0.615424550791932	0.0850570920886847	0.151506876833502	0.317707867959388	1.08899538852987
135	69	339332	4917.85507246377	3625	4982	6294	0.406565975498629	0.0520412825663807	0.117607401191954	0.309666150272753	0.968722583737199
136	73	345066	4726.93150684932	3813	4659	5539	0.398825067044863	0.0383109452047164	0.101989097429834	0.275864770371496	1.07797514779153
137	93	362957	3902.76344086022	3236	3712	4489	0.472317012353014	0.0415151682374735	0.107740069031045	0.287832167060954	1.01021026100125
138	77	331695	4307.72727272727	3128	4180	5347	0.444242616186532	0.0478832682223907	0.115238357072147	0.279372838667278	1.00412408587557
139	38	151519	3987.34210526316	2891.75	3823	4963.25	0.498811637812027	0.0651122374543008	0.138465292392969	0.326970508092229	1.03162941472604
140	100	641294	6412.94	4795	6306	7885.5	0.414339141338634	0.0206935899481468	0.0618995097195762	0.207382755347051	0.960933130228111
141	85	644599	7583.51764705882	6091	7411	9188	0.424817931699287	0.0309471298540475	0.0836012105819863	0.217182949373697	0.896057264267159
142	47	146421	3115.34042553192	2163	2947	3893	0.476905901461786	0.0672120766262155	0.14728018085614	0.341801666863499	1.02015471309586
143	79	209808	2655.79746835443	1922	2624	3319.5	0.561591193455422	0.0470952149252691	0.110028307011615	0.286277657441588	1.03275154967347
144	60	430155	7169.25	5287.25	7253.5	8891.25	0.32544132775088	0.0234183730883431	0.0692747789947577	0.177254375881013	0.747566541262655
145	73	544300	7456.16438356164	5804	7363	8580	0.477712954828089	0.0337802715618444	0.0836252818526134	0.241406513058264	1.03245146795554
146	132	769819	5831.96212121212	4177.25	5604	6934.5	0.33800123523066	0.0258834536111434	0.064353620981716	0.185929931501942	0.783893651155715
147	60	369549	6159.15	4859.25	5575.5	7564.5	0.480048569399945	0.041856553061056	0.0985092995052611	0.249694637756638	0.998097986129526
148	65	42060	647.076923076923	487	610	778	0.721375934082412	0.126548352963395	0.221173582013093	0.382590900339365	0.891787683173218
149	63	28797	457.095238095238	337.5	424	553.5	0.740348391092082	0.154844916738466	0.295075937241392	0.449577377380076	0.966598998434129
150	72	30332	421.277777777778	328.5	398	498.5	0.737806327238447	0.154731807073607	0.298216794258865	0.44887261208854	0.950026621417679
151	74	19810	267.702702702703	185.25	268.5	317.5	0.843166768754381	0.242671693703331	0.411394314145667	0.588742101550125	1.18629030310337
152	79	19942	252.430379746835	199	246	301	0.860991180141932	0.229183326449874	0.390561718426016	0.617823006641578	1.2893627244659
153	66	13630	206.515151515152	148.25	189	244.25	0.828890196866266	0.356047948186814	0.535668147792631	0.758152654372972	1.36996258072859
154	59	27283	462.423728813559	386	457	540	0.755019690001115	0.203016163748945	0.328326955146382	0.582906045617726	1.18003160583254
155	69	30456	441.391304347826	346	433	504	0.83141018308228	0.157191039076901	0.297175769139231	0.472415656547775	1.07503248820867
156	53	24431	460.962264150943	268	454	595	0.595451118599495	0.226421683387086	0.362418968506294	0.601021906175825	1.2372866976296
157	100	59195	591.95	461	595.5	702.5	0.638905948303237	0.117001445110192	0.196032642933162	0.410783289761659	1.09659716412033
158	93	232646	2501.56989247312	1422	2128	3169	0.249483905402987	0.0425117986951928	0.0841111954694798	0.15739485194437	0.41181197194941
159	40	77511	1937.775	1217.5	1833	2320.25	0.392079949769313	0.105624616887767	0.148052044181803	0.306165945217729	0.712721705899517
160	111	88260	795.135135135135	442.5	606	890.5	0.631324473922188	0.109401227930816	0.169966887499743	0.41896505169315	1.39338281305342
161	87	172063	1977.73563218391	1307.5	1767	2489.5	0.290011407467186	0.0572012633506129	0.112652540428992	0.248678022021401	0.71037017199746
162	104	72046	692.75	525	655	805	0.612415518669382	0.100082028235273	0.163439623301333	0.355584893514942	0.95090283571902
163	100	70264	702.64	526.75	686.5	806	0.676172038544499	0.0962874094051818	0.149225381426899	0.319447754741186	0.837397338489478
164	78	47911	614.24358974359	501.75	585	714.25	0.618159472405325	0.119637299649654	0.195749031362385	0.369532834141797	0.870659681129278
165	65	40389	621.369230769231	498	623	744	0.657172449310972	0.124216369448359	0.229632368744618	0.397970567487711	0.917887081060351
166	110	141525	1286.59090909091	875.5	1151.5	1611.25	0.475938338982061	0.069195723101298	0.106460556734204	0.207975671407022	0.644398919716618
167	71	74378	1047.57746478873	678.5	928	1324	0.499359361245619	0.0924957817406014	0.140970211283186	0.298882206881993	0.775463265254974
168	104	62824	604.076923076923	374	516	717	0.518469157122794	0.0913746283635487	0.151469303163852	0.289410066604922	0.709371409387955
169	136	197251	1450.375	834.25	1091.5	1895.5	0.354164431557286	0.0499514216957441	0.0984736538144881	0.167551117707123	0.517141235561121
170	109	155677	1428.22935779817	810	1265	1830	0.382993911258248	0.0630425465484435	0.123822557567084	0.271604092204379	0.827462415804207
171	64	94399	1474.984375	1052.75	1367.5	1891.5	0.448116368415111	0.0913677528914649	0.134234634287505	0.265537025182116	0.702324069179117
172	71	288541	4063.95774647887	2445.5	3636	5046	0.277779796299558	0.0344131267351179	0.0915546130425529	0.192670898322456	0.682995612410361
173	57	197341	3462.12280701754	2152	2869	4230	0.308888247071439	0.0501029044150306	0.113338814458841	0.246689375194669	0.836412440471283
174	80	280076	3500.95	2286	3407.5	4702	0.463455865059846	0.0679951324053706	0.150097016836772	0.352298359636943	1.16052471484148
175	139	198365	1427.08633093525	732	1283	1932.5	0.453422270504549	0.0530047453025976	0.144851836168378	0.320681466798107	1.07964094162491
176	72	133407	1852.875	1284.25	1715.5	2332	0.506129043310946	0.0734202454905513	0.168566175455663	0.37095205364407	1.22369190367829
177	111	328954	2963.54954954955	2236	2929	3678.5	0.445004409899251	0.0552161510572535	0.123047705790654	0.304386892775055	1.16503030682498
178	107	321109	3001.01869158879	2061	2929	3540	0.433131185481036	0.0613655657403653	0.135308193530922	0.322422257081963	1.13777868560559
179	79	180034	2278.91139240506	1697	2277	2736	0.478579150721525	0.0547377836760761	0.158166618035115	0.334561505490163	1.15268934192536
180	116	275078	2371.36206896552	1527.75	2209.5	3216	0.454395345521213	0.0435518386162718	0.115715647261389	0.289209289441198	1.1639713806355
181	70	164649	2352.12857142857	1511.5	2188.5	2964.75	0.474271349509458	0.0686265553441075	0.174010085461571	0.363400457941922	1.18374532316382
182	147	589449	4009.85714285714	3138.5	3889	4614.5	0.42551409250613	0.0452540094767368	0.116165528781237	0.290524189885085	1.10982372792581
183	106	188541	1778.68867924528	1348.5	1671.5	2215	0.521745932216974	0.0522547834456349	0.136585132465083	0.3401975899521	1.30344199829368
184	108	308530	2856.75925925926	2118.25	3050	3509.25	0.475632587040637	0.0566577550087101	0.125688018598815	0.317853839142549	1.19946306339756
185	56	32876	587.071428571429	521.25	589	681	1.15438378784921	0.156911473293274	0.277564746856888	0.554573737822931	1.69795424329897
