metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
78	56	48868	872.642857142857	652.25	851.5	1052.75	0.533714512045197	0.118534638307883	0.224291212670174	0.445108743080308	1.08948289904304
79	96	59194	616.604166666667	473	605	728.25	0.542827673440474	0.118958855542175	0.21036862539893	0.405870953690857	1.09352383750489
80	90	43498	483.311111111111	350	460.5	626.75	0.644735517596172	0.125389750821543	0.214083411730356	0.435104318327075	1.13624564527821
81	112	79770	712.232142857143	406.5	668.5	885	0.570687789676761	0.0820523239404586	0.144326594805254	0.322156364360622	0.935158045639181
82	39	34170	876.153846153846	571	852	1039.5	0.631228026878776	0.150425234565706	0.268633125482427	0.504649319719041	1.32515012560197
83	151	165419	1095.49006622517	824.5	1019	1304	0.485356310575866	0.0593536640334021	0.116618806858471	0.243837447297343	0.827926862785008
84	20	8019	400.95	301	373.5	460	1.06223607330289	0.542198315719331	0.753436536628143	0.955243903515317	1.6516313757182
85	53	33200	626.415094339623	479	622	802	0.610978399982468	0.15462411300877	0.275186450377182	0.509003996059732	1.16882404437524
86	74	61148	826.324324324324	701.25	760	919.25	0.601453844402789	0.096842130173046	0.175217245901064	0.369243211908658	1.04944577830491
87	74	75613	1021.7972972973	725.5	999	1196.25	0.486063593181258	0.0921555771345563	0.170296355236505	0.351672016139529	0.962026204070328
88	59	21344	361.762711864407	263.5	320	475.5	0.597543159508326	0.222941996291373	0.35992571651202	0.566756557139169	1.00511024590701
89	85	24944	293.458823529412	179	246	335	0.682971967939745	0.183435633677711	0.311208506094127	0.49144431501904	0.96478230897454
90	116	103508	892.310344827586	662.75	869	1111.5	0.826348900570576	0.0801117357855087	0.13174706078704	0.281757894716431	0.883647981689615
91	73	82977	1136.67123287671	914	1115	1295	0.912439689994696	0.0610958421506228	0.116275189202801	0.237942165564158	0.806393368532332
