	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_2995	0	0	1	0	0	0	0
OG_3012	1	0	1	0	1	1	1
OG_302	0	0	1	0	0	0	0
OG_3046	1	1	1	1	1	1	1
OG_3075	1	0	0	0	0	0	0
OG_3081	1	1	1	1	1	1	1
OG_3096	1	1	1	1	1	1	1
OG_3100	2	0	0	0	0	0	0
OG_3102	1	1	1	1	1	1	1
OG_3114	0	0	1	0	0	0	0
OG_3115	0	0	0	1	0	0	0
OG_3127	1	0	0	0	0	0	0
OG_3133	1	0	1	1	1	1	1
OG_314	1	0	1	0	1	1	1
OG_3144	1	1	0	1	1	1	1
OG_3155	1	0	0	0	0	0	0
OG_316	1	1	1	1	1	1	1
OG_3173	0	0	0	1	0	0	0
OG_3175	1	0	0	0	0	0	0
OG_3183	1	1	1	1	1	1	1
OG_3185	1	0	0	0	0	0	0
OG_3204	0	1	0	0	0	0	0
OG_3211	0	0	0	1	0	0	0
OG_3222	1	0	0	0	0	0	0
OG_3225	1	0	0	0	0	0	0
OG_3226	0	0	1	0	0	0	0
OG_3228	0	1	0	0	0	0	0
OG_3247	0	0	0	1	0	0	0
OG_325	0	0	0	1	0	0	0
OG_3256	0	0	0	1	0	0	0
OG_3262	0	0	0	1	0	0	0
OG_3265	1	0	0	1	1	1	1
OG_3283	1	0	1	0	1	1	1
OG_3285	1	1	0	1	1	1	1
OG_3287	0	0	1	0	0	0	0
OG_3297	1	0	0	0	0	0	0
OG_3302	3	0	0	0	0	0	0
OG_3313	0	0	1	0	0	0	0
OG_3315	0	0	1	0	0	0	0
OG_3316	0	0	0	1	0	0	0
OG_3322	0	0	1	1	1	0	0
OG_3328	1	0	0	0	0	0	0
OG_3334	1	1	1	1	1	1	1
OG_3343	0	0	0	1	0	0	0
OG_3344	0	0	0	1	0	0	0
OG_3355	1	1	0	1	1	1	1
OG_3360	1	0	0	1	1	1	1
OG_3385	1	1	0	1	1	1	1
OG_3387	1	1	0	1	1	1	1
OG_3388	1	0	0	1	1	1	1
OG_339	0	0	1	0	0	0	0
OG_3398	1	1	0	0	0	1	0
OG_341	0	1	1	1	1	1	1
OG_3410	1	1	0	1	1	1	1
OG_3415	0	1	0	1	1	1	1
OG_3418	0	0	0	1	0	0	0
OG_3420	1	1	0	1	1	1	1
OG_3425	0	0	0	1	0	0	0
OG_3431	1	0	0	1	1	1	1
OG_3437	1	1	0	1	1	1	1
OG_3443	0	1	0	1	1	1	1
OG_3448	1	0	0	1	1	1	1
OG_3466	0	0	0	1	0	0	0
OG_3474	1	0	0	1	1	1	1
OG_3482	1	0	0	0	0	0	0
OG_3486	1	1	0	0	0	1	0
OG_3492	1	1	0	1	1	1	1
OG_3508	1	1	0	0	0	1	0
OG_3523	1	0	0	0	0	0	0
OG_3527	1	0	0	1	1	1	1
OG_3534	1	1	0	0	0	1	0
OG_3538	0	0	2	1	1	0	0
OG_3563	0	1	0	1	1	1	1
OG_3564	0	1	0	1	1	1	1
OG_3565	3	1	1	2	1	1	1
OG_3569	1	1	0	0	0	1	0
OG_3573	0	1	0	0	0	0	0
OG_3589	0	0	0	1	0	0	0
OG_3601	0	0	0	1	0	0	0
OG_3602	0	1	1	2	1	1	1
OG_3614	0	0	0	1	0	0	0
OG_365	1	0	1	1	1	1	1
OG_3665	0	0	1	0	0	0	0
OG_369	0	1	0	0	0	0	0
OG_3695	0	0	1	0	0	0	0
OG_3713	1	0	1	0	1	1	1
OG_3724	1	1	1	1	1	1	1
OG_3725	1	0	0	0	0	0	0
OG_3743	1	1	1	1	1	1	1
OG_3756	1	0	1	1	1	1	1
OG_376	0	0	1	0	0	0	0
OG_3765	0	1	1	1	1	1	1
OG_3773	0	0	1	0	0	0	0
OG_3780	1	1	0	0	0	1	0
OG_3794	1	1	1	0	1	1	1
OG_38	0	0	1	1	1	0	0
OG_3800	1	0	0	1	1	1	1
OG_3812	1	1	1	0	1	1	1
OG_3815	1	1	0	0	0	1	0
OG_3819	1	0	1	1	1	1	1
OG_3824	0	1	0	0	0	0	0
OG_3827	1	0	0	0	0	0	0
OG_3847	0	0	0	1	0	0	0
OG_385	0	0	1	0	0	0	0
OG_3864	0	1	1	1	1	1	1
OG_387	0	1	1	1	1	1	1
OG_3878	0	1	0	0	0	0	0
OG_3880	1	0	0	1	1	1	1
OG_3890	1	1	1	0	1	1	1
OG_3906	0	0	1	0	0	0	0
OG_3912	1	0	0	0	0	0	0
OG_3915	1	1	1	1	1	1	1
OG_3923	1	1	0	0	0	1	0
OG_3926	2	1	1	1	1	1	1
OG_3928	0	0	1	1	1	0	0
OG_3929	1	1	1	1	1	1	1
OG_3937	2	1	0	0	0	1	0
OG_3944	1	0	0	0	0	0	0
OG_3954	1	0	0	0	0	0	0
OG_3957	1	1	0	0	0	1	0
OG_3961	1	1	1	1	1	1	1
OG_3962	1	1	0	0	0	1	0
OG_3976	1	1	0	1	1	1	1
OG_398	0	1	1	0	1	1	1
OG_3984	1	0	1	1	1	1	1
OG_399	0	0	0	1	0	0	0
OG_3999	1	1	0	0	0	1	0
OG_4002	1	0	0	0	0	0	0
OG_4003	0	0	1	1	1	0	0
OG_405	0	0	0	1	0	0	0
OG_4083	1	0	0	0	0	0	0
