orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_2313	Dmel,Hvul,Mmus,Spis,Tadh,TrH2	CniBilPla	Hoilungia,Nvec	1	2	19
OG_2319	Dmel,Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Mmus	1	2	13
OG_2327	Dmel,Mmus	Bilateria		1	0	3
OG_2328	Mmus	Mmus		1	0	1
OG_2330	Mlei	Mlei		1	0	1
OG_2341	HoiH23,Tadh	Placozoa	Hhon,TrH2	1	2	5
OG_2345	Dmel,Hhon,HoiH23,Mmus,Nvec,Tadh,TrH2	CniBilPla	Hvul,Spis	1	2	16
OG_2346	Dmel	Dmel		1	0	1
OG_2347	Mmus	Mmus		1	0	2
OG_236	Mmus	Mmus		1	0	1
OG_2361	Dmel	Dmel		1	0	2
OG_2365	Mlei	Mlei		1	0	1
OG_2376	Hvul,Nvec,Spis	Cnidaria		1	0	6
OG_2380	Dmel	Dmel		1	0	1
OG_2382	Mmus	Mmus		1	0	2
OG_2400	Mmus	Mmus		1	0	1
OG_2401	Hvul	Hvul		1	0	1
OG_2408	Hvul	Hvul		1	0	1
OG_2415	Hhon	Hhon		1	0	1
OG_2421	Hhon,HoiH23,Tadh,TrH2	Placozoa		1	0	7
OG_2436	Mmus	Mmus		1	0	1
OG_2440	Hvul,Spis	Cnidaria	Nvec	1	1	5
OG_2444	Hvul	Hvul		1	0	1
OG_2445	Mmus	Mmus		1	0	1
OG_2446	Mmus	Mmus		1	0	1
OG_2457	Mmus,Tadh	CniBilPla	Cnidaria,Dmel,Hoilungia,TrH2	1	4	7
OG_2459	Hvul,Mmus,Nvec,Spis	CniBil	Dmel	1	1	10
OG_2462	Mmus	Mmus		1	0	1
OG_2469	Dmel,Hvul	CniBil	Anthozoa,Mmus	1	2	6
OG_2473	Hvul	Hvul		1	0	1
OG_2476	Dmel,Mmus	Bilateria		1	0	3
OG_2483	Mmus	Mmus		1	0	1
OG_2486	Dmel,Mlei	Metazoa	Cnidaria,Mmus,Placozoa,Spolac	1	4	6
OG_2490	Spis	Spis		1	0	1
OG_2493	Spis	Spis		1	0	1
OG_250	Mmus	Mmus		1	0	1
OG_2503	Hvul,Mmus	CniBil	Anthozoa,Dmel	1	2	5
OG_2512	Hvul	Hvul		1	0	1
OG_2514	Mmus	Mmus		1	0	1
OG_2517	Mmus	Mmus		1	0	1
