metacell	cell_type	broad_cell_type	color
167	muscle_cell	Muscle_Cell	#9A067E
168	muscle_cell	Muscle_Cell	#9A067E
169	muscle_cell	Muscle_Cell	#9A067E
170	muscle_cell	Muscle_Cell	#9A067E
171	muscle_cell	Muscle_Cell	#9A067E
172	muscle_cell	Muscle_Cell	#9A067E
173	muscle_cell	Muscle_Cell	#9A067E
174	muscle_cell	Muscle_Cell	#9A067E
175	muscle_cell	Muscle_Cell	#9A067E
176	muscle_cell	Muscle_Cell	#9A067E
177	muscle_cell	Muscle_Cell	#9A067E
178	muscle_cell	Muscle_Cell	#9A067E
179	muscle_cell	Muscle_Cell	#9A067E
180	muscle_cell	Muscle_Cell	#9A067E
181	muscle_cell	Muscle_Cell	#9A067E
182	muscle_cell	Muscle_Cell	#9A067E
183	muscle_cell	Muscle_Cell	#9A067E
184	muscle_cell	Muscle_Cell	#9A067E
185	muscle_cell	Muscle_Cell	#9A067E
186	muscle_cell	Hemocyte	#9A067E
187	muscle_cell	Muscle_Cell	#9A067E
188	muscle_cell	Muscle_Cell	#9A067E
189	muscle_cell	Muscle_Cell	#9A067E
190	muscle_cell	Muscle_Cell	#9A067E
191	muscle_cell	Muscle_Cell	#9A067E
192	muscle_cell	Muscle_Cell	#9A067E
193	muscle_cell	Muscle_Cell	#9A067E
194	muscle_cell	Muscle_Cell	#9A067E
195	muscle_cell	Muscle_Cell	#9A067E
196	muscle_cell	Muscle_Cell	#9A067E
197	muscle_cell	Muscle_Cell	#9A067E
198	muscle_cell	Muscle_Cell	#9A067E
199	muscle_cell	Muscle_Cell	#9A067E
200	muscle_cell	Muscle_Cell	#9A067E
201	muscle_cell	Muscle_Cell	#9A067E
202	muscle_cell	Muscle_Cell	#9A067E
203	muscle_cell	Muscle_Cell	#9A067E
204	muscle_cell	Muscle_Cell	#9A067E
205	muscle_cell	Muscle_Cell	#9A067E
206	muscle_cell	Muscle_Cell	#9A067E
207	muscle_cell	Muscle_Cell	#9A067E
208	muscle_cell	Muscle_Cell	#9A067E
209	muscle_cell	Muscle_Cell	#9A067E
210	muscle_cell	Muscle_Cell	#9A067E
211	muscle_cell	Muscle_Cell	#9A067E
212	muscle_cell	Muscle_Cell	#9A067E
213	muscle_cell	Muscle_Cell	#9A067E
214	muscle_cell	Muscle_Cell	#9A067E
215	muscle_cell	Glial_Cell	#9A067E
216	muscle_cell	Muscle_Cell	#9A067E
217	muscle_cell	Muscle_Cell	#9A067E
218	muscle_cell	Muscle_Cell	#9A067E
219	muscle_cell	Muscle_Cell	#9A067E
220	muscle_cell	Muscle_Cell	#9A067E
221	muscle_cell	Muscle_Cell	#9A067E
222	muscle_cell	Muscle_Cell	#9A067E
223	muscle_cell	Muscle_Cell	#9A067E
224	muscle_cell	Muscle_Cell	#9A067E
225	muscle_cell	Muscle_Cell	#9A067E
226	muscle_cell	Muscle_Cell	#9A067E
227	muscle_cell	Muscle_Cell	#9A067E
228	muscle_cell	Muscle_Cell	#9A067E
229	muscle_cell	Muscle_Cell	#9A067E
230	muscle_cell	Muscle_Cell	#9A067E
231	muscle_cell	Muscle_Cell	#9A067E
232	muscle_cell	Muscle_Cell	#9A067E
233	muscle_cell	Muscle_Cell	#9A067E
234	muscle_cell	Muscle_Cell	#9A067E
235	muscle_cell	Muscle_Cell	#9A067E
236	muscle_cell	Muscle_Cell	#9A067E
237	muscle_cell	Muscle_Cell	#9A067E
238	muscle_cell	Muscle_Cell	#9A067E
239	muscle_cell	Muscle_Cell	#9A067E
240	muscle_cell	Muscle_Cell	#9A067E
241	muscle_cell	Muscle_Cell	#9A067E
242	muscle_cell	Muscle_Cell	#9A067E
243	muscle_cell	Muscle_Cell	#9A067E
244	muscle_cell	Muscle_Cell	#9A067E
245	muscle_cell	Muscle_Cell	#9A067E
246	muscle_cell	Muscle_Cell	#9A067E
247	muscle_cell	Muscle_Cell	#9A067E
248	muscle_cell	Muscle_Cell	#9A067E
249	muscle_cell	Muscle_Cell	#9A067E
250	muscle_cell	Muscle_Cell	#9A067E
251	muscle_cell	Muscle_Cell	#9A067E
252	muscle_cell	Muscle_Cell	#9A067E
253	muscle_cell	Muscle_Cell	#9A067E
254	muscle_cell	Muscle_Cell	#9A067E
255	muscle_cell	Muscle_Cell	#9A067E
256	muscle_cell	Muscle_Cell	#9A067E
257	muscle_cell	Muscle_Cell	#9A067E
258	muscle_cell	Muscle_Cell	#9A067E
259	muscle_cell	Muscle_Cell	#9A067E
260	muscle_cell	Muscle_Cell	#9A067E
261	muscle_cell	Muscle_Cell	#9A067E
262	muscle_cell	Muscle_Cell	#9A067E
263	muscle_cell	Muscle_Cell	#9A067E
264	muscle_cell	Muscle_Cell	#9A067E
265	muscle_cell	Muscle_Cell	#9A067E
266	muscle_cell	Muscle_Cell	#9A067E
267	muscle_cell	Muscle_Cell	#9A067E
268	muscle_cell	Muscle_Cell	#9A067E
269	muscle_cell	Muscle_Cell	#9A067E
270	muscle_cell	Muscle_Cell	#9A067E
271	muscle_cell	Muscle_Cell	#9A067E
272	muscle_cell	Muscle_Cell	#9A067E
273	muscle_cell	Muscle_Cell	#9A067E
274	muscle_cell	Muscle_Cell	#9A067E
275	muscle_cell	Muscle_Cell	#9A067E
276	muscle_cell	Muscle_Cell	#9A067E
277	muscle_cell	Muscle_Cell	#9A067E
278	muscle_cell	Muscle_Cell	#9A067E
279	muscle_cell	Muscle_Cell	#9A067E
280	muscle_cell	Muscle_Cell	#9A067E
281	muscle_cell	Muscle_Cell	#9A067E
282	muscle_cell	Muscle_Cell	#9A067E
283	muscle_cell	Muscle_Cell	#9A067E
284	muscle_cell	Muscle_Cell	#9A067E
285	muscle_cell	Muscle_Cell	#9A067E
286	muscle_cell	Muscle_Cell	#9A067E
287	muscle_cell	Muscle_Cell	#9A067E
288	muscle_cell	Muscle_Cell	#9A067E
289	muscle_cell	Muscle_Cell	#9A067E
290	muscle_cell	Muscle_Cell	#9A067E
291	muscle_cell	Muscle_Cell	#9A067E
292	muscle_cell	Muscle_Cell	#9A067E
293	muscle_cell	Muscle_Cell	#9A067E
294	muscle_cell	Muscle_Cell	#9A067E
295	muscle_cell	Muscle_Cell	#9A067E
296	muscle_cell	Muscle_Cell	#9A067E
297	muscle_cell	Muscle_Cell	#9A067E
298	muscle_cell	Muscle_Cell	#9A067E
299	muscle_cell	Muscle_Cell	#9A067E
