AP-2	Tadh_TriadT27767	TF_AP-2
zf-C4_Nuclear_receptors	Tadh_TriadT49897	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	Tadh_TriadT50786	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	Tadh_TriadT9010	zf-C4
zf-met	Tadh_TriadT18720	zf-C2H2_6 zf-met zf-met
zf-met	Tadh_TriadT24169	zf-C2H2 zf-C2H2_6 zf-met
zf-met	Tadh_TriadT54458	zf-met TUTase PAP_assoc
zf-met	Tadh_TriadT54522	zf-met zf-met DZF DZF
zf-met	Tadh_TriadT57913	IPPT zf-met
zf-met	Tadh_TriadT58398	zf-met
zf-met	Tadh_TriadT60496	SCAPER_N zf-met
zf-met	Tadh_TriadT63497	zf-met SF3A2
zf-met	Tadh_wf_g4131.t1	zf-C2H2_2 zf-met
zf-MIZ	Tadh_TriadT54339	PINIT zf-MIZ
zf-C2H2	Tadh_TriadT11944	zf-C2H2 zf-C2H2 zf-C2H2 zf-H2C2_2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT13838	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT14248	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT14897	SET zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT14905	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT15889	zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT16340	zf_ZIC zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT17488	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT17953	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT17956	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT18001	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT18203	zf-C2H2_jaz zf-C2H2_2
zf-C2H2	Tadh_TriadT18720	zf-C2H2_6 zf-met zf-met
zf-C2H2	Tadh_TriadT20314	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT21225	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT23582	zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT24169	zf-C2H2 zf-C2H2_6 zf-met
zf-C2H2	Tadh_TriadT24667	zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT26468	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT26536	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT27838	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT31747	zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT32907	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT56420	zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT57313	zf-C2H2 ELM2 zf-C2H2_6
zf-C2H2	Tadh_TriadT60016	zf-C2H2_2 zf-C2H2_2
zf-C2H2	Tadh_TriadT61203	zf-C2H2
zf-C2H2	Tadh_TriadT63664	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT7089	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2_6 zf-C2H2
zf-C2H2	Tadh_TriadT7285	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT7637	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT7660	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT7674	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT8204	zf-H2C2_2 zf-C2H2_4 zf-C2H2
zf-C2H2	Tadh_TriadT8990	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Tadh_TriadT9064	zf-C2H2 zf-C2H2
zf-C2H2	Tadh_wf_g4131.t1	zf-C2H2_2 zf-met
zf-CXXC	Tadh_TriadT27303	PHD zf-CXXC zf-CpG_bind_C
zf-CXXC	Tadh_TriadT52488	zf-CXXC Tet_JBP
