Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
unassigned	unassigned	unassigned	trans_gland_epithelia_dorsal	gray50	1	batch2	HoiH23	HoiH23_108	0.54934263	-1.60296
unassigned	unassigned	unassigned	peptidergic_iota	deepskyblue1	24	batch2	HoiH23	HoiH23_227	-2.4447591	20.406631
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_180	-0.23816635	-0.88266325
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_128	8.143652	5.970526
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_4	15.490317	-1.5698847
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_128	8.621393	5.908956
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_28	4.277171	20.847513
unassigned	unassigned	unassigned	peptidergic_lambda	cyan2	28	batch2	HoiH23	HoiH23_231	17.527733	-8.791345
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_75	9.636238	10.566511
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_28	4.288398	20.708805
unassigned	unassigned	unassigned	trans_gland_epithelia_ventral	gray65	21	batch2	HoiH23	HoiH23_107	8.614726	9.083673
unassigned	unassigned	unassigned	peptidergic_beta	dodgerblue3	43	batch2	HoiH23	HoiH23_211	-12.148314	6.5852633
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_170	7.8213735	-0.6060189
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_110	9.912683	9.853643
unassigned	unassigned	unassigned	peptidergic_lambda	cyan2	28	batch2	HoiH23	HoiH23_231	17.517977	-8.799193
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_183	0.66838723	-0.7638017
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_4	15.64321	-1.7163349
unassigned	unassigned	unassigned	epithelia_unknown	plum3	10	batch2	HoiH23	HoiH23_175	9.2194	2.8488944
unassigned	unassigned	unassigned	peptidergic_zeta	steelblue3	37	batch2	HoiH23	HoiH23_216	22.065222	13.2454405
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	15	batch2	HoiH23	HoiH23_203	-0.17562197	-1.6033576
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_5	15.529503	-1.92655
unassigned	unassigned	unassigned	peptidergic_gamma_like	skyblue1	46	batch2	HoiH23	HoiH23_214	10.4196415	-10.492488
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_7	15.603701	-2.4808083
unassigned	unassigned	unassigned	gland_1	darkorange3	9	batch2	HoiH23	HoiH23_55	9.435318	8.821257
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_139	9.051888	2.6201131
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_3	15.981074	-2.2276106
unassigned	unassigned	unassigned	peptidergic_zeta_like	steelblue3	42	batch2	HoiH23	HoiH23_221	13.437213	-10.691184
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_131	9.317836	2.7475126
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_24	4.20221	20.273129
unassigned	unassigned	unassigned	epithelia_unknown	plum3	45	batch2	HoiH23	HoiH23_161	7.604174	-2.3255076
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_25	4.2238994	20.950123
unassigned	unassigned	unassigned	epithelia_unknown	plum3	29	batch2	HoiH23	HoiH23_169	7.8880024	-1.0308285
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_188	0.02475179	-0.91252655
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_150	7.80911	3.3617907
unassigned	unassigned	unassigned	peptidergic_iota	deepskyblue1	24	batch2	HoiH23	HoiH23_225	-2.4579518	20.430552
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_112	5.1759567	4.440117
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_25	4.1737304	20.980469
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	11	batch2	HoiH23	HoiH23_131	8.484452	2.5521603
unassigned	unassigned	unassigned	trans_lipophil_1_gland	gray75	7	batch2	HoiH23	HoiH23_21	9.420021	9.984975
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_110	9.010187	8.563539
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_135	6.2519937	1.9073787
unassigned	unassigned	unassigned	peptidergic_progenitors	blueviolet	41	batch2	HoiH23	HoiH23_208	3.9478302	2.454026
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_1	15.866184	-2.0752916
unassigned	unassigned	unassigned	peptidergic_theta	royalblue3	31	batch2	HoiH23	HoiH23_224	-12.5987015	13.742599
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_103	9.384225	10.523763
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_184	0.038504988	-0.3526968
unassigned	unassigned	unassigned	epithelia_gland_like	orange	20	batch2	HoiH23	HoiH23_115	8.192045	6.3386993
unassigned	unassigned	unassigned	peptidergic_kappa	deepskyblue3	40	batch2	HoiH23	HoiH23_229	7.157846	-13.151342
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_180	-0.21206793	-0.49360663
unassigned	unassigned	unassigned	epithelia_gland_like	orange	11	batch2	HoiH23	HoiH23_113	9.057357	8.277896
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_203	0.86975306	-2.1723602
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_198	1.4302609	-2.28983
unassigned	unassigned	unassigned	gland_1	darkorange3	21	batch2	HoiH23	HoiH23_62	8.575873	9.919421
