Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.5925746	8.2615385
lipophil_1	khaki2	0	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_1	12.637473	4.024887
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.5080187	2.922102
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.459662	10.591
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.975379	0.45485047
gland_1	darkorange3	24	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.5060186	10.161191
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	6.560307	-0.37215182
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.006916	13.133019
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5343616	-0.5768374
peptidergic_mu	cyan3	28	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu	15.283576	12.587684
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	19.484886	3.3085535
gland_1_like	darkorange3	45	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1_like	-11.033333	-0.21850592
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.6285672	3.5080135
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.9900565	9.459379
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.8867507	0.3628923
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.367972	0.8044464
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.279073	10.273025
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.317625	0.6750393
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9764194	0.9611768
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.374892	8.173334
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6064819	-4.2722597
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.916332	11.01934
lipophil_1	khaki2	0	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_1	11.824892	2.8805978
peptidergic_kappa	deepskyblue3	47	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_kappa	19.149706	-8.598671
