TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	-1.0479376	-4.710496
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	0.6358285	-5.8119283
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	7.1907163	0.92545205
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	6.9400997	0.76860374
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_12	-2.66462	7.642778
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	8.624189	5.868083
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-1.6200244	-4.7467737
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	0.12359542	-5.70844
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	-1.7359679	-5.358941
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	8.012484	0.5214971
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.40580392	-5.9178534
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	-1.6972297	-4.0754895
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-1.5801903	-5.4301267
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-1.9694759	-5.2876935
trans_lipophil_1_fibre	gray90	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	0.5554619	-5.83598
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.8771305	5.116713
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.45555165	-5.905866
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	6.7492976	0.68727577
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_10	-2.6811798	6.5366545
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	2.405311	14.507972
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	-1.5717618	-5.481139
epithelia_dorsal_like	mediumorchid4	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	9.560938	0.19947389
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	5.9334717	0.74980086
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.8650675	5.2055345
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	8.583224	3.159267
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	5.2463484	0.55629784
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_103	2.846532	12.210611
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.7786618	-5.5832276
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-2.1459513	-5.3821864
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.5330105	0.93281096
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	0.40125823	-5.9004307
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	-1.6412139	-4.0517383
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	7.9642506	0.39572424
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	-0.2287605	-4.598998
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_197	12.00363	17.804352
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.486215	0.51734537
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	9.861007	8.0156355
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-1.8025758	-5.2587843
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.7449721	-5.3926177
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-0.7565197	-6.068683
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.5242532	-5.852512
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	6.957251	0.7513304
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	6.7961636	0.8350242
gland_1	darkorange3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_117	2.678018	14.143562
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.5118293	-5.3289504
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	6.4341245	1.1504855
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	8.848258	5.0479293
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	-1.6216117	-5.326118
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	6.994487	0.731279
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.58268934	-5.8782034
epithelia_dorsal_like	mediumorchid4	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	9.4983635	0.7782123
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	-1.1721241	-4.624315
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-1.7602388	-4.409836
