TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
fibre	chartreuse3	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-3.241747	-10.644163
trans_epithelia_dorsal_ventral	gray95	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.094873	-1.2758883
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	7.8370385	-0.9454474
fibre	chartreuse3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	6.715422	12.150407
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.373304	6.626704
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.339514	0.3626707
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.660921	4.626085
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.8072543	-1.2872723
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.6875863	-1.3649981
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.7559695	5.030599
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.453989	0.2303038
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.779868	-0.08365466
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.676548	0.42470473
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.325299	1.2989258
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.893642	0.47281027
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.414251	6.4252305
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.86899	-1.631091
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	-10.912678	0.46398318
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	-11.564501	-0.08486593
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	-11.396299	-0.12425455
epithelia_dorsal_like	mediumorchid4	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	-10.6346445	0.3325834
epithelia_dorsal_like	mediumorchid4	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	4.365398	-14.244772
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_fibre	-11.376766	0.7600452
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.924204	4.9248195
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.385993	0.71936613
trans_epithelia_dorsal_ventral	gray95	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	8.889247	-1.0485523
trans_epithelia_ventral_peptidergic	gray60	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_ventral_peptidergic	7.8574576	4.530737
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.8677726	5.217246
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.957985	5.86967
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.3561125	1.5083213
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.763503	-0.012831709
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.660961	-0.3169459
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.818713	0.19105272
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.023571	0.84670824
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	-11.2091	-0.23663434
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.601179	0.5429208
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.5111313	-1.0265086
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.565893	1.1387618
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.316834	4.6902533
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	8.759599	-1.2240052
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.53078	0.16018824
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.162056	1.6476302
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	8.096074	5.103976
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	8.387321	-1.1315187
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.834879	-1.3939831
trans_epithelia_dorsal_ventral	gray95	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	-10.918719	0.47982913
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	8.217945	-1.0745708
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	6.9210114	-1.3400657
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.175504	0.78128976
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.7284117	4.6564145
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.2423425	4.222233
