Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	2.5934453	-1.5788229
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_107	2.4915724	-1.4774605
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	1.1250432	3.4769285
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	4.761571	1.3422829
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	5.631398	13.431082
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_33	19.322165	14.519137
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	22.442505	1.4515091
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_43	4.695345	12.580225
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	6.932681	0.28679913
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	-10.996352	9.426158
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	4.55873	12.334169
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	2.5070548	-1.5007254
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	16.75043	-5.1760674
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	4.891445	-0.32322472
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	6.550959	11.672088
