	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10304	1	1	0	1	1	1	1
OG_10305	1	1	0	1	1	1	1
OG_10306	1	1	0	1	1	1	1
OG_10307	1	1	0	1	1	1	1
OG_10308	1	1	0	1	1	1	1
OG_10309	1	1	0	1	1	1	1
OG_1031	1	1	1	1	1	1	1
OG_10310	1	1	0	1	1	1	1
OG_10311	3	1	0	1	1	1	1
OG_10312	1	1	0	2	1	1	1
OG_10313	1	1	0	1	1	1	1
OG_10314	4	2	0	1	1	1	1
OG_10315	1	1	0	1	1	1	1
OG_10316	1	1	1	0	1	1	1
OG_10317	1	1	0	0	0	1	0
OG_10318	1	1	0	0	0	1	0
OG_10319	1	1	0	0	0	1	0
OG_1032	1	1	1	1	1	1	1
OG_10320	1	1	0	0	0	1	0
OG_10321	1	1	0	0	0	1	0
OG_10322	1	1	0	0	0	1	0
OG_10323	1	1	0	0	0	1	0
OG_10324	1	1	1	1	1	1	1
OG_10325	1	1	0	0	0	1	0
OG_10326	1	1	0	0	0	1	0
OG_10327	1	1	0	0	0	1	0
OG_10328	1	1	0	0	0	1	0
OG_10329	1	1	1	0	1	1	1
OG_1033	1	1	1	1	1	1	1
OG_10330	1	1	0	0	0	1	0
OG_10331	1	1	0	0	0	1	0
OG_10332	1	1	0	0	0	1	0
OG_10333	1	1	1	0	1	1	1
OG_10334	1	1	0	0	0	1	0
OG_10335	0	1	2	0	1	1	1
OG_10336	1	1	2	2	1	1	1
OG_10337	1	1	0	0	0	1	0
OG_10338	1	1	0	0	0	1	0
OG_10339	1	1	0	0	0	1	0
OG_1034	1	1	1	1	1	1	1
OG_10340	1	1	1	1	1	1	1
OG_10341	1	1	1	1	1	1	1
OG_10342	0	1	1	0	1	1	1
OG_10343	1	1	1	0	1	1	1
OG_10344	1	1	0	0	0	1	0
OG_10345	1	1	1	0	1	1	1
OG_10346	1	1	0	0	0	1	0
OG_10347	1	1	0	0	0	1	0
OG_10348	1	1	0	0	0	1	0
OG_10349	1	1	0	0	0	1	0
OG_1035	1	1	1	1	1	1	1
OG_10350	1	1	1	0	1	1	1
OG_10351	1	1	0	0	0	1	0
OG_10352	2	2	3	0	1	1	1
OG_10353	1	1	0	0	0	1	0
OG_10354	1	2	0	0	0	1	0
OG_10355	1	1	0	0	0	1	0
OG_10356	1	1	0	0	0	1	0
OG_10357	1	1	1	0	1	1	1
OG_10358	1	1	1	0	1	1	1
OG_10359	1	1	0	1	1	1	1
OG_1036	1	1	1	1	1	1	1
OG_10360	1	2	0	0	0	1	0
OG_10361	1	1	0	0	0	1	0
OG_10362	1	1	0	0	0	1	0
OG_10363	1	1	0	0	0	1	0
OG_10364	1	1	0	0	0	1	0
OG_10365	1	1	1	0	1	1	1
OG_10366	0	2	1	0	1	1	1
OG_10367	1	1	1	0	1	1	1
OG_10368	1	1	0	0	0	1	0
OG_10369	1	1	0	1	1	1	1
OG_1037	1	1	1	1	1	1	1
OG_10370	1	1	1	0	1	1	1
OG_10371	1	1	2	0	1	1	1
OG_10372	1	1	0	0	0	1	0
OG_10373	1	1	0	0	0	1	0
OG_10374	1	1	0	0	0	1	0
